Joey	 Okay, pick a card.'
Chandler	 Okay. (He picks the 9 of Spades)'
Joey	 All right now, memorize it. (Pause) You got it?'
Chandler	 Oh yes.'
Joey	 (holding up the Queen of Clubs) Is that your card? (He winks and smiles.)'
Chandler	 (pause) Yes. '
Carol	 (entering with Ben and Ross) Hey guys!'
Ross	 Hi!'
Chandler	 Hi there!'
Ben	 Hi!!'
Carol	 Guess what? Ben is going to be in a TV commercial!'
Phoebe	 What are you talking about?!'
Ross	 (sets Ben down) Well, it's not for sure but umm, we met this guy in the\npark who thought Ben was really cute--y'know, which he is--so umm anyhoo, he uh, he gave\nus his card and told us to bring him down for this commercial he's auditioning."
Joey	 (reading the card) Whoa! This guy is like the biggest commercial casting\ndirector in town! (Ross gasps) Ben takes one lousy walk in the park and gets an audition!!\n(Ross and Carol stare at him, then Joey realizes what he just said.) I mean, way to go\nBen! (Gives Ben the thumbs up, which Ben returns.) Man! I've been in that park a million\ntimes and no one offered me an audition."
Ross	 I know, it's crazy! We were just pushing Ben on the swings\xc2\x85"
Joey	 I'm always on the swings! What am I doing wrong?!"
Chandler	 That.'
Rachel	 (entering from her room) Okay, gotta go! Wish me luck!'
Joey	 Luck!'
Chandler	 Hey Rach, now that you're working at Ralph Lauren, can you\nbring me back some of those polo shirts?"
Rachel	 Uh well, y'know what? I don't think if I feel comfortable stealing on my\nvery first day\xc2\x85"
Chandler	 Unwilling to steal from work, interesting.'
Monica	 Besides, if anybody's gonna get free stuff, it's gonna be me."
Rachel	 Okay guys, way to wish me luck!'
All	 Good luck! Go get 'em! (Rachel exits.)"
Phoebe	 Okay, let's discuss Rachel's birthday. I say we throw a surprise party\nthis weekend."
Joey	 Whoa-whoa, but her birthday isn't like for another month."
Phoebe	 Yeah but if we throw her a party on her birthday, then it's not a\nsurprise."
Monica	 I think it's a great idea. Yeah, we could have a dinner party and just\ninvite her close friends."
Joey	 Ross!! We're having a surprise party for Rachel!!"
Ross	 (from the bathroom) Okay!!'
Joey	 Done.'
Phoebe	 Okay, great so do you want to do it together?'
Monica	 I would love to do it together!'
Joey	 They're gonna do it together."
Chandler	 Dude! That's my girlfriend!"
Joey	 What, so I gotta shut it down now?'
Ross	 All right, I gotta take off. I'm picking up Ben then we're off to the big\naudition."
Monica	 It's gonna be weird to watch some actor pretending to be Ben's dad."
Ross	 Yeah.'
Chandler	 Weirder than watching his two moms make out? (Monica nods in\nagreement.)'
Joey	 Whoa-whoa dad? There's a dad in the commercial?"
Ross	 Yeah the dad and Ben eat soup and pretend to enjoy it.'
Joey	 Whoa, hey, maybe I'll go down there with ya and see if I can get an\naudition to play the dad. I mean who better to play Ben's father than his godfather."
Ross	 You're not his godfather."
Joey	 What?! Are you kidding?!'
Ross	 (Pause) Of course I am! (Joey is relieved) Okay, let's go godfather."
Joey	 All right!'
Joey	 Hey! I'm in, they're gonna let me audition!"
Ross	 Really? That's great!"
Joey	 I know! I know! It turns out that one of the casting ladies has actually\nseen me in a play, so I steered clear of her\xc2\x85'
Carol	 (noticing a kid who has picked up a copy of Variety to read) Hey,\nthat kid looks familiar.'
