Gary	 (To Phoebe) Would you like some more coffee, baby-doll?'
Phoebe	 I'm fine, thanks."
Chandler	 (To Monica) Yeah, see, I can't pull of baby-doll can I?"
Monica	 No. I think we learned that from the sugarlips incident. I'm gonna get\nsome tea."
Chandler	 Okay.'
Chandler	 Hiya doin' pumpkin?"
Phoebe	 Nope. (Chandler nods in agreement.)'
Monica	 So it looks like it's going really well for you two, huh?"
Gary	 I know, really well. In fact, I'm gonna ask Phoebe to move in with me."
Monica	 (shocked) Oh my God!'
Gary	 What do you, what do you think?'
Monica	 I think that is so great! When are you gonna ask her?'
Gary	 Tonight, but don't say anything. Okay?"
Monica	 I swear, I promise. I promise. Oh my God, I'm so excited! {And I just\ncan't hide it! I'm about to lose control and I think I like it! Sorry, just\ncouldn't resist it.} All right, listen let me tell you, do not get her flowers.\nOkay? Because y'know, she cries when they die, and there's the whole funeral\xc2\x85"
Gary	 (To Phoebe) I'll see you after work sweetie. (Kisses her.)"
Phoebe	 Okay. Bye! '
Phoebe	 So, what movie should we see?'
Monica	 (sitting down) Gary's gonna ask you to move in with him!!"
Phoebe	 What?! Really?!'
Monica	 He just told me at the counter. He made me promise not to tell, but I\ncouldn't hold it in any longer!"
Phoebe	 I can't believe this!"
Chandler	 (terrified) Right, because it's fast. Because, it's so fast. It's\nfast!"
Monica	 Relax! It's Phoebe! Not you!"
Chandler	 Oh! Good for you Pheebs, way to go! (Breathes a sigh of relief)'
Phoebe	 No, but it is fast. Isn't it?"
Monica	 Ohhhh!'
Phoebe	 No, I like him a lot but I don't think I'm ready for this!"
Chandler	 So, what are you gonna do?'
Phoebe	 I don't know. I'll just handle it\xc2\x97I'll ask you to talk to him!"
Chandler	 Me?! Why me?'
Phoebe	 Because you are so afraid of commitment! You talk to him, make him\nscared like you! Make him a\xc2\x85man!'
Chandler	 I'll try, but I'm not sure what good it would do, y'know? Because I'm\na lot less afraid of commitment than I used to be."
Monica	 That is so sweet! (She kisses him and turns to add some sugar to her\ntea.)'
Chandler	 (To Phoebe, behind Monica's back) Still terrified, I'll take care of\nit. No problem. (When Monica turns back he smiles and kisses her, when she turns away he\nnods that he'll do it to Phoebe.)"

Joey	 Hey Ross, is uh, is Staten Island really an island?'
Ross	 Uh-huh, that's why they call it Staten Island."
Joey	 Ohhh. I thought it was like Long Island.'
Ross	 (he catches the ball and pauses, staring at Joey in disbelief) Also an\nisland.'
Joey	 Hey, what time is it?'
Ross	 (looks at his watch) 2
Joey	 Wow! You realize that we've been throwing this ball, without dropping it,\nfor like an hour?"
Ross	 Are you serious?!'
Joey	 Yeah. I realized it about a half-hour ago but I didn't want to say\nanything 'cause I didn't want to jinx it."
Ross	 Wow! We are pretty good at this! Hey! We totally forgot about lunch!'
Joey	 Oh, I-I, I think that's the first time I ever missed a meal! (Checks his\npants.) Yeah, my pants are a little loose!"
Rachel	 (entering) Hey, you guys\xc2\x85'
Joey	 Hey!'
Rachel	 Is Monica here?'
Joey and Ross	 No.'
Rachel	 All right listen umm, I just bought something I'm not sure she's gonna\nlike it, and it's gonna seem a little crazy, but this is something that I wanted since I\nwas a little girl."
Ross	 You bought Shawn Cassidy!'
Rachel	 Noo! I wish! Okay, you ready? '
Joey and Ross	 Yeah!'
Rachel	 Okay! (She goes and gets her surprise and when she returns with it, Ross\nstares in shock.) Check it out!'
Ross	 What-what is it?!'
Joey	 What the hell is that?!!'
Rachel	 It's a, it's a cat!"
Joey	 That, is not a cat! {I have to agree with Joey on this one.}'
Rachel	 Yes it is!'
Ross	 Why is it inside out?!'
Rachel	 Excuse me! But this is a purebred, show-quality Sphinx cat!'
Ross	 How much did you pay for that?'
Rachel	 Well, it was a little extravagant, but I a pretty good deal.'
