Chandler	 Okay! (Stands up) This is it! (Claps his hands) We're gonna get\nmarried!"
Monica	 Are you sure you wanna do this?'
Ross	 Well, hello, Mrs. Ross! (Throws some rice.)'
Rachel	 Well, hello, Mr. Rachel! (Throws some more rice.)'
Rachel	 Wait! (Gets her bearings) Okay!'
Monica	 Whoa!'
Chandler	 Oh my God!'
Joey	 (entering with Phoebe) Come on Pheebs! Hurry! Hurry! Hurry! Hurry!'
Phoebe	 Okay! Okay! Okay! (They run into the chapel.)'
Chandler	 Oh my God!! Is everybody getting married?!!'
Attendant	 (scolding them) N-No running in the chapel!'
Phoebe	 (to her) Hey! Don\xc2\x92t you give me any of your\xc2\x97Hey! (Sees\nChandler and Monica standing there.)'
Chandler	 Hey!'
Joey	 Hey!'
Monica	 What are you guys doing here?'
Joey	 Ross and Rachel left us a message saying they were getting married!\nIsn\xc2\x92t that why you guys are here?'
Chandler	 Yes! Well that-yes.'
Monica	 Why else would we be here?'
Joey	 Well! What happened?! Did we miss it?'
Chandler	 We actually missed it.'
Phoebe	 Well, maybe you wouldn\xc2\x92t have had you (turns to the attendant) run\nin the chapel!'
Monica	 This is insane!'
Phoebe	 What\xc2\x92s the big deal, y\xc2\x92know? It\xc2\x92s not like it\xc2\x92s a\nreal marriage.'
Chandler	 What?!'
Phoebe	 Yeah, if you get married in Vegas, you\xc2\x92re only married in Vegas.'
Monica	 What are you talking about? If you get married in Vegas you\xc2\x92re\nmarried everywhere.'
Phoebe	 (shocked) Really?! '
Monica	 Yeah!'
Phoebe	 Oh my God!\xc2\x97Eh! Well\xc2\x85'

Rachel	 Ohhh! (Looks in the mirror and sees that she still has her mustache and\ngroans.)'
Ross	 Why are we in bed together?'
Rachel	 I don\xc2\x92t know. Do-do you have any clothes on?'
Ross	 (checks) Yeah.'
Rachel	 Really?!'
Ross	 No! But we-we didn\xc2\x92t have\xc2\x85sex-uh, did we? I mean, I don\xc2\x92t\nremember much about last night, it was such a blur.'
Rachel	 Oh! I remember laughing! I laughed a lot.'
Ross	 And we didn\xc2\x92t have sex. '
Rachel	 Ohh, I mean, we were really drunk. I\xc2\x92m just glad we didn\xc2\x92t do\nanything stupid.'
Ross	 (getting up) Tell me about it. (He sits up on the edge of the bed and has\n"Just Married" written on his back.)'
Joey	 Mornin\xc2\x92 Pheebs. (Sits down.) Well, my movie has officially been\ncanceled.'
Phoebe	 Oh Joey, I\xc2\x92m so sorry. You want some of my breakfast?'
Joey	 Nah, I\xc2\x92m too depressed to eat. I\xc2\x92ll probably eat in like 5\nminutes. So I guess I\xc2\x92ll just fly home with you guys, what time\xc2\x92s your flight?'
Phoebe	 What about my cab?'
Joey	 I don\xc2\x92t need that anymore.'
Phoebe	 No, Joey! You borrowed my cab; you have to drive it back.'
Joey	 I don\xc2\x92t want to drive all the way back by myself, I get so lonely.\n(Gets an idea.) Oh\xc2\x97ooh! How about you come with me?'
Phoebe	 I don\xc2\x92t know, it\xc2\x92s such a long trip.'
Joey	 It\xc2\x92ll be great! We-we could talk, and play games! Huh? This could be\nour chance to like renew our friendship.'
Phoebe	 Are you asking me to have a frenaissance?'
Joey	 Sure?'
Phoebe	 All right. Although I don\xc2\x92t think we need one, I never stopped\nloving you.'
Chandler	 Hi!'
Joey	 Hey.'
Monica	 Hey.'
Chandler	 So, has anyone talked to Dr. and Mrs. Geller yet?'
Phoebe	 Um-hmm, yeah. They left me a message; they should be here any minute.'
Joey	 Where is the waitress?! I\xc2\x92m starving!'
Chandler	 It\xc2\x92s a buffet man.'
Joey	 Oh, here\xc2\x92s where I win all my money back! (Gets up and heads for the\nbuffet table with Chandler in tow.)'
Chandler	 Listen, I gotta talk to you.'
Joey	 Sure! What\xc2\x92s up? (He grabs a plate and proceeds to load it with a\nhuge pile of scrambled eggs. Chandler just stares at him and Joey reluctantly gives him a\nspoonful.)'
Chandler	 Monica and I almost got married last night.'
Joey	 Oh my God! That\xc2\x92s huge! (Hugs him.) Wait a minute, why come I\nwasn\xc2\x92t invited? And who was going to be your best man? Don\xc2\x92t say,\n"Ross." Do not say, "Ross."'
Chandler	 Look, I just don\xc2\x92t think Monica and I are ready to get married\nyet! Y\xc2\x92know? I mean, I love her and everything but seeing Ross and Rachel coming out\nof that chapel was like a, like a wake-up call that Monica and I are moving so fast.\nY\xc2\x92know? And, how do I tell her without crushing her?'
Joey	 Oh! Tell her she\xc2\x92s not marriage material.'
Chandler	 What?!'
Joey	 Girls say it to me all the time! And believe me, if she\xc2\x92s anything\nlike me, she\xc2\x92s just gonna be relieved.'
Monica	 How do I tell Chandler that it\xc2\x92s too soon. It\xc2\x92s gonna break\nhis heart, he\xc2\x92s not gonna think that I don\xc2\x92t love him anymore.'
Phoebe	 Well you don\xc2\x92t.'
Monica	 Yes I do!'
Phoebe	 Good! Good! I was just testing you.'
Chandler	 (returning with Joey) Hi.'
Monica	 Oh hi! Hi! Y\xc2\x92know, we were just talking about bacon.'
Phoebe	 No, we were talking about tennis. Tennis is more believable. '
Ross	 Hey!'
Chandler	 Hey!'
Ross	 What?'
Chandler	 Are we gonna talk about what you guys did last night? Or\xc2\x85'
Rachel	 (To Ross) I don\xc2\x92t know. (To the gang.) What do you mean last night?\nNothing, nothing uh, happened last night.'
Ross	 Yeah!'
Phoebe	 Uh-huh! Ross invited us all to watch.'
Monica	 Rach! We weren\xc2\x92t gonna miss our friends getting married!'
Rachel	 (gasps) Who got married?! (Ross is as surprised to hear this as she is.)'
Chandler	 (not quite sure) You did.'
Ross	 What?! Hello! We didn\xc2\x92t get married.'
Rachel	 No, we didn\xc2\x92t get married! That\xc2\x92s ridiculous!'

Ross	 We-we-we\xc2\x97I remember being in a chapel.'
Rachel	 Oh my God.'
Ross	 I\xc2\x97They would not let us get married when we were that drunk!'
Rachel	 No!'
Joey	 They let you get married when you\xc2\x92re drunk! Most people who get\nmarried in Vegas are drunk!'
Phoebe	 Hell, I\xc2\x92m drunk right now! (They all turn and look at her.) What? I\ncan\xc2\x92t have a mimosa with breakfast?! I\xc2\x92m on vacation!'
