Ross	 Hey!'
Rachel	 Hey, so did everything go okay with the annulment?'
Ross	 Oh, yeah, no problems. It\xc2\x92s all taken care of.'
Rachel	 Ross, thank you. Hey, do you guys wanna go see a movie?'
Ross	 Oh yeah, why not?'
Rachel	 Okay, umm, I\xc2\x92m gonna get my sweater. (Walks away.)'
Ross	 Okay. (Sits down next to Phoebe.) You uh, you wanna hear something weird?'
Phoebe	 Always.'
Ross	 I didn\xc2\x92t get the annulment.'
Phoebe	 What?!'
Ross	 We\xc2\x92re still married! Don\xc2\x92t tell Rachel. See you later. (He gets\nup leaving Phoebe in shock.)'
Ross	 (To Rachel) Hey, do you have any gum?'
Rachel	 Oh? Yeah! Sure!'
Phoebe	 (running out) Wait! Wait! Hi! Listen, Ross can I just talk to you for\njust a second?'
Rachel	 Oh but Phoebe, we\xc2\x92re gonna be late for the movie.'
Phoebe	 Oh, there\xc2\x92s a cab! Taxi!! (The cab stops and she opens the door.)\nGood timing, my God, huh? Here you go. (Pushes Rachel in and closes the door.) '
Rachel	 Yeah, we\xc2\x92re, we\xc2\x92re actually just gonna walk \xc2\x91cause\nit\xc2\x92s right up there at the Angelica.'
Phoebe	 Oh, the Angelica!! Go! Go! (She bangs on the cab\xc2\x92s roof and it\npulls away.) (To Ross) You didn\xc2\x92t get the annulment?!!'
Ross	 I know.'
Phoebe	 Ross?!'
Ross	 Well, I tried! But when I got to my lawyer\xc2\x92s office all I could hear\nwas, "Three divorces. Three divorces!" Look, I just don\xc2\x92t want my tombstone\nto read, Ross Gellar, Three Divorces.'
Phoebe	 Don\xc2\x92t be worried about that! Your tombstone can say whatever you\nwant it to say! It could say, Ross Geller, Good at Marriage! Y\xc2\x92know? Mine\xc2\x92s\ngonna say Phoebe Buffay, Buried Alive.'
Ross	 Look, all I know is I-I can\xc2\x92t have another failed marriage!'
Phoebe	 So okay what? You\xc2\x92re gonna be married to a girl who doesn\xc2\x92t\neven know about it?!\xc2\x97Op, woman! Sorry.'
Ross	 Well, okay so, I don\xc2\x92t have it all worked out quite yet. Just\ndon\xc2\x92t say anything to Rachel, please?'
Phoebe	 Rachel is one of my closest friends. (Pause) Although, being the only\none who knows anything about this does makes me feel special. Okay!'
Rachel	 (to the driver) Okay, stop-stop! Phoebe?!'
Phoebe	 Hey Rach!'
Rachel	 What was that?!'
Phoebe	 Sorry, mix up. Hey, how was the movie?'
Rachel	 I haven\xc2\x92t seen it yet!'
Phoebe	 Well then you\xc2\x92d better hurry! The Angelica! Go! Go! (Bangs on the\nroof again and off they go.)'
Rachel	 Noooooooo!!'

Chandler	 Y\xc2\x92know when we move in together, can I get a gumball machine?'
Monica	 Of course! Joey wouldn\xc2\x92t let you have one?'
Chandler	 No. When it comes to sweets, he\xc2\x92s surprisingly strict.'
Monica	 Hey, have you figured out a way to tell him you\xc2\x92re moving out? '
Chandler	 No, no, I keep trying, y\xc2\x92know? I can get out, "Joey, I have\ntoo\xc2\x85" but then I lose my nerve and I always finish with, "\xc2\x85go to the\nbathroom." He may think I\xc2\x92m sick.'
Monica	 Y\xc2\x92know, I really have to tell Rachel, but I\xc2\x85 We just have to\nget it over with! Y\xc2\x92know, the next time we see them we\xc2\x92re just gonna tell them.\nOkay? That\xc2\x92s it.'
Chandler	 Oh, so that\xc2\x92s this is gonna work now? You\xc2\x92re just gonna\norder me around all the time?'
Monica	 Pretty much.'
Chandler	 All right.'
Joey	 (entering) Hey Monica!'
Monica	 Hi!'
Joey	 (To Chandler)\xc2\xa0Hey man, you feeling any better? (Chandler answers him\nwith some guttural sounds that only he can make and that no human can transcribe.)'
Monica	 Joey, we have something to tell you.'
Joey	 Oh my God! You\xc2\x92re pregnant!'
Chandler	 No-o-o! (To Monica) No? (She nods no.) No-o-o! Look Joey, here\xc2\x92s\nthe thing, Monica and I have decided to live together, here. So, I\xc2\x92m gonna be moving\nout man.'
Joey	 Wow! (Tearing up) Well, uh\xc2\x85 Hey! I\xc2\x92m really happy for you guys!\nCongratulations! (Kisses Monica on the cheek) See you later. (Starts for the door on the\nverge of tears as Monica stops him.)'
Monica	 Wait! Joey! Joey! Are you okay?!'
