Chandler	 (entering) Hey!'
Phoebe	 Hey! Check it out! This is unbelievable! Joey has been holding his\nbreath for almost four minutes! '
Joey	 (To Chandler) Dude! What are yo\xc2\x97you trying to kill me?!'
Rachel	 (entering from her room) Pheebs, I wanna ask you something.'
Phoebe	 Uh-huh, what?'
Rachel	 Well since I\xc2\x92m movin\xc2\x92 out and-and you\xc2\x92re so\nbeautiful\xc2\x85'
Phoebe	 Oh!'
Rachel	 \xc2\x85how about I move in with you?'
Phoebe	 Well, that would be great but then what do we do about Denise?'
Monica	 Who\xc2\x92s Denise?'
Phoebe	 My roommate.'
Rachel	 You have a roommate?!'
Phoebe	 Yes, Denise. Denise! '
Joey	 Hey, what is with the secrecy Phoebe? Huh? And what about this Denise, is\nshe cute?'
Chandler	 Pheebs, I don\xc2\x92t understand. How can you have a roommate that none\nof us know anything about?'
Phoebe	 Maybe because you never listen to anything that I say. I talk about her\nall the time! DENISE!!!!!'
Joey	 Hey Rach, listen I was thinkin\xc2\x92 uh, I\xc2\x92m gonna have an extra room\nover at my place\xc2\x85'
Rachel	 Oh, that\xc2\x92s true.'
Joey	 Yeah, why don\xc2\x92t you move in with me? It\xc2\x92ll be great! We could\nstay up late, watch movies, and you know about Naked Thursday\xc2\x92s right?'
Rachel	 Yeah, yeah I think I\xc2\x92m gonna find my own place.'
Chandler	 Hey-hey! I thought Naked Thursday\xc2\x92s was just our thing man!'

Phoebe	 Hey.'
Ross	 Hey!'
Phoebe	 So, what did Rachel say when you told her you were still married to her?'
Ross	 Oh, that. Umm, she took it really well.'
Phoebe	 You didn\xc2\x92t tell her did you?'
Ross	 No. '
Phoebe	 Of course not, because you\xc2\x92re in love with her.'
Ross	 I am not in love with her. She was very upset about having to move out so\nI eh, didn\xc2\x92t tell her we were still married because she would only get more upset.\nI-I just comforted her, as a friend.'
Phoebe	 What do you mean, comforted her?'
Ross	 It\xc2\x92s nothing, I just gave her a hug.'
Phoebe	 Ah-ha! A classic sign of love, the hug!'
Ross	 It\xc2\x92s also a sign of friendship.'
Phoebe	 Yeah, not in your case Lovey Loverson. (Tries to take a bite out of\nRoss\xc2\x92s cookie.)'
Ross	 (grabs back his cookie) It was a hug!'
Phoebe	 Okay, just tell me this, did you or did you not smell her hair?'
Ross	 S-s-smell her hair? What if I did?'
Phoebe	 Ninety percent of a women\xc2\x92s pheromones come out the top of her\nhead! That\xc2\x92s why, that\xc2\x92s why women are shorter. So that men will fall in love\nwhen they hug them! (Ross is staring at her dumbfounded.) Oh come on Ross, you\xc2\x92re a\nscientist. '
Ross	 I was hugging her as a friend. It\xc2\x92s not my fault her-her hair got in\nmy face, she\xc2\x92s got a lot of it and it smells all-all uh\xc2\x85coconutty. (Phoebe\nraises her eyebrows.) What?! Oh, that doesn\xc2\x92t mean I have feelings for Rachel! Maybe\nit means I have feelings for coconuts!'
Phoebe	 (taking his coffee) Okay, whatever you say. But just be careful, all\nright? Rachel\xc2\x92s not in the same place you are.'
Ross	 (grabbing back his coffee) If the place you are referring too is being in\nlove, then she is in the same place as me because I am not in that place!'
Phoebe	 Okay, I didn\xc2\x92t understand that, but y\xc2\x92know, maybe that\xc2\x92s\n\xc2\x91cause you were speaking the secret language of love! '
Joey	 Hey! (To Chandler) Dude, some guy just called for you.'
Chandler	 Who was it?'
Joey	 I don\xc2\x92t know! How about, "Thanks for taking the message."\nJeez! (Exits.)'
Monica	 Okay listen, y\xc2\x92know when you move in Rachel\xc2\x92s room is gonna be\nempty, you wanna talk about what we want to do with it?'
Chandler	 Sure!'
Monica	 Okay, I was thinking we should have a beautiful guest room, right? With\na mahogany sleigh bed and bedside tables with flowers on them all the time! And we could\nhave a roll top desk with comment cards on them so people could say how much they loved\nstaying here!! Okay, whatever, I really haven\xc2\x92t thought about it that much.'
Chandler	 Well, I like that idea. Obviously! I was thinking maybe-maybe-maybe it\ncould be a game room, y\xc2\x92know? I mean you can buy old arcade games like uh, like Space\nInvaders and Asteroids for $200, the real ones! The big-big ones!'
Monica	 No.'
Chandler	 Okay so you mean no as in, "Gee Chandler, what an interesting\nidea. Let\xc2\x92s discuss it before we reject it completely."'
Monica	 Oh, I\xc2\x92m sorry. Of course I mean that. Interesting idea, umm, talk\nabout it, but no.'
Chandler	 So, that\xc2\x92s it?'
Monica	 I just don\xc2\x92t think arcade games go in the beautiful guest room. The\nbeautiful guest room is gonna be filled with antiques.'
Chandler	 Which is why Asteroids is perfect! It\xc2\x92s the oldest game!'
Monica	 What do you have against the beautiful guest room?'
Chandler	 I don\xc2\x92t have anything against the beautiful guest room,\nespecially since everybody we know lives about 30 seconds away!'
Monica	 Are you mocking me?'
Chandler	 No, I\xc2\x92m not mocking you, (in a mocking voice) or you beautiful\nguest room. (Exits.)'
Joey	 Hey, what\xc2\x92s up?'
Chandler	 Nothing, Monica and I had a stupid fight.'
Joey	 But you\xc2\x92re still moving in together, right? Because my ad came out\ntoday. (Shows him the paper.)'
Chandler	 (reading the ad) "Wanted. Female roommate, non-smoker,\nnon-ugly." Nice!'
Joey	 Yeah? I just figured y\xc2\x92know, after living with you it\xc2\x92d be an\ninteresting change of pace to have a female roommate, y\xc2\x92know? Someone I can learn\nfrom, someone-someone who\xc2\x92s different than me. And what\xc2\x92s more different than\nme; a guy who\xc2\x92s not 19 than say a girl who is 19? Enh? (Points to his head.)\nNot just a hat rack my friend!'
Rachel	 Pheebs, I have to ask you\xc2\x85'
Phoebe	 Shhhhhh! I\xc2\x92m swamped right now.'
Rachel	 You\xc2\x92re just staring into space.'
Phoebe	 Umm, I\xc2\x92m trying to move that pencil. (There\xc2\x92s a pencil lying\non the table.)'
Rachel	 This one? (Picks it up.)'
Phoebe	 It worked!'
Rachel	 Pheebs, this whole apartment thing is just a nightmare! Every place I\ncan afford comes with a roommate who is a freak. I mean, look at this; (Points to one and\nstarts to read it.) "Wanted. Female roommate, non-smoker, non-ugly." It\xc2\x92s\njust, there is nothing! The city\xc2\x92s full!'
Phoebe	 Wait, no, look at this! (Points to one.) (Reading) "Two bedroom,\ntwo bath, must be non-smoker, Satan worshipers okay\xc2\x85" Oh, yeah, but it\xc2\x92s on\nthe ground floor.'
Ross	 (entering) Hey!'
Rachel	 Hey.'
Ross	 Rach, uh, you still looking for a place?'
Rachel	 Yeah! Why?'
Ross	 Okay, there\xc2\x92s this guy, Warren, from the museum and he\xc2\x92s going\non a dig for like two years and he\xc2\x92s got this great place he needs to sublet. So uh,\nyou interested?'
Rachel	 That sounds great! I\xc2\x92d love to live at Warren\xc2\x92s!! I love\nWarren! Thank you!'
