Rachel	 So, which of this kitchen stuff is mine?'
Monica	 This bottle opener. (She grabs it off of the freezer door.)'
Rachel	 And?'
Monica	 And it\xc2\x92s a magnet!'
Rachel	 Look at that!'
Ross	 How weird is that? Y\xc2\x92know? You\xc2\x92re moving in with me and have the\none thing I don\xc2\x92t have. It\xc2\x92s like uh, in a way you-you complete me\n(Phoebe glares at him) kitchen.'
Rachel	 What?!'
Ross	 (in an Australian accent) You complete me kitchen, matey!'
Phoebe	 Ross, I know what you\xc2\x92re thinking.'
Ross	 What?'
Phoebe	 That she\xc2\x92s gonna move in with you and maybe then she\xc2\x92ll fall\nin love with you and then when she finds out you\xc2\x92re already married, she\xc2\x92ll just\nbe happy. Y\xc2\x92know? You\xc2\x92re just, you\xc2\x92re very sad.'
Ross	 Oh\xc2\x85my\xc2\x85God! I-I see what this is! You are in love with\nRachel!'
Phoebe	 What?!!'
Ross	 Of course! It all adds up! I mean you you\xc2\x92re obsessed with her.\nIt\xc2\x92s always, "Ross, what are you gonna do about Rachel?" "Ross,\nwhy-why are you moving in with Rachel?" "When are you gonna confess your secret\nmarriage to Rachel?" You want her!'
Phoebe	 No! (Ross\xc2\x92s phone rings.)'
Ross	 (answering it) Uh-oh, saved by the bell. (On phone) Hello?'
Monica	 Hey Rach, aren\xc2\x92t these candlesticks (holds up a pair) mine?'
Rachel	 No-no, I bought those.'
Monica	 Ohh! Yeah, I forgot.'
Rachel	 Yeah. (Rachel walks away.)'
Monica	 (under her breath) That you\xc2\x92re a liar. (Hides the candlesticks in a\ndrawer.)'
Ross	 (on phone) No-no-no, that\xc2\x92s great! I\xc2\x92ll be there Monday. And\nthank you again! (Listens) Okay. (Hangs up) (To All) Umm, that was the head of the\nPaleontology department at N uh, Y, uh U!'
Monica	 Wow! Uh what, did he uh, say?'
Ross	 Well remember that paper I had published last year on sediment flow rate,\nhuh? They loved it. '
Rachel	 Well, who wouldn\xc2\x92t?!'
Ross	 I know! Anyway, they asked me to be a guest lecturer! I mean it\xc2\x92s\ntemporary, but uh, if they like me it could lead to a full time job. How great would that\nlook great on a mailbox, huh? "Professor Geller."'
Phoebe	 Yeah, Professor and Mrs.'
Rachel	 And Mrs.?!'
Phoebe	 Oh! Yeah, y\xc2\x92know you and Ross are still married.'
Rachel	 What?!!'
Phoebe	 Just kidding!'
Rachel	 Ohh! Oh God! (Laughs her way into the living room.) '
Phoebe	 (To Ross) Saved your ass.'

Chandler	 Hey!'
Phoebe	 Hi.'
Monica	 Hey!'
Chandler	 Oh, what\xc2\x92s the matter?'
Phoebe	 Well, you know that psychic I see?'
Chandler	 Yeah?'
Phoebe	 Well, she told me that I\xc2\x92m gonna die this week, so I\xc2\x92m kinda\nbummed about that.'
Chandler	 What?!'
Phoebe	 Yeah, and I know you guys don\xc2\x92t know a lot about psychic readings,\nbut that one is pretty much the worse one you can get.'
Monica	 Phoebe that\xc2\x92s crazy!'
Joey	 I can\xc2\x92t believe she would say that too you.'
Rachel	 Yeah honey you don\xc2\x92t believe her do you?'
Phoebe	 I don\xc2\x92t\xc2\x97she said y\xc2\x92know that I\xc2\x92d have triplets! But\nshe also said one of them would be black.'
Chandler	 Just out of curiosity did she tell you how you\xc2\x92re gonna go?'
Phoebe	 No, \xc2\x91cause she didn\xc2\x92t tell me I was gonna die until the very\nend of the session, and I was not gonna waste a whole another hour there! I mean I\xc2\x92ve\nonly got a week left, y\xc2\x92know? I\xc2\x92ve really gotta start living now! (So she\npicks up the latest copy of Car and Driver (a U.S. auto magazine), leans back, and\nstarts reading.)'
Ross	 (entering) Hey everyone!'
Chandler	 Oh hi!'
Ross	 Hey uh, well, today\xc2\x92s my first lecture and I kinda wanted to try it\nout on you guys, do you, do you mind?'
All	 Oh that\xc2\x92d be great. Sure!'
Ross	 (he starts reading directly from his cards word for word very quietly)\n"There are three primary theories concerning sediment flow rate. Each of these\ntheories can be further subcategorized into two distinct\xc2\x85"'
Phoebe	 Oh, this is it. This what\xc2\x92s gonna kill me.'
Ross	 (continuing) "\xc2\x85subcategories. The first of these subcategories\nis\xc2\x85"'
Joey	 (interrupting him) Uh Ross! Are there uh, are there naked chicks on that\npiece of paper?'
Ross	 No! Why?'
Joey	 Well, I\xc2\x92ve just never seen a guy stare so hard at a piece of paper\nthat didn\xc2\x92t have naked chicks on it.'
Ross	 Ohh! Okay! Okay. (Resumes reading word for word from the card) "There\nare three (pauses and looks at Joey) primary theories concerning sediment flow rate.\n(Pauses and darts his eyes between Chandler and Rachel.) (Rachel starts laughing) Each of\nthese theories (glances at Phoebe) can be further subcategorized (glances at Chandler)\ninto\xc2\x85"'
Chandler	 Why don\xc2\x92t you open with a joke?'
Ross	 Open with a joke? It\xc2\x92s a university, not a comedy club!'
Chandler	 Wait a minute, hold the phone! You\xc2\x92re not talking about\nChuckles University?!'
Ross	 (gets up) Okay!'
All	 Ohh! We\xc2\x92re kidding! Oh, we\xc2\x92re kidding!'
Rachel	 Ross, hey you know what might make it less boring?'
Ross	 Thank you!'
Rachel	 Some uh, some visual aides.'
Joey	 Oh-ooh-ooh! Y\xc2\x92know what\xc2\x92s a good visual aide?'
Ross	 Please don\xc2\x92t say naked chicks.'
Joey	 Why not?!'
Ross	 I-I-I don\xc2\x92t even know why I bother to talk to you guys about it.\nY\xc2\x92know what? I\xc2\x92m just gonna do it on my own with no naked chicks.'
Chandler	 That\xc2\x92s the way I did it \xc2\x91til I was 19.'
Chandler	 Hey.'
Joey	 Hey! Any good mail?'
Chandler	 Yes, you got something from the Screen Actor\xc2\x92s Guild.'
Joey	 Ooh, it\xc2\x92s probably a residual check, hey can you open it for me,\nI\xc2\x92m kinda\xc2\x85.'
Chandler	 (opens and reads it) "Benefits lapsed."'
Joey	 Hmm that\xc2\x92s weird. I don\xc2\x92t remember being in a move called\nbenefits lapsed.'
Chandler	 Okay, it\xc2\x92s not a check. They\xc2\x92re saying your health insurance\nexpired because, you didn\xc2\x92t work enough last year.'
Joey	 Let me see that!'
Chandler	 All right.'
Joey	 (reads it) Oh, I can\xc2\x92t believe this! This sucks! When I had insurance\nI could get hit by a bus or catch on fire, y\xc2\x92know? And it wouldn\xc2\x92t matter. Now I\ngotta be careful?!'
Chandler	 I\xc2\x92m sorry man, there\xc2\x92s never a good time to (pauses) stop\ncatching on fire.'
Joey	 All right well, I guess I gotta go get a job. I\xc2\x92m gonna go see my\nagent.'
Chandler	 Okay, make sure you look both ways before you cross the street.'
Joey	 (mocks him, in a whiney voice) \xc2\x85look both ways before you cross the\nstreet. (Turns and walks headlong into the closed door.)'
Phoebe	 Hey!'
Rachel	 Hey Pheebs, you\xc2\x92re still alive! How are you doing?'
Phoebe	 Ugh, it\xc2\x92s so exhausting waiting for death. Ohh, by the way,\ndo you think you could\xc2\x97(Groans, hacks, and then freezes with her eyes open and her\ntongue hanging out.)'
Rachel	 Pheebs, what-what are you doing?'
Phoebe	 I was preparing you for my\xc2\x97didn\xc2\x92t you think I was dead? Did\nthat not come off?'
Rachel	 Oh yeah, scared the hell out of me. I thought we\xc2\x92d lost you\nforever. Pheebs, you lie down?'
Phoebe	 Yeah, thanks. And listen, can you do me a favor? Could you just umm,\nwake me up in a couple hours, y\xc2\x92know if you can.'
Rachel	 Monica!'
Monica	 Hmm? (Rachel holds up the candlesticks.)'
Rachel	 Did-did you take these back?'
Monica	 No-no, I-I just, I liked them so much that I went out and bought some\nfor myself.'
