Rachel	 I cannot believe that you didn\xc2\x92t tell me that we are still\nmarried!!'
Ross	 Look I was going to tell you!'
Rachel	 When?! After the birth of our first secret child?! (To All) Ross\ndidn\xc2\x92t get the annulment; we are still married.'
Chandler	 What?'
Monica	 You\xc2\x92re kidding!'
Phoebe	 (overdoing it) Oh my God!!'
Monica	 Ross!'
Ross	 Okay, maybe it wasn\xc2\x92t my best decision. But I just couldn\xc2\x92t face\nanother failed marriage.'
Chandler	 Okay, let me just jump in and ask, at what point did you think this\nwas a successful marriage?'
Ross	 Rach, come on, if you think about it, it\xc2\x92s actually kinda funny. (He\nlaughs, and he laughs alone.) Okay, maybe it\xc2\x92s best not to think about it.'
Phoebe	 Okay, this is inexcusable. I am shocked to my very core!'
Ross	 Phoebe, I told her you already knew.'
Phoebe	 Another lie. You have a sickness!'
Chandler	 Ross, just for my own piece of mind, you\xc2\x92re not married to\nanymore of us are ya?'

Joey	 Oh! Hey, somebody left their keys. (Looks at them) Ooohh, to a Porsche!\n{Transcriber\xc2\x92s note
Gunther	 Yeah, that\xc2\x92s what I drive. I make four bucks an hour, I saved up\nfor 350 years!'
Joey	 Na-uh! (To everyone there) Hey did anybody lose their keys?'
Monica	 Joey, why don\xc2\x92t you put them in the lost and found?'
Joey	 There\xc2\x92s a lost and found? (Gunther sets the box up on the table.) My\nshoe! (Grabs it out of the box.)'
Chandler	 You left a shoe here?!'
Joey	 Well, I didn\xc2\x92t realize until I got home. I wasn\xc2\x92t gonna walk all\nthe way back down here with one shoe! Y\xc2\x92know what? I\xc2\x92m gonna go find that\nguy\xc2\x92s car and leave a note on the windshield. (Goes to do so.)'
Chandler	 Oh good, when he comes back for his keys, I\xc2\x92ll be sure to give\nhim your shoe.'
Joey	 Great! Thanks. (Exits.)'
Phoebe	 (coming in from the bathroom) Oh, good, good, you guys are here! Listen,\nhow would like to spend tomorrow taking care of three incredibly cute little puppies?!'
Monica	 Oh my God, what a fun day! That sounds great!'
Chandler	 (not enthused) Yeah, all right.'
Phoebe	 Okay, well I\xc2\x92ll bring them by tomorrow morning. Okay, and uh, by\nthe way, they\xc2\x92re not actually puppies, they\xc2\x92re Frank and Alice\xc2\x92s triplets.\nOkay, see ya! (Exits.)'
Chandler	 Whoa-whoa-whoa! What?'
Phoebe	 (stops) Please! Please! Please! Please! Oh please! Please! Please! Frank\nand Alice asked me to baby sit the triplets and I\xc2\x92m nervous \xc2\x91cause I\xc2\x92ve\nnever done that before by myself!'
Monica	 Don\xc2\x92t worry about it Phoebe, we\xc2\x92ll absolutely do it.'
