Chandler	 (watches Joey for a moment) Okay! (Joey quickly moves the hockey stick\nso that he\xc2\x92s scratching his back with it.) Listen, I\xc2\x92m gonna be moving out so you\nwill be in charge of paying the rent.'
Joey	 Right! And when is that due?'
Chandler	 First of the month.'
Joey	 And that\xc2\x92s every month?'
Chandler	 No, just the months you actually want to live here.'
Joey	 Ahhh.'
Chandler	 Okay, here is the phone bill. (Hands it to Joey.)'
Joey	 (looking at it) Oh my God!!'
Chandler	 That\xc2\x92s our phone number. Now look, I know I kinda sprung this\nwhole me moving out on thing, so why don\xc2\x92t I just\xc2\x97why don\xc2\x92t I just cover\nyou for a while?'
Joey	 No-no! No way! Joey Tribbiani does not take charity\xc2\x85anymore.'
Chandler	 It\xc2\x92s not charity, Joe\xc2\x85'
Joey	 No! Forget it! Okay\xc2\x97I mean thanks, but I\xc2\x92m done taking money\nfrom you. All right, I can take of myself. Now, what\xc2\x92s next? Come on.'
Chandler	 Okay uh, here\xc2\x92s the electric bill. (Hands it to him.)'
Joey	 This is how much we pay for electric?!!!'
Chandler	 Uh, yeah.'
Chandler	 So, we\xc2\x92ll do the rest of the bills later then?'

Phoebe	 So is Joey going to have to give up the apartment?'
Chandler	 No, I hope not! I tried to offer him some money, but he wouldn\xc2\x92t\ntake it.'
Phoebe	 Well, how much do you think he needs?'
Chandler	 I figure that $1,500 would cover him for a few months, y\xc2\x92know?\nBut I have to trick him into taking it so I won\xc2\x92t hurt his pride.'
Phoebe	 Why don\xc2\x92t you hire him as an actor? You could have him dress up and\nput on little skits. Whatever you want.'
Chandler	 Well that would help the pride thing.'
Monica	 (entering from her room) Hey!'
Chandler	 Hey! Wow! You look great! Wanna move in with me tomorrow?'
Monica	 (thinks) Okay.'
Chandler	 Okay! (They kiss) So, what do you girls have planned for tonight?'
Monica	 Well, instead of being sad that tonight is my last night together with\nRachel we thought we\xc2\x92d go out to dinner and celebrate the fact that Rachel is moving\nin with Phoebe.'
Phoebe	 And also, my birthday.'
Monica	 It\xc2\x92s not your birthday.'
Phoebe	 What a mean thing to say! I would never tell you it\xc2\x92s not\nyour birthday!'
Joey	 Hey!'
Ross	 Hey!'
Chandler	 Hey!'
Phoebe	 Hey! So you guys have anything planned for the big last night?'
Chandler	 Well, instead of just hanging out, we figure we\xc2\x92d do nothing.'
Ross	 Whoa-whoa-whoa, Knicks season opener tonight. I thought maybe you guys\nwould come over and watch it.'
