Monica	 (on phone) Okay, great!\xc2\xa0 Bye. (Hangs up as Chandler enters.) So\nguess who\xc2\x92s coming to Thanksgiving dinner?'
Chandler	 Sydney Portier? Hehheh.'
Monica	 (not amused by Chandler\xc2\x92s joke) I miss Rachel. (To Chandler) No, my\nparents.'
Chandler	 Oh! That\xc2\x92s great, they haven\xc2\x92t seen the place since I moved\nin!'
Monica	 Yeah, and y\xc2\x92know, if you could not mention to them that we live\ntogether, that would be great! (Quickly trying to change subjects), I was thinking we\nwould eat around four.'
Chandler	 (shocked at the news) Why can\xc2\x92t I tell them that we live\ntogether?'
Monica	 Because they don\xc2\x92t know we\xc2\x92re dating. (Again, trying to\nquickly change subjects.) Do you think we should eat in the kitchen? (Goes to the sink and\nthe stove to cook.)'
Chandler	 Why haven\xc2\x92t you told them?!'
Monica	 Um, well, I was going to, I-I-I really was. But um, then somewhere, just\nout of nowhere, I didn\xc2\x92t.'
Chandler	 Why haven\xc2\x92t you told them?! Wouldn\xc2\x92t they be happy?!'
Monica	 (trying to change subjects, excitedly) So! Dinner in the kitchen around\nfour! I\xc2\x92ll see you then. (Pats Chandler on the shoulder and goes into the living\nroom.)'
Chandler	 Why wouldn\xc2\x92t they be happy?'
Monica	 Well, um, because mainly, um, they don\xc2\x92t like you. I\xc2\x92m sorry.'
Chandler	 What? What? Why?!'
Monica	 Maybe because you used to be aloof, or that you\xc2\x92re really\nsarcastic, or that, y\xc2\x92know, you joke around all the time. Or that you take off your\nclothes and throw them on the couch.'
Chandler	 Is this why they don\xc2\x92t like me or why you don\xc2\x92t like me?'
Monica	 Look, I know that I should\xc2\x92ve told them. I know I shouldn\xc2\x92t\ncare what they think. I\xc2\x92m sorry. '
Chandler	 Y\xc2\x92know, it\xc2\x92ll be okay. It\xc2\x92ll be okay. Because when they\ncome over, I will be all charming, I will make them fall in love with me, and then\nwe\xc2\x92ll tell \xc2\x91em.'
Monica	 You really think that\xc2\x92ll work?'
Chandler	 Hey, I can be pretty charming, babe, I won YOU over, didn\xc2\x92t I?'
Monica	 (hugging Chandler) I don\xc2\x92t think you\xc2\x92ll ever get my parents\nthat drunk! '

Chandler	 Hey! (Sees Ross is there) Oh, good, Ross! You\xc2\x92re parents like me,\nright?'
Ross	 (only half-paying attention) Yes, of course they like you!'
Chandler	 Well Monica just told me that they don\xc2\x92t.'
Ross	 (not paying attention) Yeah, they don\xc2\x92t like you.'
Chandler	 (annoyed) Do you know why?'
Ross	 I dunno, maybe it\xc2\x92s because you\xc2\x92re really sarcastic. Or maybe\nit\xc2\x92s cause you uh-'
Chandler	 (angry) Well if people don\xc2\x92t know they shouldn\xc2\x92t just guess!'
Chandler	 This is great, another Thanksgiving with nothing to give thanks for.'
Joey	 Maybe I could give thanks for you shuttin\xc2\x92 up, eh?'
Chandler	 Maybe I could give thanks by taking my Playstation over to my\nnew apartment.'
Joey	 Well maybe I love ya\xc2\x92.'
Chandler	 [mocks that last comment].'
Chandler	 Hey.'
Janine	 Hey guys!'
Ross	 (trying to act manly in front of Janine) No I don\xc2\x92t want to\nplay video games, Joey!'
Janine	 Are you guys going to Chandler\xc2\x92s for Thanksgiving?'
Joey	 Yeah! Yeah, why? What\xc2\x92s up?'
Janine	 Well, me and my dancer friends are thinking of doing Thanksgiving\nuptown. I thought you guys might like to come.'
Ross	 For real?'
Janine	 No, but you should go to Chandler\xc2\x92s. Because none of us knows how\nto cook, we\xc2\x92ll probably just end up drinking all day.'
Joey	 Ye-ye, we go to yours!'
Ross	 Yeah, see, we-we-we have to stop across the hall, because it\xc2\x92s my\nsister. But, uh, uh y\xc2\x92know actually, growing up with a sister was nice because it\nreally helped me understand women. Yeah, you-you should tell your friends that.'
Janine	 (not sure of what to make of that) Okay.'
Joey	 How you got three women to marry you, I\xc2\x92ll never know.'
Phoebe	 Hey!'
All	 Hey!'
Rachel	 Hey! Hey, Pheebs, check it out. Yeah, for my desert, I have chosen to\nmake a traditional English truffle!'
Phoebe	 Wow, that sounds great! And what are you making Monica, in case\nRachel\xc2\x92s dessert is...[about to say \xc2\x93bad\xc2\x94] so good that I eat all of it.\nThere\xc2\x92s none left for anybody else!'
Monica	 Nothing.'
Rachel	 (worried) Nothing?'
Monica	 No, sweetie, I-I trust you.'
Rachel	 So, if-if I mess this up, there\xc2\x92s nothing else for dessert?'
Monica	 You\xc2\x92re not gonna mess it up.'
Rachel	 Wow, Monica, I love that, you really have faith in me. Thank you.\nTechnical question, how do you know when uh, the butter\xc2\x92s done?'
Monica	 Well, it\xc2\x92s done about two minutes before it looks like that.'
Joey and Ross	 Hey!'
All	 Hey!'
Joey	 Oh, ooh the food smells great, Mon!'
Ross	 And the place looks so nice!'
Joey	 Yeah, hey hey, Happy Thanksgiving everybody!'
