Ross	 Hey, you\xc2\x92re not going to believe this. I made up a joke and sent it\nin to Playboy. They printed it!'
Phoebe	 I didn\xc2\x92t know Playboy prints jokes.'
Ross	 Yeah, they print jokes, interviews, hard-hitting journalism. It\xc2\x92s not\njust about the pictures.'
Monica	 That didn\xc2\x92t work on mom, it\xc2\x92s not going to work on us.'
Ross	 (showing them the page) Here, check it out. It\xc2\x92s the first\none, too.'
Chandler	 That is funny. It was also funny when I made it up.'
Ross	 What?'
Chandler	 I made that joke up.'
Ross	 Uh, oh-oh, no you didn\xc2\x92t. I did.'
Chandler	 Yes, I did. I told it to Dan at work, and he said it was the funniest\njoke he\xc2\x92d ever heard.'
Ross	 Hey, tell Dan, \xc2\x91Thanks.\xc2\x92'
Ross	 What?'
Rachel	 I\xc2\x92m sorry, I was just reading the joke below it. Man, that one is\nfunny. (Ross grabs the magazine away from her.)'
Chandler	 Monica, you remember me telling you that joke, right?'
Monica	 No.'
Chandler	 Seriously?'
Monica	 Well, you tell a lot of jokes!'
Ross	 Look, Chandler, it\xc2\x92s my joke. But, hey, if it makes you feel any\nbetter they don\xc2\x92t print the name, so it doesn\xc2\x92t really matter who gets credit,\nright?'
Chandler	 Yeah, I guess.'
Joey	 (entering) Hey guys.'
Chandler	 (jumping up from his chair) Hey, Joey, Playboy\nprinted my joke.'
Ross	 No, it\xc2\x92s my joke, it\xc2\x92s mine. You can call them, they\xc2\x92ll\ntell you.'
Chandler	 It\xc2\x92s my joke.'
Ross	 It\xc2\x92s my joke.'
Joey	 Whoa-whoa-whoa. Jokes? You guys know they have naked chicks in there,\nright?'

Chandler	 Dude, you have got to turn on Behind the Music. The band Heart\nis having a really tough time, and I think they may break up.'
Joey	 Let\xc2\x92s go watch it at your place.'
Chandler	 Nah, Monica\xc2\x92s watching some cooking show. Come on, I don\xc2\x92t\nwant to miss when they were skinny.'
Joey	 Chandler, Chandler, y\xc2\x92know what we should do? You and I should go out\nand get some new sunglasses.'
Chandler	 What? No, I want to watch this. (He turns on the television and the\nscreen is completely covered in snow). Did your cable go out?'
Joey	 No, that\xc2\x92s VH-1. I gotta tell you, the music these kids listen\nto today . . . It\xc2\x92s like a lotta noise to me. I don\xc2\x92t know\xc2\x85'
Chandler	 Joey, why is your cable out?'
Joey	 I uh, oh! Because, uh, I haven\xc2\x92t really paid the bill'
