Joey	 Okay Rach, that muffin and espresso, $4.50. Ross, double latte, $2.75.\nChandler, coffee and a scone, $4.25. And Pheebs, herbal tea, $1.25. So, all together\nthat\xc2\x92s (pauses to figure the total) $12.75.'
Chandler	 This coming from the man who couldn\xc2\x92t split our 80 dollar phone\nbill in half.'
Woman	 Hi!'
Joey	 Hi!'
Woman	 How much do I owe you for the muffin and the latte?'
Joey	 Oh that\xc2\x92s on the house courtesy of Joey Tribbiani.'
Woman	 Oh great! Well, tell him thanks. And since uh, Joey seems like such a\nnice guy, maybe we could go on a date sometime?'
Joey	 Well, he\xc2\x92s not used to women being so forward with him; but uh, I\ngood check with him\xc2\x97He says it\xc2\x92s okay. (She hands him her card.) Great! Thanks!\nBye-bye!'
Ross	 Hey Joey, how come our stuff isn\xc2\x92t free?'
Joey	 It will be when you look like that in a tight skirt! This is great!\nI\xc2\x92m getting more dates than ever!'
Rachel	 Wait a minute, you\xc2\x92re only giving free stuff away to the pretty\ngirls?'
Phoebe	 Yeah Joey that is so gross!'
Joey	 How about a scone on the house baby?'
Phoebe	 (giggles) I\xc2\x92m pretty.'

Ross	 Hey does anyone have any gum?'
Phoebe	 Oh I do! (She grabs her huge purse and starts rummaging through it and\ntaking out various items in a futile search for the gum.) Oh, y\xc2\x92know what? No.\n(Pause) Wait a second. (She removes a bag filled with water that has a goldfish swimming\nin it.) I know it\xc2\x92s in here somewhere.'
Ross	 Y\xc2\x92know what? I\xc2\x92m good! I\xc2\x92m good!'
Monica	 (entering) Hey!'
Ross	 Hey!'
Chandler	 Hey, what are you doing here? Shouldn\xc2\x92t you be at work?'
Monica	 (congested) Ugh, they sent me home. They said I can\xc2\x92t work if\nI\xc2\x92m sick.'
All	 Ohh!'
Chandler	 I\xc2\x92m so sorry you\xc2\x92re sick.'
Monica	 I\xc2\x92m not sick!! I don\xc2\x92t get sick! Getting sick is for weaklings\nand for pansies! '
Rachel	 Honey, no one thinks you\xc2\x92re a pansy, but we do think you need a\ntissue. (She notices something hanging from Monica\xc2\x92s nose, as does Joey.)'
Monica	 (wiping her nose) I have not been sick in over three years! (Sneezes.) '
Chandler	 I\xc2\x92m gonna grab you some tissue.'
Monica	 I don\xc2\x92t need a tissue! I\xc2\x92m fine-d! '
Ross	 When you put a \xc2\x91D\xc2\x92 at the end of \xc2\x91Fine\xc2\x92 you\xc2\x92re\nnot fine.'
Monica	 I\xc2\x92m fine-d. I\xc2\x92m fine-d! Y\xc2\x92know, it\xc2\x92s a really hard\nword to say.'
Chandler	 Yes?'
Woman	 Hi, is Rachel here? I\xc2\x92m her sister.'
Rachel	 Oh my God, Jill!'
Jill	 Oh my God, Rachel!'
Chandler	 Oh my God, introduce us!'
Rachel	 This is Chandler. (Points at him.)'
Jill	 Hi!'
Rachel	 And you know Monica and Ross!'
Ross	 Hi Jill.'
Rachel	 And that\xc2\x92s Phoebe (points), and that\xc2\x92s Joey.'
Joey	 Hey, (in the Joey voice) how you doin\xc2\x92?'
Rachel	 Don\xc2\x92t!! (Joey backs away frightened.) (To Jill) Honey, what are you\ndoing here?!'
Phoebe	 (To Ross) Which-which sister is this? Is this the spoiled one or\nthat\xc2\x92s bitter?'
Jill	 (To Rachel) Daddy cut me off.'
Phoebe	 Never mind, I got it.'
Jill	 And y\xc2\x92know what I said to him? "I\xc2\x92m gonna hire a lawyer and\nI\xc2\x92m gonna sue you and take all your money. Then I\xc2\x92m gonna cut you off!"'
Rachel	 Wow! What did he say?'
Jill	 That he wouldn\xc2\x92t pay for my lawyer! Then he told me to come here and\nlearn about the value of money from the one daughter he\xc2\x92s actually proud off.'
Rachel	 Oh! Did you hear that?! My dad\xc2\x92s proud of me! My dad\xc2\x92s proud\nof me.'
Monica	 Rach? (Points to Jill.)'
Rachel	 Oh yeah, sorry. Wait honey, so what did you do that made dad cut you\noff?'
Jill	 Okay, I bought a boat.'
Monica	 You bought a boat?'
Jill	 Yeah but it wasn\xc2\x92t for me, it was for a friend.'
Chandler	 Boy did we make friends with the wrong sister! (Rachel glares\nat him.)'
Rachel	 Jill, honey, I think this is the best thing that could\xc2\x92ve ever\nhappened to you. I mean you needed to get out on your own anyway! And you know when I did\nit, I-I-I at first I was scared, and look at me now! I\xc2\x92m the only daughter dad is\nproud of! Okay, well this is, this is what you\xc2\x92re gonna do. You\xc2\x92re gonna get a\njob, you\xc2\x92re gonna get an apartment, and then I\xc2\x92ll help you and you can stay with\nus. Right Pheebs, she can stay with us?'
Phoebe	 Of course, yeah!'
Jill	 Oh, that\xc2\x92s so great! Okay, I\xc2\x92m really gonna do this! I\ndon\xc2\x92t know how to thank you guys.'
Phoebe	 Ooh, I like cards.'
Joey	 (to a customer) Are you all finished here?'
Customer	 Yes.'
Joey	 Great! (Joey takes his cookie and finishes it.)'
Gunther	 Okay, here are the tips for this morning. Jen gets 50, 50 for me, and\nJoey owes eight dollars.'
Joey	 What?!'
Gunther	 For all the free food you gave away.'
Joey	 Well if it\xc2\x92s free food, how come you\xc2\x92re charging me for it?'
Gunther	 We don\xc2\x92t give anything away unless it\xc2\x92s someone\xc2\x92s\nbirthday.'
Joey	 Well, what if they came in third in a modeling contest?'
Gunther	 No!'
Joey	 (to a woman who came in third in a modeling contest) Sorry! (He grabs her\nmuffin away and returns it to the serving tray.)'
Jill	 (entering, carrying a bunch of shopping bags) I just had the hardest day.\nThose bags are so heavy. (Sets them down.)'
Ross	 Jill, how did you pay for all this? I thought your dad took away your\ncredit card.'
Jill	 Oh please, I memorized those numbers when I was 15. But look at all the\ncool make-it-on-my-own stuff I got! (Holds up a red sweater) This is my "Please, hire\nme" sweater. (Holds up a pair of black pants) And these are my, "Don\xc2\x92t you\nwant to rent me this apartment?" pants. '
Ross	 I don\xc2\x92t think charging new clothes too your dad qualifies as making\nit on your own.'
Jill	 Oh, Mr. Scientist has to get all technical!'
Phoebe	 Seriously, I don\xc2\x92t Rachel\xc2\x92s gonna think it\xc2\x92s a good idea.'
Jill	 So who made her queen of the world?'
Phoebe	 I would love that job!'
Rachel	 (entering) Hey! What\xc2\x92s goin\xc2\x92 on?'
Jill	 Hey!'
Rachel	 (notices Jill\xc2\x92s bags) Jill! Did you shop?!'
Jill	 No! They did! (Points to Phoebe and Ross)'
Phoebe and Ross	 Yeah, we went shopping!'
Rachel	 You went shopping?! What, and then you just came in here and paraded it\nright under Jill\xc2\x92s nose when you know she\xc2\x92s trying to quit. Wow, you guys are\nterrible!'
Phoebe	 Sorry Jill.'
Ross	 Sorry-sorry Jill.'
Rachel	 What\xc2\x92d you get?'
Phoebe	 Oh well, all right, I got (Ross hands her a bag) (To Ross) thank you, I\ngot uh, this y\xc2\x92know "I want a job sweater." (Holds up the same sweater.)'
Rachel	 Oh.'
Phoebe	 And, and then I got uh, these are apartment pants.'
Rachel	 Apartment pants?'
Phoebe	 Yeah, you never heard of them?'
Rachel	 No, of course, of course I\xc2\x92ve heard of them! Ross, what did you\nget?'
Ross	 Huh? Oh, I got this\xc2\x97(Holds up this pink frilly thing)\xc2\x97this!'
Rachel	 A pajmena?'
Ross	 Yeah! Oh, I-I love this babies!'
Rachel	 Really?'
Ross	 Ross, wants a pajmena?'
Ross	 It\xc2\x92s a rug. (Jill winces.)'
Rachel	 Jill?'
Jill	 (covers her eyes and starts crying) I\xc2\x92m sorry Rachel, I\xc2\x92m\nsorry\xc2\x85'
Rachel	 Oh, come on! You think that\xc2\x92s gonna work on me?! I invented that!'
Jill	 Right! But, I am sorry.'
Rachel	 All right, it\xc2\x92s okay. One little setback is okay, just don\xc2\x92t\nlet it happen again, all right? Now since daddy paid for all this stuff, I should\ntake it all away. But I\xc2\x92m just gonna take the-the pajmena. (Ross hands it to her.)\nAnd the uh, and the uh pants. Y\xc2\x92know what, I\xc2\x92m just gonna take it all away,\n\xc2\x91cause that way you\xc2\x92ll just really learn the lesson. Okay? All righty, I\xc2\x92m\ngonna run a couple of errands and I will see you at dinner. (Leaves with all of\nJill\xc2\x92s stuff.)'
Jill	 She took all my stuff.'
Ross	 Yeah. Everything but, the little blue one. (Holds it up for her.)'
Jill	 (gasps) That\xc2\x92s the best one! Oh my God, (hugs him) thank you so much!'
Ross	 Well. Hey\xc2\x85'
Jill	 Oh my gosh, that was so lame. Like a pajmena could be a rug!'
Ross	 Oh yeah, how about you and the, (mimics her fake cry) "I\xc2\x92m\nsorry!"'
Jill	 (hits him) Shut up! I did not sound like that at all!'
Phoebe	 What about, what about when I said y\xc2\x92know about the apartment\npants, how dumb was I?'
Jill	 Were you this cute in high school?'
Ross	 Oh stop.'
Jill	 No you stop!'
Ross	 No, you stop!'
Jill	 You stop!'
Phoebe	 (gets up and sits between them) Okay-okay, why don\xc2\x92t I sit here and\nyou\xc2\x92ll both stop it!'
Monica	 Okay, so what do you, what do you want to do? Let\xc2\x92s do something\ncrazy!'
Chandler	 I know, let\xc2\x92s rest and drink lots of fluids. (Holds up a glass of\norange juice.)'
Monica	 Okay, I\xc2\x92ll rest. But y\xc2\x92know if I\xc2\x92m going to bed, then\nyou\xc2\x92re coming with me.'
Chandler	 That would be impossible to resist if you weren\xc2\x92t all drippy\nhere. (Points to his nose.)'
Monica	 (wiping her nose) Are you saying that you don\xc2\x92t wanna get with\nthis? (Tries to do a little sexy body rub, but it doesn\xc2\x92t work all that well with the\nbig robe.)'
Chandler	 Yeah, I don\xc2\x92t you should say that even when you\xc2\x92re healthy.'
Monica	 (in a sexy voice) Come on. (Coughs loudly.)'
Chandler	 Don\xc2\x92t take this personally okay? It\xc2\x92s just that I just\ncan\xc2\x92t have sex with a sick person.'
Monica	 I\xc2\x92m with you Chandler! I mean I can\xc2\x92t have sex with a sick\nperson either, that\xc2\x92s disgusting! But I\xc2\x92m not sick! Let me prove it to you. We\nare two healthy people in the pribe of libe.'
Chandler	 That\xc2\x92s the thing, see I would like to stay in the pribe of\nmwha-ah-libe.'
Rachel	 Hey!'
Phoebe	 Hey.'
Rachel	 What\xc2\x92s up?!'
Phoebe	 Umm, I think there\xc2\x92s something you should maybe know.'
Rachel	 Well, it\xc2\x92d better not be about the apartment pants, because I just\npitched the idea to my boss at Ralph Lauren and she loved it.'
Phoebe	 No. No. It\xc2\x92s just I was umm, I was with Ross and Jill after you\nleft and umm, I\xc2\x92m pretty sure I saw a little spark between them.'
Rachel	 What?!'
Phoebe	 Yeah I mean it\xc2\x92s probably nothing, but I just wanted to warn you\nthat there might be something there.'
Rachel	 With Ross and Jill?'
Phoebe	 Yeah!'
Rachel	 With Ross and my sister?'
Phoebe	 Yeah.'
Rachel	 With my sister Jill and my ex-boyfriend Ross?'
Phoebe	 Yeah.'
Rachel	 Oh there is no way.'
Phoebe	 Okay then.'
