Joey	 (sees Rachel) Oh, uh, hey Rach. I uh, I was just coming over here to\nuh\xc2\x85 Oh wait, I don\xc2\x92t have to lie to you, you don\xc2\x92t live here anymore. Uh,\nI\xc2\x92m eating their food. What are you doing?'
Rachel	 Ross is on a date with my sister and they shut the drapes two and\na-half-hours ago.'
Joey	 Whoa, I didn\xc2\x92t know we could date your sister!'
Monica	 Joey we know you steal our food.'
Chandler	 I\xc2\x92m good.'
Monica	 (To Rachel) Oh, are the drapes still closed hon?'
Rachel	 Yeah. And y\xc2\x92know who should\xc2\x92ve shut their drapes? Is that\nperverted old couple two doors over.'
Chandler	 (looking) Is that a swing?'
Rachel	 Oh don\xc2\x92t even ask!'
Chandler	 Yuck!'
Joey	 I can\xc2\x92t believe Ross went out with Rachel\xc2\x92s sister! When\nChandler made out with my sister I was mad at him for 10 years.'
Chandler	 That was like 5 years ago.'
Joey	 Yeah you got 5 years left!'
Chandler	 Joey\xc2\x85'
Joey	 You wanna make it 6?!'

Rachel	 Oh Ross, hi! Hey, how are ya? There you are!'
Ross	 Hey!'
Rachel	 (to Gunther) I\xc2\x92ll take a coffee. (To Ross) So how was your big date\nlast night?'
Ross	 Uhh, it was okay. Yeah, it was fun.'
Rachel	 Yeah fun? Great! So uh, so did you guys hit it off?'
Ross	 I guess so.'
Rachel	 So uh, so did anything happen? Because rumor has it you guys shut\nthe drapes!'
Ross	 No. No. Nothing happened. I shut the drapes to uh, show her slides of my\nfavorite fossils.'
Rachel	 Oh, slides. (Laughs.) So really nothing happened.'
Ross	 Something could\xc2\x92ve happened. All right? She-she really dug my slides.\nAnd-and she was definitely giving me the vibe.'
Rachel	 Right. Was it the, "Please don\xc2\x92t show me another picture of a\ntrilobite vibe?"'
Ross	 Anyway, if she, if she wasn\xc2\x92t in to me, why-why would she ask me out\nagain?'
Rachel	 She asked-asked you out again?'
Ross	 Yeah-uh-huh. Tomorrow night, Valentine\xc2\x92s Day, the most romantic day\nof the year. Who knows what could happen? I might not be shutting my drapes to show her my\nslides, if you know what I mean.'
Rachel	 Okay-okay-okay-okay-okay-okay-okay! I got it! I got it! I got it! I\ncan\xc2\x92t! I can\xc2\x92t! I can\xc2\x92t! I cannot go with you and my sister thing. Okay? I\njust can\xc2\x92t. It\xc2\x92s just too weird, all right? I imagine the two of you together\nand I freak out. It freaks me out. I can\xc2\x92t do it! I can\xc2\x92t do it.'
Ross	 (while Rachel is finishing her rant) Okay! Okay! Okay! It\xc2\x92s okay.\n(Rachel stops.) It\xc2\x92s okay. Hey, it\xc2\x92s too weird for you, I won\xc2\x92t see her\nagain.'
