Rachel	 Hey, you guys! Guess what? Barry and Mindy are getting a divorce!'
Monica	 Oh my God!'
Phoebe	 Wow!'
Joey	 (To Ross) What is the matter with you?!'
Phoebe	 No! Barry and Mindy.'
Joey	 Oh sorry, I hear divorce I immediately go to Ross. (To Rachel)\nWho-who\xc2\x92s Barry and Mindy?'
Rachel	 Barry was the guy that I was almost married and Mindy was my best\nfriend.'
Joey	 Ohh-oh, wasn\xc2\x92t he cheating on you with her?'
Rachel	 Yeah, but that just means that he was falling asleep on top of her\ninstead of me.'
Monica	 Why did they get divorced?'
Rachel	 Well, apparently she caught him cheating on her with someone else.\nIsn\xc2\x92t that sad? (Giggles.) God, could you imagine if I actually married him?! I mean\nhow different would my life be?'
Ross	 I know what you mean, I\xc2\x92ve always wondered how different my life\nwould be if-if I\xc2\x92d never gotten divorced.'
Phoebe	 Which time?'
Ross	 The first time! No seriously, imagine if Carol hadn\xc2\x92t realized she\nwas a lesbian.'
Joey	 (starts to imagine it) I can\xc2\x92t. I keep seeing it the good way.'
Ross	 I\xc2\x92d bet I\xc2\x92d still be doing my kara-tay. (That\xc2\x92s karate,\nhe\xc2\x92s just saying it that way.) Towards the end of our marriage I was doing a lot of\nkara-tay as a way of releasing the tension from y\xc2\x92know, not doing anything else\nphysical.'
Chandler	 Maybe the problem was you were pronouncing it kara-tay.'
Monica	 And what if I was still fat? (To Chandler) Well, you wouldn\xc2\x92t be\ndating me, that\xc2\x92s for sure.'
Chandler	 Sure I would!'
All	 (simultaneously) Oh yeah! Come on! Yeah right!'
Chandler	 What, you guys really think that I\xc2\x92m that shallow?'
Ross	 No, I just think Monica was that fat.'
Joey	 Hey, imagine if I never got fired off Days Of Our Lives! (Closes\nhis eyes to do so.) Oh-hey, there\xc2\x92s Carol again!'
Chandler	 What if I had had the guts to quit my job? I\xc2\x92d probably be\nwriting for the New Yorker, getting paid to be funny. But my job\xc2\x92s fun too! I\nmean tomorrow, I-I don\xc2\x92t have to wear a tie.'
Phoebe	 What if I had taken that job at Merrill Lynch?'
Ross	 What?!'
Rachel	 Merrill Lynch?'
Phoebe	 Yeah, I had a massage client who worked there and-and he said I had a\nknack for stocks.'
Rachel	 Well why didn\xc2\x92t you take the job?'
Phoebe	 Because at that time you see, I thought everything that rhymed was true.\nSo I thought y\xc2\x92know that if I\xc2\x92d work with stocks, I\xc2\x92d have to live in a\nbox, and only eat lox, and have a pet fox.'
Ross	 Hey, do you guys think that if all those things happened, we\xc2\x92d still\nhang out?'

