Ross	 Hey, remember when I had a monkey?'
Chandler	 Yeah.'
Ross	 Yeah, what, what was I thinking?'
Joey	 (he\xc2\x92s just picked up their bill) Hey! So, what\xc2\x92s with the 20\npercent tip? Did I do something wrong?'
Chandler	 Twenty percent is a pretty generous tip Joe.'
Joey	 Y\xc2\x92know what\xc2\x92s more generous than that?! Fifty percent!\nY\xc2\x92know what\xc2\x92s even more generous than that?!!'
Chandler	 I see where you\xc2\x92re goin\xc2\x92!'
Ross	 What\xc2\x92s up with the greed Joe?'
Joey	 All right, look I\xc2\x92m sorry you guys, but it\xc2\x92s just that I gotta\nget these new head shots made. And they\xc2\x92re really expensive, y\xc2\x92know? I\xc2\x92m\ndown to like three! Well, actually two \xc2\x91cause one of \xc2\x91em I kinda blackened in\nsome teeth\xc2\x97Why did I do that?! (Hits himself in the head.)'
Ross	 Well isn\xc2\x92t there something you can do to earn a little extra money? I\nmean, can\xc2\x92t-can\xc2\x92t you pick up, I don\xc2\x92t know, an extra shift here?'
Phoebe	 Or, y\xc2\x92know, I used to beg for money. Of course it helps if\nyou\xc2\x92ve got y\xc2\x92know a little of this (she sticks her chest out and shakes it)\ngoin\xc2\x92 on. Wow! I still have it!'
Ross	 Oh, wait! Wait! Don\xc2\x92t you have an audition today? Yeah! Maybe\nyou\xc2\x92ll get that job!'
Joey	 Oh, ha-ha-ha! Ooh! Wait a minute, I used to get medical experiments down\non me all the time!'
Chandler	 (reminiscing) Ah, finally an explanation.'
Joey	 No-no! I used to get paid for all kinds of medical stuff, remember?\nLet\xc2\x92s see uh, well I don\xc2\x92t want to donate sperm again. (To Ross) I really prefer\ndoing that at the home office y\xc2\x92know? (Ross nods his head.) Ooh-ooh, maybe they want\nlike some of my blood or-or spit or something, huh?'
Gunther	 (approaching with a tray with an order on it) Joey!'
Joey	 Yeah?'
Gunther	 What did I tell you about talking to your friends while you\xc2\x92re\nworking?'
Joey	 Uhh do it?'
Gunther	 That guy (points) has been waiting for his coffee for ten minutes!\nHe\xc2\x92s complained about you three times! (He hands the coffee cup to Joey, assuming\nthat Joey will deliver it and walks away.)'
Joey	 Well, where was I? (Takes a sip of the coffee.)'

Ross	 Hi!'
Phoebe	 Hey!'
Ross	 Hey, what have you guys been up to?'
Phoebe	 Ohh! We went to a self-defense class today!'
Ross	 Wow!'
Rachel	 Yeah, kicking a guy in the crotch all morning really takes it out of ya!'
Joey	 Takes it out of you? (Laughs.)'
Phoebe	 Now, we can kick anybody\xc2\x92s ass!'
Rachel	 Yeah!'
Ross	 After one class? I don\xc2\x92t think so.'
Rachel	 What? You wanna see me self-defend myself?! Go over there (points) and\npretend you\xc2\x92re a sexual predator! Go on! I dare ya!!'
Ross	 Well, of course you can defend yourself from an attack you know is coming,\nthat\xc2\x92s not enough. Look, I studying kara-tay for a long time, and there\xc2\x92s a\nconcept you should really be familiar with. It\xc2\x92s what the Japanese call (he holds two\nfingers up to his temple, and he does this every time he says this word) unagi.'
Rachel	 Isn\xc2\x92t that a kind of sushi?'
Ross	 No, it\xc2\x92s a concept!'
Phoebe	 Yeah it is! It is! It\xc2\x92s freshwater eel!'
Ross	 All right, maybe it means that too\xc2\x85'
Rachel	 Ohh! I would kill for a salmon skin roll right now!'
Ross	 Y\xc2\x92know what? Fine! Get attacked! I don\xc2\x92t even care! '
Phoebe	 (deadpan) Come on Ross. We\xc2\x92re sorry. Please tell us what it is.'
Ross	 Unagi is a state of total awareness. Okay? Only by achieving true unagi\ncan you be prepared for any danger that may befall you!'
Phoebe	 You mean in case someone is trying to steal your bamboo sleeping mat or\nyour kettle of fish?'
Ross	 (moves closer) All I\xc2\x92m saying is, it\xc2\x92s one thing being prepared\nfor an attack against like each other; whole another story being prepared for an attack, I\ndon\xc2\x92t know, like a (turns and puts his face close to Rachel\xc2\x92s and screams) surprise!!'
Ross	 All right, you know that one was coming, but that doesn\xc2\x92t mean you\nhave unagi. (Does the finger thing.)'
Rachel	 (To Phoebe) Ooh! Y\xc2\x92know what? If we made reservations, we could\nhave unagi in about a half-hour.'
Ross	 Y\xc2\x92know what\xc2\x85 (Moves away as Chandler enters, panicked.)'
Chandler	 Hey-hey, is Monica here?'
Phoebe	 No.'
Ross	 No.'
Chandler	 Okay, look I need your help, I don\xc2\x92t know what to get her for\nValentine\xc2\x92s Day.'
Rachel	 Well, Valentine\xc2\x92s Day was like two weeks ago, so I wouldn\xc2\x92t\nget her a calendar!'
Chandler	 (laughs) She was working on Valentine\xc2\x92s Day so we\xc2\x92re\ncelebrating it tonight.'
Joey	 Ohh, hey! Why don\xc2\x92t you book a date for both of you at one of those\nromantic spas?'
Phoebe	 Ooh, Joey, that\xc2\x92s actually a really good idea!'
Joey	 And of course, crotchless panties. '
Chandler	 Well appealing as that does sound to her boyfriend (pause) and her\nbrother, (the camera pans to Ross flashing Joey a very evil look; Joey gets scared) I\ncan\xc2\x92t do that we promised we\xc2\x92d make each other gifts this year.'
Rachel	 Aw, I love that.'
Phoebe	 You guys!'
Joey	 You can\xc2\x92t make crotchless panties? You take, you take a pair of\nscissors and you just cut\xc2\x85'
Rachel	 (interrupting him) Okay-okay-okay! So, making things. That sounds like\nso much fun.'
Chandler	 Yeah, I thought so to until I paper mached one of my eyes shut.'
Phoebe	 Oh, I love paper mache! What did you make?'
Chandler	 I made a\xc2\x85 (Does one of those gibberish words.)'
Phoebe	 What is that?'
Chandler	 Nothing!'
Ross	 So what are you gonna do?'
Chandler	 Well, have you guys made anything that maybe I can take credit for?'
