Ross	 Hey! I just got uh, my teacher evaluations! Check out what this one\nstudent wrote, "I loved Dr. Geller\xc2\x92s class. Mind blowing lectures! Dr. Geller,\nyou are definitely the hottie of the paleontology department!"'
Chandler	 Ahh, Hotties of the Paleontology Department, there\xc2\x92s a big\nselling calendar, eh?'
Rachel	 Who wrote it?'
Ross	 Oh, I wish I knew, but the evaluations are all anonymous.'
Joey	 Oh hey, do you still have their final exams?'
Ross	 Yeah.'
Joey	 Oh, \xc2\x91cause you can just match the evaluation to the exam with the\nsame handwriting and boom, there\xc2\x92s your admirer. (Ross is stunned.)'
Chandler	 A hot girl\xc2\x92s at stake and all of the sudden he\xc2\x92s Rain Man.'
Rachel	 Okay, wait a minute, wait a minute, why are we so sure that this is a\ngirl?'
Ross	 It\xc2\x92s a girl! Anyway, it wou\xc2\x97it wouldn\xc2\x92t matter. Okay?\nBecause I\xc2\x92m a teacher and she\xc2\x92s a student.'
Chandler	 Oh, is that against the rules?'
Ross	 No, but it is frowned upon.'
Chandler	 I see.'
Ross	 Besides, there\xc2\x92s a big age difference.'
Joey	 Oh, well think of it like this, when you\xc2\x92re 90\xc2\x85'
Ross	 I know when I\xc2\x92m 90 she\xc2\x92ll be like 80 and it won\xc2\x92t seem like\nsuch a big difference.'
Joey	 No that\xc2\x92s not what I was going to say at all. No, what I was going to\nsay is when you\xc2\x92re 90 you\xc2\x92ll still have the memory of what it was like to be\nwith a 20-year-old.'

Joey	 Hey Chandler! Y\xc2\x92know that girl you went to college with who-who\nbecame a movie director?'
Chandler	 Oh yeah, Dana Keystone. She was in my Movement class.'
Phoebe	 What\xc2\x92s a Movement class?'
Monica	 It\xc2\x92s Chandler\xc2\x92s way of pretending he didn\xc2\x92t take mime.'
Joey	 Oh well listen, anyway she\xc2\x92s directing the new Al Pacino movie. You\ngotta get me an audition!'
Chandler	 Oh, I don\xc2\x92t know man. I haven\xc2\x92t talked to her in like ten\nyears.'
Joey	 No-no-no, please-please Chandler I-I-I would owe you so much!'
Chandler	 You do owe me so much. You owe me three thousand, four\nhundred\xc2\x85'
Joey	 Hey-hey dude, why are you changing the subject? Why? Will you make the\ncall or what?'
Chandler	 Oh okay, I\xc2\x92ll-I\xc2\x92ll try.'
Joey	 All right! Thanks! You\xc2\x92re the best! Now listen, the last day of\nauditions is Thursday. Okay? So I gotta get in there by Thursday. Okay? Just remember\nThursday. Thursday. Can you remember Thursday?'
Chandler	 Yeah so, Tuesday?'
Joey	 (angrily) Thursday! Look if you need help remembering think of like this,\nthe third day. All right? Monday, one day. Tuesday, two day. Wednesday, when? Huh? What\nday? Thursday! The third day! Okay?!'
Chandler	 (sarcastically) Thank you.'
Joey	 Okay.'
Rachel	 (entering from the bathroom) Hey Mon? I\xc2\x92m gonna check my messages.'
Chandler	 You just thought of that in there?'
Monica	 Yeah sure, nature called, she wanted to see who else did.'
Rachel	 (on phone) Hello? (Shocked that someone answered.) Uh, Rachel. (To the\ngang.) Great, someone is in our apartment. Call the cops!'
Monica	 You\xc2\x92re on the phone!'
Rachel	 (on phone) Oh my God! Oh my God! Thank you! (Hangs up) That was the fire\ndepartment, there was a fire at our place!'
Phoebe	 Oh my God! How bad was it?'
Rachel	 Well, he didn\xc2\x92t say, but it was a fire. I\xc2\x92m guessing not very\ngood. Come on, we gotta go!'
Monica	 Come on! (The girls all run out and Joey holds up Chandler by smiling.)'
Chandler	 What are you smiling about? What is so funny?'
Joey	 The part I want to audition for is a fireman, this is so meant to be!'
Burt	 (another professor) Wow! It looks like you were very generous with your\ngrades this semester! (Ross frantically starts to change some as a female student,\nElizabeth, approaches.)'
Ross	 (startled) Yeah?'
Ross	 Oh thank you. Thanks very much. (Leans up against the board and on a\nthumbtack.) Ow! (He pulls away.)'
Ross	 That was you?'
Ross	 Oh I, I don\xc2\x92t-I don\xc2\x92t think that would be the best idea.'
Ross	 What time?'
Ross	 Gotcha. (Starts to leave.)'
Ross	 Oh! So-so seriously, what time?'
Phoebe	 Coming through! (Has to dodge a fireman) Oh! Coming through! (Sees a\ncute one.) Oh! Hello! Hi! (Smiles then realizes) No! Right! Coming through! '
Monica	 Oh well, it\xc2\x92s not so bad. '
Fireman #1	 Yeah, most of the damage is pretty mostly contained in the bedrooms.'
Phoebe	 Oh!'
Rachel	 My God! (They both run into the bedrooms.)'
Joey	 (to the fireman) Hey buddy, do you think I can borrow your uniform this\nThursday?'
Fireman #1	 Excuse me?'
Monica	 Joey! He\xc2\x92s working! (To Chandler) You would look good in\nthat.'
Joey	 Oh, how bad is it?'
Phoebe	 Oh, it\xc2\x92s bad. It\xc2\x92s really bad. The only thing in there that\nisn\xc2\x92t burned is an ass. Which I do not remember buying!'
Chandler	 How\xc2\x92s your room Rach?'
Rachel	 Everything\xc2\x92s ruined. My bed. My clothes. Look at my favorite blue\nsweater. (Hold it up.)'
Monica	 Isn\xc2\x92t that mine?'
Rachel	 Fine! I\xc2\x92m sorry for your loss! (Hands it back to her.)'
Fireman #1	 So uh, you\xc2\x92re not gonna be able to live here for a while, you\nladies have a place to stay?'
Rachel	 (stands up) Wow! Oh-okay, look pal, I am not in the mood to be\nhit on right now! But if you give me your number I will call you some other time.'
Monica	 (pulling Rachel back down) Yes, they can stay with us.'
Chandler	 Have you figured out what started the fire Mr. Fireman?'
Fireman #1	 Well uh, do either of you smoke?'
Phoebe	 No, not usually. But yeah, I could use one right now.'
Fireman #1	 No-no-no, do you uh light candles? Burn incense?'
Phoebe	 Yes! I do! All the time! I love them! Oh my God! I did it! It\xc2\x92s me!\nIt\xc2\x92s me! I burned down the house! I burned down the house!'
Rachel	 Okay Phoebe calm down, there\xc2\x92s no need to place blame. Okay? (To\nthe fireman) I warned her about those candles.'
Chandler	 God, it\xc2\x92s great to catch up! I can\xc2\x92t believe how long\nit\xc2\x92s been!'
Joey	 Chandler, is that\xc2\x85 (Mimes someone using a movie camera and Chandler\nnods yes.)'
Chandler	 (on phone) Oh that\xc2\x92s great! Good for you.'
Joey	 Hey-hey listen\xc2\x85 (Chandler waves him away.)'
Chandler	 Okay! So yeah, maybe we can get together umm\xc2\x85 (Joey mimes\nthrowing something in the air, catching it, rolling it out, putting it in an oven and\ncutting it.) Can you hold for one second please? (To Joey) What?!'
Joey	 When you\xc2\x92re off the phone, do you wanna get a pizza?'
Chandler	 (on phone) Hi! I\xc2\x92m back. (Goes to hang up the phone.) Yeah, that\nsounds great. (Listens) Okay. Well, we\xc2\x92ll do it then. (Listens) Okay, bye-bye. (He\nhangs up the phone and turns around to see Joey standing close to him and screams.)'
Joey	 Hey listen, so when\xc2\x92s-when\xc2\x92s my audition? I mean I know\nit\xc2\x92s Thursday, but what time?'
Chandler	 Hi.'
Monica	 Hey!'
Chandler	 (To Joey) We didn\xc2\x92t get to the audition. I\xc2\x92m gonna take her\nto coffee and then we\xc2\x92ll do it then.'
Joey	 Ah-ha!'
Monica	 Wow! So, now you\xc2\x92re going on a date with this girl?'
Chandler	 Honey, it is not a date! I haven\xc2\x92t talked to her in ten years!\nYou can\xc2\x92t just call up somebody you haven\xc2\x92t talked to in ten years and ask them\nfor a favor. There are rules, y\xc2\x92know? You gotta, you got to put in some time.'
Monica	 You\xc2\x92re right, I\xc2\x92m sorry. It\xc2\x92s not like you\xc2\x92re\ny\xc2\x92know, going out with an ex-girlfriend.'
Chandler	 No, we only went out once.'
Monica	 You dated her!'
Chandler	 Not once!'
Monica	 All right, well why don\xc2\x92t I go out with an ex-boyfriend and do Joey\na favor?!'
Joey	 Hey, you wanna do Joey a favor, maybe you go out with Joey. (He turns\naround to see Chandler glaring at him.)'
Chandler	 (laughs) Oh that\xc2\x92s great, my friend Joey\xc2\x92s in the movie\nbusiness.'
Dana	 Y\xc2\x92know who I ran into from school? Howie.'
Chandler	 (giggles) My friend\xc2\x92s name is Joey.'
Dana	 Apparently Howie\xc2\x92s editing now. Yeah, he-he-he calls me up and asks\nme if he can edit my new movie. Can you believe that?! Y\xc2\x92know I-I-I haven\xc2\x92t\nspoken to him in like ten years and he asks me for a favor!'
Chandler	 Yeah, I\xc2\x92ve always hated that Howie.'
Dana	 No, no "How you doing?" Man, I mean not even a cup of coffee\nfirst!'
Chandler	 The nerve huh?'
Dana	 Yeah!'
Chandler	 Refill?'
Monica	 Now, this is last minute so I want to apologize for the mess. Okay?'
Rachel	 Oh my God! It sure didn\xc2\x92t look this way when I lived here.'
Monica	 I know! Now look, there\xc2\x92s only one problem though. There\xc2\x92s\nonly room for one, so I guess one of you will have to stay at Joey\xc2\x92s.'
Phoebe	 Well, since the fire was kinda my fault I guess (To Rachel) you should\nget to stay here.'
Rachel	 Hey! Hey-hey, now this was no one\xc2\x92s fault Pheebs. Okay? It was an\naccident.'
Phoebe	 Well no, it was my fault so you should get the nice room.'
Rachel	 Okay! (She jumps on the bed.)'
Monica	 So Rach! You\xc2\x92re the first guest at Hotel Monica! Umm, you\xc2\x92ll\njust have to tell me how you like your eggs in the morning. And I thought I would bring\nthem to you, y\xc2\x92know, in bed. Oh, you have been through so much.'
Rachel	 I have.'
Joey	 This right here is where I keep the pizza. (He points to the chair.) And\nuh that\xc2\x92s where the napkin is. (Points to the floor next to the chair.)'
Phoebe	 What\xc2\x92s that smell?'
Joey	 I know! (Shrugs his shoulders.)'
Elizabeth	 Oh please! It was such a big class! You never even noticed me!'
Ross	 What? Of course I did! You uh, you sat next to Sleepy Sleeperson.'
Elizabeth	 Who?'
