Joey	 Well that thing is clearing in the way! All right. Ah-ha! (He grabs a\nscrewdriver and starts to attack the compressor, only he causes a small short circuit and\nshocks himself.) Ah-ah!! Damn fridge! '
Rachel	 Hi Joey, how ya doin\xc2\x92?'
Joey	 Great! Roomie!'
Rachel	 Huh, yeah I guess we are roommates now.'
Joey	 Yeah! Well, now that you brought it up, our fridge is broken. We have to\nget a new one. Now, I checked around and your half is $400. Thanks a lot.'
Rachel	 I\xc2\x92m not paying for half of that! I\xc2\x92m only staying here until\nmy apartment gets fixed.'
Joey	 Look Rach, my parents bought this fridge just after I was born, okay? Now,\nI have never had a problem with it. Then you show up and it breaks! What does that\ntell ya\xc2\x92?'
Rachel	 That refrigerators don\xc2\x92t live as long as people.'
Joey	 All right, now you know that the ATM will only lets you take out 300 at a\ntime, I\xc2\x92ll take a check for the other hundred.'
Rachel	 You\xc2\x92re jokin\xc2\x92 right?'
Joey	 Of course I\xc2\x92m jokin\xc2\x92! I don\xc2\x92t take checks.'
Rachel	 Thank God you\xc2\x92re pretty. (Exits.)'

Rachel	 Hey!'
All	 Hi! Hey!'
Rachel	 Do you guys know any cute guys?'
Chandler	 Well, of course I do! My good friend Joey over here. (Pats Joey\xc2\x92s\narm, Joey pats Chandler\xc2\x92s shoulder, and Chandler motions for Joey to say the same\nabout him.)'
Joey	 Oh, I\xc2\x92m sorry. Thank you Chandler.'
Rachel	 Anyway, there\xc2\x92s this big charity ball this weekend and Ralph Lauren\nbought a table, so I kinda have to go\xc2\x85'
Monica	 What\xc2\x92s the charity?'
Rachel	 I don\xc2\x92t know, something either trees or disease\xc2\x97Ralph mumbles\na lot.'
Monica	 Does Ralph mumble when you\xc2\x92re not paying attention?'
Rachel	 Yeah! It\xc2\x92s weird. But the thing is need to find a date.'
Phoebe	 Well, what kind of guy are you looking for?'
Rachel	 Well, someone that has his own tux, or has the ability to rent a\ntux.'
Chandler	 So he has to be a male who has at least $50.'
Joey	 Ooh! So close.'
Ross	 Hey everybody!'
All	 Hi!'
Ross	 Hey uh, this is Elizabeth.'
Elizabeth	 Oh hi!'
All	 Hi!'
Elizabeth	 I\xc2\x92m the student.'
Chandler	 (laughs) Isn\xc2\x92t she cute? (On Monica\xc2\x92s death stare) No!'
Phoebe	 Y\xc2\x92know, this is probably none of my business, but weren\xc2\x92t you\nguys supposed to not be seen in public together?'
Elizabeth	 Oh, we\xc2\x92re not together.'
Ross	 Oh no-no-no, we\xc2\x92re just two people who happen to run into each other\nhere at the coffee house. (He winks at her.)'
Phoebe	 Oh, sly.'
Elizabeth	 Well, I really wanted to meet you guys, but I have to run. I\xc2\x92ll\nsee you later?'
All	 Okay!'
Elizabeth	 Bye Ross.'
Ross	 Bye.'
Elizabeth	 Oops! I did not mean to run into you like that sir.'
Ross	 Oh that is quite all right ma\xc2\x92am. (Elizabeth exits.)'
Chandler	 So, why is she leaving? Is it a school night and she has a lot of\nhomework to do?'
Ross	 Yes, her molecular epidemiology paper is due tomorrow.'
Chandler	 Oh, tell her good luck with that.'
Ross	 Anyone else? Huh? Bring \xc2\x91em on!'
Rachel	 Oo! When\xc2\x92s her birthday?!'
Ross	 I don\xc2\x92t know Rachel, why?'
Rachel	 Well, y\xc2\x92know it\xc2\x92s just been so long since I\xc2\x92ve been to Chuckie\nCheese.'
Monica	 Oh, I like Elizabeth.'
Ross	 Well thanks!'
Monica	 Yeah. In fact, I like her so much you tell her I want my cookies early\nthis year! Y\xc2\x92know, a box of Thin Mints and some Tag-a-Longs.'
Joey	 Hey-hey come on you guys, give him a break. Ross, seriously, how\xc2\x92s it\ngoing with her?'
Ross	 Well, actually it\xc2\x92s been great. She\xc2\x92s 20 so she\xc2\x92s not\nlooking for anything too serious, which is perfect for me right now.'
Monica	 Well that is great. And seriously, she seems very nice.'
Ross	 Thanks. I know you guys like to give me a hard time and all, but it really\nmeans a lot to me that you like her. Just knowing that you guys are\xc2\x85'
Phoebe	 (interrupting) Okay, I got a good one. Okay, umm, what is she? Like 12?'
Monica	 Chandler, do you think we talk about our relationship enough?'
Chandler	 Yeah. Do we have any Fruit Roll-Ups?'
Phoebe	 (entering) Hey!'
Monica	 Hey!'
Phoebe	 Okay, I just thought of the perfect guy for Rachel to take to her thing.'
Chandler	 Oh that\xc2\x92s so funny because we found someone too.'
Phoebe	 Oh that\xc2\x92s good, I guess she\xc2\x92ll have a choice between my guy\nand your weirdo.'
Chandler	 Why would our guy be a weirdo?'
Phoebe	 \xc2\x91Cause that\xc2\x92s just your taste.'
Monica	 (laughs sarcastically) Rachel is not going to pick your stupid guy.'
Phoebe	 Oh yeah?'
Monica	 Yeah!'
Phoebe	 My guy is a lawyer who has volunteer work. And, he has one of these (She\nsqueezes the skin on her chin together to form\xc2\x85)'
Chandler	 A face ass?'
Phoebe	 A chin dimple!'
Monica	 Well, uh y\xc2\x92know, our guy works with Chandler and he\xc2\x92s really\nnice and smart and he\xc2\x92s a great dresser!'
Phoebe	 Have you seen your guy\xc2\x92s body?'
Chandler	 No, our guy is just a floating head.'
Phoebe	 Well my guy is spectacular. Okay? He\xc2\x92s a massage client and one\ntime umm, when he was on the table, I looked at it. And I mean all of it.'
Monica	 You\xc2\x92re not supposed to look!'
Phoebe	 Oh yeah, like there are police for that!'
Chandler	 (horrified) Wait! You look? You-you massaged me.'
Phoebe	 I know. (Laughs.)'
Monica	 All right fine, your guy may have a great body, but our guy is really\nfunny.'
Phoebe	 Oh, Chandler funny?'
Monica	 Our guy\xc2\x92s a great dancer!'
Phoebe	 My guy is well read.'
Chandler	 Our guy has great hair.'
Phoebe	 My guy has great teeth!'
Chandler	 Our guy smells incredible.'
Monica	 (To Chandler) Do you want our guy to be your guy?'
Chandler	 Hey.'
Joey	 Huh.'
Chandler	 Well, you\xc2\x85don\xc2\x92t look good Joe.'
Joey	 The fridge broke. I have to eat everything. Cold cuts, ice cream,\nlimes\xc2\x97Hey, what was in that brown jar?'
Chandler	 That\xc2\x92s still in there?!'
Joey	 Not anymore. So anyway, how do you want to pay me?'
Chandler	 Is this a service you\xc2\x92re providing me?'
Joey	 No! No! No! For my new fridge\xc2\x97our new fridge!'
Chandler	 Our new fridge? I don\xc2\x92t live here anymore.'
Joey	 So what? Look, suppose we were a divorced couple.'
Chandler	 Uh-huh.'
Joey	 And I got custody of the kid, right? Now suppose the kid dies and-and I\ngotta buy a new kid.'
Chandler	 (not quite sure where Joey\xc2\x92s going and is a little worried)\nOkay\xc2\x85'
Joey	 (pause) Give me $400!'
Elizabeth	 Professor Geller?'
Ross	 Hmm? (Turns around and sees that its Elizabeth) Oh, a student I don\xc2\x92t\nknow.'
Elizabeth	 I was wondering if I could talk to you for a moment?'
Ross	 Yes, yes of course, what-what would this be regarding?'
Elizabeth	 Making out in your office.'
Ross	 Shh! (Laughs then composes himself) Of course, why don\xc2\x92t we go\ninside?'
Ross	 Oh-ooh!'
Elizabeth	 What?'
Ross	 Doorknob! Doorknob!'
Elizabeth	 Oh! Sorry! Umm, I actually do need to talk to you.'
Ross	 Oh, okay. What-what about?'
Elizabeth	 Spring vacation.'
Ross	 Spring vacation.'
Elizabeth	 Yeah, we have time off and a lot of people are going on trips\xc2\x85'
Professor Feesen	 Professor Geller!'
Ross	 (quickly jumping away from Elizabeth) Yes, professor\nFeesen-sen-stenlger\xc2\x85 I\xc2\x92ll be with you in one moment. (To Elizabeth) So, I will\ntake one box of the Thin Mints. (And he ushers Elizabeth out of the office.)'
Ross	 You don\xc2\x92t understand! Elizabeth was about to ask me to go on a trip\nwith her! Is that taking it slow?! No, I\xc2\x92m not ready for this! Okay? What-what do I\ntell her?'
Chandler	 Just tell her the truth! Tell her you\xc2\x92re not ready.'
Ross	 I can do that. Oh-oh, what if she gets upset?'
Chandler	 Then you distract her with a Barbie doll.'
Joey	 Or! You can just, y\xc2\x92know\xc2\x85 (He walks up close to whisper in\nRoss\xc2\x92s ear and when he gets there he pushes Ross into the fridge.)'
Ross	 What the hell are you doing?'
Joey	 What? What the hell am I doing? You just broke my fridge!'
Ross	 What?! What? How do you, how do you even know its broken?!'
Joey	 Oh-ho-ho, you think I don\xc2\x92t know what breaks my fridge? Excuse me!\n(He opens the door and feels inside.) Well what do you know! Broken! That\xc2\x92ll be $400!'
Chandler	 Joey, I saw you push him!'
Joey	 (pause) You pushed him!'
Ross	 Joey, I did not break this! Okay? (He opens the freezer and smells inside\nand recoils in disgust.) That has been broken for a while.'
Joey	 All right. Chandler, do you remember how I told you about our fridge?'
Chandler	 Uh-huh.'
Joey	 I still haven\xc2\x92t gotten a check for your half yet.'
Ross	 Do not give him any money!'
Joey	 I\xc2\x92m not talking to you! You broke my fridge!'
Elizabeth	 You wanted to see me Professor Geller?'
Ross	 Yes. Yes! Please, come in.'
Ross	 Oo-oo!'
Elizabeth	 Doorknob?'
