Rachel	 Okay, Chandler!'
Chandler	 Okay.'
Rachel	 And your horoscope says, "On the fifth a special someone is going\nto give you a gift."'
Chandler	 (To Monica) Oh, well thank you in advance. (Kisses her.)'
Rachel	 Op, but the twelfth brings a lover\xc2\x92s spat.'
Monica	 (To Chandler) You are going to make a joke about my special\npresent! Why would you do that?!'
Rachel	 Oh, wait and on the nineteenth a secret crush announces itself.'
Joey	 (entering) Hey guys!'
Chandler	 Hey!!'
Rachel	 (ecstatic) Oh my God! It\xc2\x92s Joey Tribbiani of Mac and\nC.H.E.E.S.E.!!!!!!!'
Chandler	 Oh that\xc2\x92s right. It\xc2\x92s your first day! So are you psyched to\nfight fake crime with your robot sidekick?'
Joey	 Am I psyched? The lead in my own TV series? I\xc2\x92ve dreamed about this\nfor years! Why have I not been preparing?!'
Phoebe	 No! Joey, you\xc2\x92re going to be great!'
Joey	 But I got to act with a robot Pheebs, and-and I don\xc2\x92t know anything\nabout technology! I can\xc2\x92t even use Chandler\xc2\x92s computer except to find porn!\nAnd-and that\xc2\x92s only \xc2\x91cause it\xc2\x92s right there when you turn it on!'
Monica	 I think our lover\xc2\x92s spat will start a little early this month.'
Phoebe	 (in a sexy voice to Chandler) I\xc2\x92ll be waiting.'

Chandler	 Are you judging them by their covers? Because you\xc2\x92re really not\nsupposed to do that.'
Phoebe	 No, I\xc2\x92m just deciding which one to use\xc2\x97I\xc2\x92m gonna start\nwriting another book!'
Rachel	 Be-because the last one was such a big seller?'
Phoebe	 Well, if you must know I have written 14 books. And as I am the only one\nwho has read them, I can tell you that they all have been very well received. '
Ross	 (entering) Hey!'
Chandler	 Hey!'
Rachel	 Hey!'
Ross	 What are you guys doing later?'
Phoebe	 Oh, Rachel and I have appointments to get our hair cut.'
Rachel	 (To Phoebe) We do?'
Phoebe	 I want to see what he wants first.'
Rachel	 Okay.'
Ross	 (continuing) I just found out that Elizabeth\xc2\x92s dad wants to meet me.'
Chandler	 Wait a minute, hold the phone! You\xc2\x92re not Elizabeth\xc2\x92s dad?!'
Ross	 Come on guys, I-I really want this guy to like me. It-it would really help\nme out if you guys were here to make me look good.'
All	 Of course we\xc2\x92ll help! Yeah! We\xc2\x92ll be here!'
Ross	 Thanks!'
Monica	 We know how tough those parent/teacher conferences can be.'
The Producer	 (walking into Mac\xc2\x92s office) So uh, here\xc2\x92s your office\nset!'
Joey	 Wow! Huh? (Picks up the phone) Mac Macaveli, Private Investigator!'
The Producer	 (checking his watch) Let\xc2\x92s get you into wardrobe for a\nfitting.'
Joey	 Okay. Hey uh, when do I get to meet the robot?'
The Producer	 I\xc2\x92m sorry, why don\xc2\x92t we do that right now? He\xc2\x92s\nright here. (Points to a guy.)'
Joey	 Okay.'
The Producer	 Joey Tribbiani, this is\xc2\x85'
Joey	 Oh wow! He\xc2\x92s so lifelike! (Starts touching the guy\xc2\x92s cheeks)\nUnbelievable! (He starts tugging on the guy\xc2\x92s ears.'
The Producer	 This is Wayne, the man who created and operates C.H.E.E.S.E.'
Joey	 (slaps Wayne on his cheek) How do you do there, Wayne? (Backs away.)'
The Producer	 I\xc2\x92ll let you two guys get acquainted, huh? (Walks away.)'
Joey	 Okay. Sorry about that\xc2\x85(Mimics that cheek thing he just did.) Uh, so\nwhere\xc2\x92s C.H.E.E.S.E.?'
Wayne	 C.H.E.E.S.E. is right here. (He puts on his headset, picks up the\ncontroller, and wheels C.H.E.E.S.E. in. C.H.E.E.S.E. is just a plain old robot on tracks;\nhe kinda looks like No. 5 in the movie Short Circuit.)'
C.H.E.E.S.E.	 (Wayne with a computerized voice) Nice to meet you Mac!'
Joey	 (laughs) This is like the temporary robot, right?'
Wayne	 No. Why?'
Joey	 Well, I-I just, I just it was going to be like a really cool robot,\ny\xc2\x92know? Like the terminator or uh, when I first saw you.'
Wayne	 I spent two years developing this machine, it\xc2\x92s absolutely state of\nthe art.'
Joey	 I\xc2\x92m sorry, it just\xc2\x97I don\xc2\x92t know it doesn\xc2\x92t really look\nlike it can do anything.'
Wayne	 It can do this. (He moves C.H.E.E.S.E.\xc2\x92s arm close to Joey\xc2\x92s\nspecial area and he jumps back.)'
Elizabeth	 This is my father, Paul Stevens. Dad, this is Ross Geller.'
Ross	 It-it\xc2\x92s great to meet you Paul.'
Paul	 I usually prefer Elizabeth\xc2\x92s boyfriends to address me as Mr. Stevens.'
Ross	 Of course, of course, Mr. Stevens.'
Paul	 So Ross, what your problem?'
Ross	 Eh-wh\xc2\x97Excuse me?'
Paul	 Why can\xc2\x92t you get a girlfriend your own age?'
Ross	 That\xc2\x92s funny. Umm\xc2\x85. (Pause, then serious) It\xc2\x92s not funny.'
Paul	 I don\xc2\x92t like you going out with my daughter Ross.'
Ross	 Okay. I can, I can see that. Umm, but I think if you give me umm, one\nchance I can, I can change your mind.'
Paul	 Okay.'
Ross	 What?'
Paul	 Okay. I\xc2\x92ll give you one chance to change my mind. (Ross laughs in\nrelief) You got one minute. (Ross suddenly gets worried.)'
Elizabeth	 Daddy!'
Paul	 Fine! Two minutes. Go.'
Ross	 This is\xc2\x97you\xc2\x97(Ross starts laughing.)'
Paul	 (laughs then checking his watch) 1 minute 50 seconds.'
