Chandler	 Pheebs, can you help me pick out an engagement ring for Monica? I\ncan\xc2\x92t figure this out! It\xc2\x92s so hard! Should I get her a (turning to each page)\nTiffany cut or a Princess cut or a\xc2\x97ah-ah! Paper cut!'
Phoebe	 Now, have you told anyone else?'
Chandler	 No, I don\xc2\x92t want to tell anybody else because I don\xc2\x92t want\nMonica to find out.'
Phoebe	 You told me.'
Chandler	 Well, it\xc2\x92s because I trust you, you\xc2\x92re one of my best\nfriends, and you walked in on me when I was looking at ring brochures.'
Phoebe	 Yeah well, once again not knocking pays off. I only wish you hadn\xc2\x92t\nbeen on the toilet.'
Chandler	 Me too.'
Joey	 Hey. (Heads straight for the fridge.)'
Chandler	 Hey.'
Phoebe	 Hey! So Chandler, wanna go to the coffeehouse? '
Chandler	 Oh all right.'
Phoebe	 Yeah, coffeehouse.'
Ross	 Oh perfect, we were just gonna see if you wanted to go.'
Chandler	 Oh well, we don\xc2\x92t because we got\xc2\x85the\xc2\x85other pl-place.'
Ross	 How rude.'
Joey	 Oh, I\xc2\x92m sorry. You wanna bite? (Holds his piece out for him.)'

Phoebe	 So how are things going with Paul?'
Rachel	 Good. Although y\xc2\x92know, he-he\xc2\x92s a private guy. Y\xc2\x92know, I\nwish I could get him to open up a little bit, share some feelings.'
Phoebe	 That\xc2\x92s easy! You just have to think of him as a-as a jar of pickles\nthat won\xc2\x92t open.'
Rachel	 So what are you saying; I should run him under hot water and bang his\nhead against a table?'
Phoebe	 No that\xc2\x92s what you do when you want to get the truth out of\nsomeone.'
Paul	 (entering) Hi honey.'
Rachel	 Hi!'
Phoebe	 (To Rachel) Watch this.'
Paul	 (To Rachel) How are you?'
Rachel	 (To Phoebe) Okay.'
Phoebe	 Hi Paul!'
Paul	 Hi Phoebe.'
Phoebe	 So how are things going with you?'
Paul	 Can\xc2\x92t complain.'
Paul	 (whispering) Come on.'
Rachel	 Okay. (Gets up and starts to leave with Paul.)'
Paul	 (To Ross) Hey!'
Ross	 Hi!'
Paul	 Ross! '
Ross	 Great to see you!'
Paul	 Good to see you too!'
Ross	 How you doing?'
Paul	 Good. Bye! (Starts to leave.)'
Ross	 Okay! You take care! '
Ross	 Hey Pheebs, what-what was the deal with you and Chandler blowing us off\nbefore?'
Phoebe	 Yeah! That was so weird, huh?'
Ross	 Phoebe, why\xc2\x92d you do it?'
Phoebe	 I didn\xc2\x92t do it! It was Chandler! He\xc2\x92s\xc2\x85 He\xc2\x92s mad at\nyou!'
Ross	 What?! Why?!'
Phoebe	 Please, I think you know why.'
Ross	 I can\xc2\x92t think of anything.'
Phoebe	 Come on Ross, you\xc2\x92re a paleontologist, dig a little deeper.'
Ross	 Wait a minute, is it because Joey and I didn\xc2\x92t invite him to that\nKnicks game a couple of weeks ago?'
Phoebe	 Do you think that\xc2\x92s something that he\xc2\x92d be mad at you for?'
Ross	 I guess it could.'
Phoebe	 Well then I think that\xc2\x92s it.'
Ross	 Well, if he\xc2\x92s angry, he really shouldn\xc2\x92t just cover it up. I-I\nwish he would just tell me the truth.'
Phoebe	 Oh, if that\xc2\x92s what you want you then you really should run his head\nunder hot water and bang his head against a table.'
Paul	 Honey I made a reservation at China Garden, is that okay?'
Rachel	 Yeah that\xc2\x92s great. But first, wait, talk to me, talk to me. Tell me\nabout your day.'
Paul	 It was fine.'
Rachel	 Okay. Hey, what are you thinking? What are you thinking right now?'
Paul	 I\xc2\x92m thinking that you are looking really fine it that dress.'
Rachel	 Yeah that\xc2\x92s great Paul, but y\xc2\x92know I wanna know\nwhat\xc2\x97(Puts her hands on his shoulders)\xc2\x97Wow, those are really great! I just wanna\nknow what, what is behind this-this strong, silent exterior. Y\xc2\x92know they say that\nstill waters run deep and I wanna swim in yours.'
Paul	 Are you talking about having sex?'
Rachel	 No Paul, I don\xc2\x92t know anything about you! Y\xc2\x92know, like-like\nyour childhood! Tell me about your childhood!'
Paul	 Normal.'
