Ross	 God that is the most beautiful engagement ring ever!'
Rachel	 Yeah? Well, you should know. You\xc2\x92ve bought like a billion of\n\xc2\x91em.'
Ross	 Yeah, you didn\xc2\x92t get one.'
Chandler	 Okay, well tonight\xc2\x92s the big night.'
Phoebe	 Yeah!'
Joey	 Okay listen, how are you gonna ask her?'
Chandler	 It is going to be perfect. I am taking her to her favorite restaurant.\nI\xc2\x92m going to get her a bottle of the champagne that she really loves; therefore knows\nhow expensive it is. Then when the glasses are full, instead of proposing a toast I\xc2\x92m\njust gonna propose.'
Rachel	 Ohh\xc2\x85'
Joey	 That sounds perfect!'
Chandler	 Yeah.'
Joey	 You\xc2\x92re gonna mess it up let me do it.'
Chandler	 I\xc2\x92m not gonna mess it up.'
Phoebe	 If she says no, can I have the ring?'
Chandler	 She\xc2\x92s not gonna say no.'
Phoebe	 If!'
Monica	 (entering) Hey!'
Ross	 Hey!'
Chandler	 Hey!'
Phoebe	 (with her mouthful) Hi Monica.'
Chandler	 (To Phoebe) Give me it!'
Phoebe	 It\xc2\x92s gone.'
Chandler	 Phoebe!'
Joey	 Hey!'
Chandler	 (with his mouthful) Hi Monica.'
Phoebe	 (To Chandler) We\xc2\x92re practically kissing. (Makes a kissy face and\nwinks at him.)'

Rachel	 (entering) Hey!'
Chandler	 Hey!'
Joey	 Hey Rach!'
Rachel	 Are any of you guys free tonight? My boss is hosting this charity event\nfor underprivileged kids and the more people I bring, the better I look. So, Monica?\nChandler?'
Chandler	 (glaring at her) Well, Monica and Chandler can\xc2\x92t go. We\xc2\x92re\ngoing to dinner remember?!'
Rachel	 Oh my God, I\xc2\x92m so sorry.'
Monica	 What\xc2\x92s the big deal?'
Chandler	 I just get mad when Rachel doesn\xc2\x92t remember where we\xc2\x92re\ngoing.'
Joey	 Where are you going?'
Rachel	 How about you guys? (Points to Phoebe and Joey.)'
Phoebe	 Open bar?'
Rachel	 I think so.'
Phoebe	 I can do that for the kids.'
Joey	 Hey, y\xc2\x92know what? I\xc2\x92ll come too. I\xc2\x92m making money now;\nit\xc2\x92s about time I give something back.'
Chandler	 Well, you could also give back the money you owe me.'
Joey	 Okay. Have a benefit.'
Ross	 (entering) Hey!'
Rachel	 Hey! Ross, listen can you come to a charity event tonight?'
Ross	 Oh no, I have plans with Elizabeth.'
Chandler	 Oh, so you\xc2\x92re already doing your part for the kids.'
Ross	 I\xc2\x92m sorry, it\xc2\x92s just one of my last nights together before she\nleaves for camp\xc2\x97to be a counselor!'
Monica	 Ross let me ask you a question. All jokes aside, where is this\nrelationship going?'
Chandler	 Wait a minute, all jokes aside? I didn\xc2\x92t agree to that!'
Monica	 Do you really see this as a long-term thing?'
Ross	 I don\xc2\x92t know.'
Phoebe	 Y\xc2\x92know, you are 12 years older than her.'
Ross	 Wait a minute, does-does everyone feel this way?'
All	 Yeah! Yeah, sort of. I\xc2\x92m sorry.'
Ross	 Uh-uh\xc2\x97Wow! Uh, I thought you guys were just like making jokes, I had\nno idea. What you know what? You guys are wrong. Uh yes, there is a chronological age\ndifference but I never notice it. You know why? Because she is very mature. Besides, it\ndoesn\xc2\x92t really matter to me what you guys think. I mean, I\xc2\x92m the one dating\nElizabeth, not you!'
Joey	 That\xc2\x92s not what she said last night. (Ross glares at him.)'
Rachel	 See? Now, he could date her.'
Chandler	 Will you marry me? Will you marry me? (Makes like a gun with\nhis fingers.) Hey, you marry me! (He gives up as Joey, Rachel, Phoebe, and Ross slink in\nall excited.) What\xc2\x92s going on little elves?'
Joey	 It\xc2\x92s the big night! We wanted to wish you good luck!'
Ross	 Yeah, yeah you have the ring?'
Chandler	 Yeah, right here in my pocket. (Pats his pocket. Phoebe smiles, goes\nover to hug him, and removes the ring from his pocket.) Pheebs?'
Phoebe	 Oh! Oop! (Hands him back the ring.)'
Chandler	 Okay, now will you guys get out of here? I want this is to be a\nsurprise and she\xc2\x92s gonna know.'
Ross	 (to the rest of them) Yeah-yeah you guys. Get out of here!'
Monica	 Hi guys.'
Chandler	 (To Monica) You are beautiful.'
Monica	 Oh, thank you! (The gang exhibits signs of quiet apprehension and wears\nknowing glances.) (Monica giggles.) What\xc2\x92s going on?'
Rachel	 (breaking up) We\xc2\x92re just really\xc2\x85very excited about this\ncharity event that we have to go to.'
Phoebe	 Here.'
Rachel	 Oh! Thank you!'
Phoebe	 So now what\xc2\x92s going on here?'
Rachel	 Uh well, uh this is a silent auction. They lay out all the stuff here\nand then you write down your offer and then the highest bid gets it.'
Phoebe	 No, I know what a silent is I meant, what\xc2\x92s going on with your\nhair?'
Rachel	 (suddenly worried) Uh, wh-why?'
Phoebe	 No! It\xc2\x92s nice!'
Mr. Thompson	 Nice to see you Rachel.'
Rachel	 Oh, hi!'
Mr. Thompson	 So glad you brought someone.'
Rachel	 Someone? I brought people. Mr. Thompson, this is Phoebe. Phoebe, this is\nMr. Thompson. (She introduces them.) He\xc2\x92s the head of my department.'
Phoebe	 Oh, hi. (They shake hands.)'
Rachel	 And I also brought my friend Joey\xc2\x85'
Joey	 (behind them) Oh!! Shrimp toast! (Walks right past the little group on his\nway for the shrimp toast.)'
Rachel	 Well, y\xc2\x92know I-I don\xc2\x92t know where he is.'
Mr. Thompson	 Well, I hope you\xc2\x92re gonna bid on some things Rachel.'
Rachel	 Well, y\xc2\x92know what? Actually, I was about to bid on this lovely trip\nto Paris.'
Mr. Thompson	 Ohh, nice choice.'
Rachel	 Yeah.'
Mr. Thompson	 Good luck.'
Rachel	 Thank you. (Mr. Thompson walks away and after he\xc2\x92s left.) Okay,\n(writing her bid down) twenty dollars.'
Zoe	 Shut the door! Shut the door!! (Runs over and closes the door.)'
Ross	 What\xc2\x92s-what\xc2\x92s going on?'
Elizabeth	 The guys across the hall are throwing water balloons at us.'
Ross	 Oh, you have to call the police! That\xc2\x92s what I did to the kids in my\nbuilding!'
Elizabeth	 No, it\xc2\x92s a water balloon fight! We started it!'
Ross	 Oh! (Does a laugh/groan.) Listen umm, I, I just stopped by to see if you\nwanted to see this play tonight. Umm, it\xc2\x92s supposed to be excellent. The director is\nthe same\xc2\x85'
Elizabeth	 (ignoring him and picking up a pitcher) Who drank all the Kamikazes? '
Sarah	 (approaching with two filled balloons in her hands) Nobody! We put them\nin here! (Indicates the aforementioned balloons causing both of them to scream in delight\nand start drinking from the balloons.)'
Elizabeth	 (To Ross) You want some?! (Starts to squirt the Kamikaze at him.)'
Ross	 No! Okay! Okay! (Stops her.) Okay, look, can I, can I just-just talk to\nyou for a second?'
Elizabeth	 Yeah, sure.'
Ross	 Uh, so this play umm, what do you think? It\xc2\x92s-it\xc2\x92s gotten great\nreviews! Y\xc2\x92know the uh\xc2\x85'
First Dorm Guy	 Attack! '
Second Dorm Guy	 Put your balloons down!'
First Dorm Guy	 You put your balloons down!!'
Ross	 (screaming) Everybody put their balloons down!!! (There is a\ntemporary cease fire.) Now this is a nice suit!! (Shows everyone where he was hit.)'
Mr. Thompson	 Our next item is the romantic trip to Paris. (Pause.) It goes to\nEmil Alexander high a high bid of 2,300.'
Rachel	 Ugh! So close!'
Phoebe	 Hey you guys! Look! '
Joey	 Hey!'
Phoebe	 I got me some drinks!'
Rachel	 What are you doing?'
Phoebe	 Open bar!'
Rachel	 Well now it\xc2\x92s an empty bar.'
Phoebe	 You just can\xc2\x92t stand anyone else enjoying themselves can\xc2\x92t\nyou?'
Mr. Thompson	 And finally, our biggest item of the night, the 22-foot\ngentleman\xc2\x92s day sailer sailboat. The winning bid was a whooping $20,000! (Joey\nsuddenly gets excited.)'
Joey	 I won! That was my guess!'
Rachel	 What?! What?! What?!'
Joey	 I guessed 20,000!'
Rachel	 Joey! It is an auction! You don\xc2\x92t guess, you buy!'
Joey	 What?! I don\xc2\x92t have 20,000!'
Mr. Thompson	 Congratulations on your new boat, Joey Tribbiani!!'
Rachel	 Joey! Sit down! (Pulls him down.)'
Phoebe	 Forget her! You enjoy this!! (Pulls him back up and starts applauding\nagain. Joey waves and does a salute.] '
Monica	 What are you doing?'
Chandler	 (trying to cover up why his hand is over his heart) One nation, under\nGod. Indivisible with liberty and justice for all. (Laughs.) I remembered it. (It\xc2\x92s a\nbutchered version of the Pledge of Allegiance of the United States for our foreign\nfriends.) The champagne is here. (The waiter is delivering it and pouring two glasses.) '
Monica	 Are you okay?'
Chandler	 Yes! Yes! I\xc2\x92m good! Are you good? Are you good? Is\neverything\xc2\x97are you\xc2\x97are you perrr-perfect?!'
Monica	 Yeah. I\xc2\x92m okay. I\xc2\x92m actually\xc2\x97I\xc2\x92m a little cold, can\nI have your jacket?'
Chandler	 Oh, yeah. (Starts to take it off and then realizes) Uh, no you\ncan\xc2\x92t have my jacket! Because then I would be cold! If you thought that you were\ngoing to be cold, you should\xc2\x92ve brought your own jacket. But uh, other than that, are\nyou okay? Are you okay?'
Monica	 (laughs) Are you sure you\xc2\x92re okay?'
Chandler	 Yes! I\xc2\x92m fine. In fact I\xc2\x92ve been fine for a long time now\nand I think, the reason is you.'
Monica	 Ohh that\xc2\x92s sweet!'
Chandler	 Okay umm, before I meant you I had really little life and I\ncouldn\xc2\x92t imagine growing old with\xc2\x85'
Monica	 (interrupting him) Oh my God!'
Chandler	 (not knowing the true meaning of her exclamation) I know, but just let\nme say it.'
Monica	 Oh my God, Richard. (Yep, Richard\xc2\x92s back.)'
Chandler	 What?! I\xc2\x92m Chandler! (She nods towards the doorway, Chandler\nturns and looks) Oh, that\xc2\x92s Richard!'
Monica	 Oh God, maybe he won\xc2\x92t see us. Richard!'
Richard	 (approaching them with a woman in tow) Monica! Chandler!'
Chandler	 Hey-hey, hey! (Gets up and hugs him.) I don\xc2\x92t know why I did\nthat!'
Monica	 Hey, it\xc2\x92s good to see you!'
Richard	 You too, you let uh, your hair grow long.'
Monica	 Yeah\xc2\x97Oh that\xc2\x92s right. You, you always wanted me too. Hey, I\nsee you got your mustache back.'
Richard	 Well, my nose got lonely.'
Chandler	 (to Richard\xc2\x92s date) And uh, you don\xc2\x92t have a mustache which\nis good. (She just smiles.) I\xc2\x92m Chandler; I make jokes when I\xc2\x92m uncomfortable.'
Chandler	 Hi.'
Richard	 Oh, I\xc2\x92m sorry. (Introduces them.) Lisa, (nodding at each) Monica,\nChandler. We used to date.'
Chandler	 Richard! No one supposed to know about us! (Richard just smiles at\nhim.) See I, did it again.'
Monica	 Chandler, wh-why don\xc2\x92t we sit down?'
Chandler	 Yeah, I\xc2\x92ll sit down. (He slides back into his chair.)'
Monica	 (to Richard) It\xc2\x92s good to see you'
Matire'd	 (to Richard) You\xc2\x92re table\xc2\x92s ready sir."
Richard	 Oh. Good to see you guys.'
Chandler	 Yes. (Thinking he\xc2\x92s gone.)'
Matire'd	 (motioning to the empty table next to Monica and Chandler\xc2\x92s) Or\nif you prefer, this table is available."
Richard	 That might be fun. (Richard and Lisa sit down.)'

Rachel	 What were you thinking?!'
Joey	 I didn\xc2\x92t know it was an auction!'
Rachel	 Wh?!'
Joey	 I figured, take a guess, help a charity, free boat!'
Rachel	 Why would a charity give away a free boat?!'
Joey	 I don\xc2\x92t know! Charity?'
Rachel	 Ugh!'
Phoebe	 Well, just buy the damn boat! (She\xc2\x92s still working her way through\nher tray of booze.)'
Rachel	 Phoebe, don\xc2\x92t you think you\xc2\x92ve had enough to drink?'
Phoebe	 I\xc2\x92m just helping the kids!'
Rachel	 How is you drinking helping the kids?'
Phoebe	 Because the more I drink, the less there is for the kids to drink.'
Mr. Thompson	 (approaching) Mr. Tribbiani.'
Joey	 Oh hi!'
Mr. Thompson	 Your generous contribution brings us a big step closer to building\nthe youth center.'
Joey	 Just out of curiosity, how-how much is that boat worth?'
Mr. Thompson	 I think it was valued at 19,000'
Joey	 (To Rachel) Hey, I was pretty close. (She just glares at him.) Uhh, so bad\nnews. Umm, I can\xc2\x92t buy the boat, I don\xc2\x92t have any money.'
Rachel	 Joey! Joey, good one! (Mr. Thompson starts to laugh.)'
Mr. Thompson	 That\xc2\x92s good. Very good! (Walks away.)'
Joey	 So uh listen, I think I\xc2\x92m gonna take off now. (Starts to get up.)'
