Ross	 Hey, what\xc2\x92s going on?'
Chandler	 Hey.'
Ross	 I found a note on my door, "Come to Monica\xc2\x92s quick, bring\nchampagne and a Three Musketeers bar."'
Joey	 (grabbing the candy bar) Yeah I\xc2\x92ll take that.'
Ross	 What\xc2\x92s up?'
Chandler	 Monica and I are engaged.'
Ross	 Oh my God. (Hugs Chandler.) Congratulations.'
Chandler	 Thanks.'
Ross	 Where is she?'
Monica	 (yelling at the top of her lungs) I\xc2\x92m engaged!!!!!! I\xc2\x92m\nengaged!!!!'
Joey	 Yeah, she\xc2\x92s been out there for twenty minutes, I\xc2\x92m surprised you\ndidn\xc2\x92t hear her on the way over.'
Ross	 Oh, I thought it was just a kid yelling, "I\xc2\x92m gay! I\xc2\x92m\ngay!" Can I bring her in?'
Phoebe	 Oh no, let her stay out there. It\xc2\x92s sweet.'
Monica	 I\xc2\x92m getting married!!!! I\xc2\x92m gonna be a bride!!!! (Someone else\nyells at her.) No, I will not shut up because I\xc2\x92m engaged! (He yells again.) Ohh, big\ntalk! Huh, why don\xc2\x92t you come over here and say that to me?! Huh, buddy?! Yeah, my\nfiancee will kick your ass! (Chandler starts to look worried.) Come on, apartment 20!\nApartment 20!'
Chandler	 (To Ross) Okay, you get her in here. (To Joey) You bolt the door.\nI\xc2\x92ll be in the closet.'

Monica	 Okay! Wait-wait-wait! Shhh! (Bangs on her class with a spoon to make a\ntoast.) Okay, umm, I just wanna say that\xc2\x85I love you guys so-so much and-and thank you\nfor being here on my special night. (Chandler clears his throat.) Our special night. I\nmean it just wouldn\xc2\x92t be my\xc2\x97our-our night, if you all weren\xc2\x92t here to\ncelebrate with me\xc2\x97us\xc2\x97Damnit!'
Chandler	 It\xc2\x92s okay, I want this to be your night too. (Raises his class.)\nTo Monica.'
Monica	 Awww, come on\xc2\x97wait\xc2\x97stop it. Okay, to Monica.'
Chandler	 To Monica!'
Phoebe	 So have you decided on a band for the wedding? Because, y\xc2\x92know,\nI\xc2\x92m kinda musical.'
Rachel	 Yeah Pheebs, honey, she just got engaged a couple of hours ago. I doubt\nshe\xc2\x92s even had time to\xc2\x85'
Phoebe	 Well speaking of chiming in, remember the time you burned down my\napartment?'
Rachel	 (To Monica) Yeah, you\xc2\x92re on your own.'
Monica	 Y\xc2\x92know what we should do? We should all get dressed up and go to\nhave champagne at The Plaza.'
Joey	 But I-I-I can\xc2\x92t stay too long, I gotta get up early for a commercial\naudition tomorrow and I gotta look good. I\xc2\x92m supposed to be playing a 19-year-old.\n(Everyone stops in their tracks upon hearing this.) What?'
Chandler	 So when you said, "Get up early," did you mean 1986?'
Joey	 You guys don\xc2\x92t think I look 19?'
Phoebe	 Oh, 19! We thought you said 90!'
Monica	 Okay everybody, let\xc2\x92s go! Let\xc2\x92s go!'
Rachel	 Okay.'
Chandler	 Okay.'
Joey	 (To Phoebe) Hey, is uh the rest of my candy bar around here?'
Phoebe	 Oh honey no, you ate it all.'
Joey	 I was afraid of that. '
Monica	 (looking at her hand) Y\xc2\x92know what shoes would look great with this\nring? Diamond shoes! (Sees Chandler sitting on the bed.) You\xc2\x92re not getting dressed.\n(Chandler quietly folds over the comforter on the bed making a spot for her.)'
Chandler	 Know what I mean?'
Monica	 Yeah, but I don\xc2\x92t think we have time.'
Chandler	 There\xc2\x92s gonna be a wedding. You\xc2\x92re gonna be the bride. Two\nhundred people are going to be looking at you in a clean white dress.'
Monica	 (lustily) Let\xc2\x92s do it! (She kisses him and they fall back onto the\nbed.)'
Monica	 (chasing after him) Chandler! It happens to lots of guys! You-you-you\nwere probably tired, you had a lot of champagne, don\xc2\x92t worry about it!'
Chandler	 (motioning with his hands) I\xc2\x92m not worried, I\xc2\x92m uh, I\xc2\x92m\nfascinated. Y\xc2\x92know it\xc2\x92s like uh, Biology! Which is funny because in high school\nI uh, I-I failed Biology and tonight Biology failed me. (Exits as Phoebe enters from her\nroom with her guitar.)'
Phoebe	 Check it out. Okay, I can play this when the guests are coming in. Okay.\n(Singing) '
Monica	 Phoebe!'
Phoebe	 If you would\xc2\x92ve let me finish, it goes on to say that he\xc2\x92s\nprobably not gay.'
Chandler	 Sure, you guys don\xc2\x92t have this problem, you\xc2\x92re made of wood.\n(Rachel comes out of the bathroom) Hey!'
Rachel	 Hey!'
Chandler	 You look great!'
Rachel	 (quietly) Oh, thanks.'
Chandler	 You okay over there?'
Rachel	 I don\xc2\x92t know, y\xc2\x92know? I feel a little umm\xc2\x85 No,\ny\xc2\x92know what? Nevermind, I\xc2\x92m gonna be fine.'
Chandler	 Oh, don\xc2\x92t worry about it I mean you probably were tired, you had\na lot of champagne, it happens to everybody.'
Ross	 Hey!'
Rachel	 Hi!'
Ross	 Wow! Happy Monica\xc2\x92s night!'
Rachel	 Well thank you, you too.'
Ross	 Thanks.'
Rachel	 Hey, do you believe this? Do you believe they are actually getting\nmarried?'
Ross	 Well sure. But I get married all the time so\xc2\x85'
Rachel	 Ohh\xc2\x85'
Ross	 You okay?'
Rachel	 Yeah, I guess. I-I\xc2\x85 I mean, do-do you think we\xc2\x92re ever gonna\nhave that?'
Ross	 You mean, we\xc2\x97you and me?'
Rachel	 Oh no-no-no-no-no, no, no! We, you with someone and me with someone.'
Ross	 Oh good, you scared me for a minute.'
Rachel	 Shake it off.'
