Joey	 Hey!'
Ross	 Hi!'
Joey	 Who wants French toast?'
Ross	 Oh, I\xc2\x92ll have some!'
Joey	 Good, me too. (Tosses him the loaf.) Eggs and milk are in the fridge.\nThanks.'
Monica	 (entering from her room) Oww!'
Chandler	 What\xc2\x92s the matter honey?'
Monica	 I don\xc2\x92t know, my hand feels weird. I guess it\xc2\x92s because,\nI\xc2\x92m engaged! (Shows off the ring.) How long before it starts getting annoying?'
Phoebe	 It starts?'
Rachel	 Yeah, so let\xc2\x92s get started on the wedding plans!'
Monica	 Okay! (Runs off.)'
Chandler	 (incredulous) Already?!'
Rachel	 Yeah, we got a lot to do! We gotta think about the flowers, the\ncaterers, the music\xc2\x85'
Chandler	 Oh, I got some thoughts on that.'
Rachel	 Oh wait Chandler, too many cooks\xc2\x85'
Ross	 Take from me, as the groom all you have to do is show up and try to say\nthe right name.'
Monica	 (returning) Okay! (Sets down a huge 3" 3-ring binder on the table.)'
Chandler	 What in God\xc2\x92s name is that?!'
Ross	 Oh my God, the wedding book?! I haven\xc2\x92t seen that since the forth\ngrade!'
Monica	 This baby has got everything. Take y\xc2\x92know, locations for instance.\n(She opens up the binder to the locations chapter.) First, organized alphabetically, then\ngeographically, then by square footage. '
Phoebe	 That is so smart! (To Chandler, under her breath) Break it off. Break it\noff now.'

Ross	 And that should conclusively prove that I had the idea for Jurassic\nPark first! Now let\xc2\x92s take a look at\xc2\x85 (Phoebe rushes in.)'
Phoebe	 Hey! Ross!'
Ross	 Phoebe, oh my God! Wh-wh-what are you doing here?'
Phoebe	 I need to talk to you, it\xc2\x92s pretty urgent. It\xc2\x92s about Monica\nand Chandler.'
Ross	 Oh my God! Of course, of course. (To the class.) Umm, would you please\nexcuse me for a moment? Umm, do you know each other\xc2\x92s hometowns? Why don\xc2\x92t\nyou\xc2\x85 (Motions that they should learn everyone\xc2\x92s hometown.) (To Phoebe)\nWh-what\xc2\x92s going on?'
Phoebe	 Well, umm, not much. But, I was just thinking that since those guys just\ngot engaged that maybe it would be nice if they had some privacy, y\xc2\x92know? So, could I\njust move in with you for a couple days?'
Ross	 Umm, okay, yeah, sure. But wh-what\xc2\x92s wrong with Monica and Chandler?'
Phoebe	 Nothing\xc2\x97Why?!'
Ross	 Phoebe, you said it was urgent!'
Phoebe	 Oh yeah it is! I\xc2\x92m going to the movies and it starts in like five\nminutes.'
Ross	 Do you realize I have a classroom full of students?'
Phoebe	 (to the students) Oh, I\xc2\x92m sorry. I\xc2\x92m so rude. Does anyone want\nto come to the movies?'
Monica	 All right, so I haven\xc2\x92t cleared the budget with my parents yet, but\ntell me how this is for music.'
Rachel	 Okay.'
Monica	 All right umm, a string quartet for the procession.'
Rachel	 Aw.'
Monica	 A jazz trio for cocktails. The Bay City Rollers for dancing.\nWait, that was from my sixth grade wedding.'
Chandler	 Well, you couldn\xc2\x92t get them anyway. Ian doesn\xc2\x92t plan anymore\nand Derrick\xc2\x85 (Off of Rachel and Monica\xc2\x92s looks) And Derrick is a name I\nshouldn\xc2\x92t know.'
Joey	 (sitting up from the couch) Hey Mon, do you have another pillow? (Holds up\none.) Y\xc2\x92know, something a little snugglyer?'
Chandler	 Why are you napping over here instead of over at your place?'
Joey	 Well, the duck\xc2\x85'
Rachel	 What?! The duck?! What the hell did the damn duck do now?!'
Joey	 Uh, well he did not get sick somewhere in there and it was\nimmediately found and properly cleaned up!'
Chandler	 Now, do I get to look at this book or is it just for people who are\nactually involved in the wedding?'
Monica	 Of course you can look at it! Yeah, I want your opinion too!'
Chandler	 Okay.'
Monica	 Here you go! What do you think about centerpieces?'
Chandler	 Centerpieces!'
Monica	 Yeah! Roses or Lilies? (Holds up a picture of each.)'
