Chandler	 Hey, you guys!'
Ross and Rachel	 Hey!'
Chandler	 So, what do you think?'
Ross	 About what?'
Rachel	 Yeah, what?'
Joey	 What?'
Chandler	 Are you kidding? Okay, I\xc2\x92ll give you a hint; I\xc2\x92ll give you a\nhint. (Points to his glasses.)'
Joey	 Eyes! No, no. Your eyes! No. Chandler\xc2\x92s eyes!'
Chandler	 I got glasses!'
Ross	 Well, you-you\xc2\x92ve always had glasses.'
Chandler	 No I didn\xc2\x92t!'
Ross	 Are you sure?'
Rachel	 Yeah-yeah, did-didn\xc2\x92t you use to have a pair? They were really\nround, burgundy, and they made you look kind of umm\xc2\x85'
Joey	 Feminine.'
Rachel	 Yes!'
Chandler	 No!'
Monica	 Sweetie, I think the glasses look great. They make you look really sexy.'
Chandler	 Really?'
Monica	 Yeah!'
Chandler	 (sitting down on the arm of her chair) You didn\xc2\x92t think I used to\nwear glasses, right?'
Monica	 Of course! (She mouths, "I have no idea," to the rest of the\ngang.)'

Phoebe	 So what do you guys want for an engagement present?'
Chandler	 That\xc2\x92s okay Pheebs, we\xc2\x92re not having a party or anything, so\nyou don\xc2\x92t have to get us\xc2\x85'
Monica	 (interrupts him) If someone wants to give us a present, we don\xc2\x92t\nwant to deprive them of that joy.'
Rachel	 Oh, y\xc2\x92know what you should get \xc2\x91em? One of those little uh,\nportable CD players.'
Monica	 Oh, I already have one. '
Phoebe	 Not unless someone borrowed it and left it at the gynecologist.'
Rachel	 Yeah, and-and-and by someone, she means Joey.'
Monica	 Hey, I know I what I want!'
Chandler	 What we want honey.'
Monica	 No, you don\xc2\x92t want this. I want to have your grandmother\xc2\x92s\ncookie recipe.'
Phoebe	 You mean the chocolate chip cookie recipe?'
Monica	 Uh-huh, yeah.'
Phoebe	 You mean the one that my grandmother made me swear on her deathbed that\nI would never let out of our family?'
Chandler	 Dying people say the craziest things.'
Monica	 I wanted it for years! I was gonna make cookies for my children.'
Phoebe	 Break my heart\xc2\x97Oh, all right.'
Monica	 Okay. I\xc2\x92m gonna be the mom that makes the world\xc2\x92s best\nchocolate chip cookies.'
Chandler	 Our kids are gonna be fat aren\xc2\x92t they.'
Joey	 (entering) Ahoy!'
Chandler	 Hey! How\xc2\x92s the boat?!'
Joey	 Great! I\xc2\x92m finally getting into this sailing stuff.'
Monica	 Oh, so you finally took it out of the marina huh?'
Joey	 Why would I do that? It took three guys to get the thing in there!'
Phoebe	 If you don\xc2\x92t sail your boat, what do you do on it?'
Joey	 Oh, it\xc2\x92s great! It\xc2\x92s a great place to just kinda, sit, hang\naround, drink a few beers, eat some chips. (He says that as he sits, hangs around, drinks\na beer, and eats a chip.)'
Chandler	 Well, it\xc2\x92s good that you finally have a place to do that.'
Rachel	 Y\xc2\x92know Joey, I could teach you to sail if you want.'
Joey	 You could?'
Rachel	 Yeah! I\xc2\x92ve been sailing my whole life. When I was fifteen my dad\nbought me my own boat.'
Phoebe	 Your own boat?'
Rachel	 What?! What?! He was trying to cheer me up! My pony was sick.'
Chandler	 Do you know what I was thinkin\xc2\x92?'
Monica	 What?'
Chandler	 Nothing, I just like to go like this. (Does it again.)'
Ross	 (entering from the bathrooms) Hey Chandler, what are you doing tonight?'
Chandler	 Uh why, do you have a lecture?'
Ross	 No, why?'
Chandler	 Then free as a bird. What\xc2\x92s up?'
Ross	 My dad wanted to know if you wanted to play racquetball with us.'
Monica	 Wow! That\xc2\x92s great! Dad must really like you, he doesn\xc2\x92t ask\njust anyone to play.'
Ross	 Yeah and he didn\xc2\x92t really ask for you, he asked for Chancy, I assumed\nhe meant you.'
Chandler	 Well, did-did you correct him?'
Ross	 No, I-I thought it would be more fun this way.'
Monica	 This is so cool, maybe this is something you can do every week.'
Ross	 Or you can sit with him on the front porch and make sure no one steals the\ntrash cans. He does that every week too.'
Monica	 Oh, just so you know, you-you have to let him win.'
Ross	 Yeah.'
Monica	 He hates to lose.'
Chandler	 Oh no problem, maybe I\xc2\x92ll play with my left hand.'
Ross	 You\xc2\x92re not a lefty? '
Chandler	 Does anybody know me?!'
Monica	 What\xc2\x92s wrong Phoebe?'
Phoebe	 I just went to my old apartment to get you the-the cookie recipe and the\nstupid fire burned it up!'
Monica	 No!! Why didn\xc2\x92t you make a copy and-and keep it in a fireproof box\nand keep it at least a hundred yards from the original?!!'
Phoebe	 (pauses as he figures out how to answer that) Because I\xc2\x92m normal!\nThat was the one legacy my grandmother left me, and I know you wanted it as an\nengagement present.'
Ross	 Oh, we have to get you an engagement present?'
Chandler	 Don\xc2\x92t worry about it Pheebs.'
Ross	 No one got me an engagement present.'
Phoebe	 Okay, here I wish you health and happiness. (She hands Monica a cookie\nin a plastic baggie.) '
Chandler	 An old cookie?'
Monica	 (To Chandler) This is what happens when you don\xc2\x92t register for\ngifts!'
Phoebe	 See no-no, I made a batch and I froze it, and this is the only one left.'
Chandler	 We can\xc2\x92t accept this.'
Phoebe	 Why not?'
Chandler	 \xc2\x91Cause it\xc2\x92s gross.'
Monica	 No! Wait! I think I can figure out the recipe from this cookie! I do\nstuff like this at work all the time.'
Phoebe	 Really?!'
Monica	 Yeah! I bet I can do it.'
Chandler	 Okay, we owe you a present.'
Ross	 Two! I\xc2\x92ve been engaged twice!'
Joey	 (drinking a beer) Look at this clown! Just because he\xc2\x92s got a bigger\nboat he thinks he can take up the whole river. (Yelling) Get out of the way jackass! (To\nRachel) Who names his boat Coast Guard anyway?'
Rachel	 That is the Coast Guard. '
Joey	 What are they doing out here? The coast\xc2\x92s all the way over there.\n(Points to the coast, meanwhile there is coast behind him.)'
Rachel	 Joey, just ignore the boats all right? We\xc2\x92re not finished with the\nlesson yet.'
Joey	 All right.'
Rachel	 Okay, I\xc2\x92m just gonna go over the basic points just one more time,\nare you ready?'
Joey	 Come on Rach, not again. I got it! Okay? Let\xc2\x92s start sailing, and I\nwant to go over there (Points) where that boatload of girls is! (Yelling to them)\nYo-ho-ho!'
Rachel	 Oh, okay. Is that what you want to do? You wanna go over and give a\nlittle shout out to the old, hot chickas? Okay, let\xc2\x92s do that Sailor Joe. Quick\nquestion though, (grabs some of the rigging) what\xc2\x92s this called?'
Joey	 Uh, boat rope.'
Rachel	 Wrong! How do you get the mainsail up?'
Joey	 Uhh, rub it?'
Rachel	 No. What do you do if I say we are coming about?'
Joey	 I\xc2\x92d say, come again. No-no, wait I-I-I know this one, I know this\none, uh\xc2\x85'
Rachel	 Time\xc2\x92s up, now your dead.'
Joey	 And deaf!'
