Ben	 (on the bike) I\xc2\x92m ready!'
Ross	 You sure?'
Ben	 Uh-huh!'
Chandler	 Okay, let me just straighten out your helmet there. (Does so.)'
Ben	 (To Chandler) Thanks daddy.'
Ross	 No-no, one daddy, two mommies. All right, it\xc2\x92s all yours.\n(Ross pushes him off.)'
Chandler	 Okay. Okay.'
Ross	 Yes! Yes! Yes!! (Everyone stands and claps.)'
Phoebe	 His first big kid\xc2\x92s bike, this is so exciting!'
Monica	 Oh yeah, I remember mine! Ohh, it was my sixth birthday, my dad took me\nto the park, I got it, and\xc2\x85it bent.'
Ross	 Yeah.'
Phoebe	 I never had a bike of my own.'
Ross	 (shocked) What?!'
Phoebe	 Well, we didn\xc2\x92t have a lot of money. But the girl across the street\nhad the best bike! It was pink and it had rainbow colored tassels hanging off the\nhandle grips, and-and-and a bell and this big, white wicker basket with those\nplastic daisies stuck on.'
Chandler	 That sounds like my first bike. (They all turn and look at him.) My\ndad gave me his old one.'
Ross	 Ohh.'
Monica	 Did the girl ever let you ride it?'
Phoebe	 No! But she gave me the box that it came in. It had a picture of the\nbike on the front. (They\xc2\x92re all speechless) So I would sit on it and my step-dad\nwould drag me around the backyard.'
Ross	 That is so unfair!'
Phoebe	 Not really, I got to drag him around too! (They all nod,\n"Oh.")'

Chandler	 Hey! What are you guys doing? '
Joey	 Hey.'
Monica	 Making holiday candy for the neighbors.'
Chandler	 I\xc2\x92m sorry, who?'
Monica	 I\xc2\x92m gonna hang this basket (Points to the one sitting on the table)\non the door and when the neighbors walk by they can all take a piece.'
Chandler	 But we don\xc2\x92t know the neighbors.'
Joey	 I do. There\xc2\x92s uh, let\xc2\x92s see, Guy With a Mustache, Smokes-A-Lot\nLady, Some Kids I\xc2\x92ve Seen, and A Red-haired Guy Who Does Not Like To Be Called Rusty.'
Monica	 See? This is exactly why I\xc2\x92m making this candy. We can learn\ntheir names and get to know our neighbors.'
Chandler	 Wouldn\xc2\x92t it be easier if we just moved?'
Rachel	 (entering, happily) Gooood morning!!'
Chandler	 Eh, somebody\xc2\x92s in a good mood!'
Rachel	 Well, why shouldn\xc2\x92t I be? I have great friends! I have a wonderful\njob!'
Monica	 Where you can make out with your assistant.'
Rachel	 Come on, it\xc2\x92s not a big deal! We stayed up all night coming up with\na plan so that us dating will not be a problem.'
Monica	 Oh yeah, what\xc2\x92s the plan?'
Rachel	 (pauses as she thinks and exhales loudly) We\xc2\x85 We are not\xc2\x85\n\xc2\x85going to let it\xc2\x85 be a problem.'
Monica	 Wow! It took you all night to come up with that plan?!'
Rachel	 Well y\xc2\x92know, we did other stuff too. (Joey and Chandler start to\ngiggle.)'
Monica	 Did you two\xc2\x85'
Rachel	 Oh Monica come on, y\xc2\x92know I don\xc2\x92t sleep with guys on the first\ndate!'
Monica	 Matt Guire, Mark Lynn, Ben Wire\xc2\x85'
Rachel	 Anymore!!'
Monica	 Okay.'
Rachel	 Hi. Tag, I have a conference call today is that correct?'
Tag	 Yes, at 4
Rachel	 Okay, thank you. That\xc2\x92ll be all. (The mail guy leaves and Tag\nstarts to follow, but Rachel stops him.) (Excitedly) Wait! Wait! (Rushes over and closes\nthe office-door.) Did you see that? That mail guy had no idea there was something going on\nbetween us. (They kiss.)'
Tag	 I\xc2\x92d better get back to my desk.'
Rachel	 Okay, you hard worker! I\xc2\x92ll remember to put that in your\nevaluation.'
Tag	 My what?'
Rachel	 Well, you\xc2\x92ve been here for two months now and your boss is required\nto hand in a performance evaluation. But y\xc2\x92know, there is one thing that I have yet\nto evaluate. (She turns around and sweeps the stuff off of her desk and hops up onto it.) '
Tag	 Are you serious?'
Rachel	 No, I\xc2\x92ve just always wanted to do that. Can you help me clean this\nup?'
Monica	 The basket is totally empty! My God, the neighbors ate all the candy!'
Chandler	 Well, either that or uh\xc2\x85(Motions towards Joey\xc2\x92s door.)'
Monica	 Joey!! '
Joey	 Yeah?'
Monica	 Did you eat all the neighbor candy?!'
Joey	 Uh well yeah, that was the plan, but by the time I got to it there was\nonly a couple of pieces left!'
Phoebe	 Yeah, and they\xc2\x92ve been coming by all day. They love it!'
Monica	 They love my candy? Oh man!!! I\xc2\x92ve gotta go make more!! (Starts to\ndo so.)'
Joey	 Hey Mon, you might wanna make some more lasagna too, because something\nmight\xc2\x92ve happened to a huge chunk of it.'
Monica	 Ross! The neighbors ate all my candy!!'
Ross	 Mine stole my newspaper! It\xc2\x92s like a crime wave!! (Monica runs\nto make more candy.) Pheebs, you uh, you got a second.'
Phoebe	 Sure!'
Ross	 Yeah, ever since you uh, told me that story about that bike I-I\ncouldn\xc2\x92t stop thinking about it. I mean, everyone should have a-a first bike,\nso\xc2\x85 '
Phoebe	 (gasps) Oh my God Ross!!'
Ross	 You like it?'
Phoebe	 I love it!!'
Ross	 Yeah?'
Phoebe	 Ohh!! Ohh!! And I love you!'
Ross	 Ahh.'
Phoebe	 Not that way! But the bike brought you a lot closer!'
Ross	 Ah! (She hugs him.) Well uh-uh, t-take it downstairs, y\xc2\x92know give it\na test ride.'
Phoebe	 Okay! Oh my God! My first bike! Thank you for the best present I\xc2\x92ve\never gotten.'
Ross	 (stunned at the complement) You\xc2\x92re welcome.'
Phoebe	 (starts to leave, but stops) Oh and Chandler\xc2\x92s about to cry.'
Chandler	 (about to cry) Am not!'
Monica	 (turning a light on) Who is that?!'
Chandler	 Don\xc2\x92t worry, I\xc2\x92m brave! I am brave! I\xc2\x85I am brave! (They\nget to the door and Monica goes to open it.) No-no-no-no!! (He stops her.) (Through the\ndoor.) Can you tell me who is there please?'
Gary	 Hi!'
Monica	 Hi. Do you know what time it is?'
Gary	 It\xc2\x92s candy time! My roommate says that they taste like little drops\nof heaven.'
Monica	 Oh please! (To Chandler) Did you hear that? Little drops of heaven.'
Chandler	 (laughs) 4
Gary	 So, can I get some candy?'
