Chandler	 Buh-bye. (Hangs up the phone) I just got us reservations at\nMichelle\xc2\x92s and tickets to the Musicman to celebrate our first holiday season\nas a betroughed couple.'
Monica	 Betrothed\xc2\x85 (Corrects him)'
Chandler	 \xc2\x85betrothed couple.'
Phoebe	 (entering carrying a skull) Hey!'
Chandler	 Hey!'
Rachel and Monica	 Hi!'
Phoebe	 Haaaa... (Puts the skull on the table) ... ahhhh!'
Chandler	 Pheebs?'
Phoebe	 Huh?'
Chandler	 Skull?'
Phoebe	 Oh, yeah, it's my mom's."
Rachel	 (freaking out) Oh my god!!'
Phoebe	 No, no, no. It's not! It's not my mom. It belonged to mom. Yeah, no, she\nused to put it out every Christmas to remind us, that even though it's Christmas, people\nstill die. And, you can put candy in it. (She grabs the skull, pulls out a stick of\nlicorice, and takes a bite.)"
Ross	 (entering) Hey!'
All	 Hey!'
Monica	 (Offering Ross the skull) Licorice?'
Ross	 (Thinking it over) Sure! (Takes one) Hey, I just found out, I get Ben for\nthe holidays this year.'
All	 Ohh! That's great!"
Monica	 Are you gonna dress up as Santa?'
Ross	 Nope. I mean, I know Susan does every year, but I think I wanna take this\nyear to teach him all about Hanukkah.'
Phoebe	 And maybe I could teach Ben about the Christmas skull and how people\ndie.'
Rachel	 You may need to use this year to teach Ben about Phoebe.'
Ross	 Hmm.'
Joey	 Hey. (He exits)'
Rachel	 (to Monica) Did you know he was in there?'
Monica	 No.'
Chandler	 How long have we been home?'
Monica	 About a half an hour.'
Chandler	 Lovely!'

Chandler	 Hey, you know what I was thinking? When we get married, are you gonna\nchange your last name to Bing?'
Monica	 No.'
Chandler	 Why not?'
Monica	 Bing's weird."
Phoebe	 (entering) Oh, hey, you guys!'
Chandler	 Hey!'
Monica	 Hey!'
Phoebe	 Hey. Guess what! My landlord just called and my apartment is gonna get\nready soon, so I guess I'll be moving out."
Monica	 Ahh, Phoebe, I'm gonna miss you!"
Phoebe	 Yes, you will be very sad. All right, well I gotta go tell Rachel the\ngood news.'
Chandler	 Ohh! You guys gonna be living together again?'
Phoebe	 Yeah, why not?'
Chandler	 Well, she's just so much fun with Joey, I just assumed, she'd still be\nliving with him."
Phoebe	 Why do you think, she's having so much fun living with Joey?"
Chandler	 No reason, except\xc2\x85she\xc2\x85told\xc2\x85me.'
Phoebe	 Really? So she said, she didn\xc2\x92t wanna live with me anymore?'
Chandler	 No! No, she didn't say that. I-I-I think you should talk to Monica\nnow."
Monica	 Phoebe, don't worry about it. I'm sure she wants to live with you."
Phoebe	 You're sure? You're absolutely sure?"
Monica	 Well, no. But, um, I bet she probably does.'
Phoebe	 Probably? Yeah, I don\'t like that word. (Chandler and Monica look\nsurprised) Kind of what \xc2\x91probably\xc2\x92 really means. Yeah, uh-huh. Yeah, oh,\n"Your mom probably won\'t kill herself," y\xc2\x92know? I\'m sorry, but I\'m not\nhanging all my hopes of Rachel and I living together on-on "Probably!"\nY\xc2\x92know? You gotta take care of yourselves! (She starts to walk out) In this\nworld history teaches us nothing! (Exits)'
Chandler	 Bing doesn't seem so weird now, does it?"
Rachel	 (entering) Hey!'
Joey	 Hey! Great, you\xc2\x92re home! Guess what Phoebe got me for Christmas!\n(Starts drumming.)'
Rachel	 Drums?'
Joey	 (yelling) No! Drums!'
Chandler	 (to the Maitre d') Hi, could we get two burritos to go, please?\n(Laughs.)"
Monica	 I'm sorry. But not that sorry, 'cause you don't have to live with it.\nUm, we have a reservation under the name Chandler Bing."
Maitre d'	 Oh-kay, we'll have a table for you in about 45 minutes."
Chandler	 Forty-five minutes? We have tickets to the Musicman at 8
Maitre d'	 I'm sorry. Christmas is a very busy time, sir."
Chandler	 Is this because of the burrito thing?'
Monica	 (pulling Chandler away from the Maitre d') You need to give him money."
Chandler	 Give him money? It was a joke!'
Monica	 No, to get a table! Places like are always shakin\xc2\x92 you down.\nEverybody wants to be paid off.'
Chandler	 Right, calm down, O'Mally. I'll slip him some money."
Monica	 You've got to be smooth about it."
Chandler	 Hey, I can be smooth. (Walks back to the Maitre d', very smoothly)\nListen, we're a little bit in a hurry, so, if you can get us a table a little quicker, I'd\nappreciate it. (Shakes his hand)"
Maitre d'	 Of course, sir."
Chandler	 Okay. (Walks back to Monica)'
Monica	 How did it go?'
Chandler	 Had the money in the wrong hand. (Shows her his left hand with the\nmoney in it)'
Ross	 Wooooooo, hehehe. Hey, ahh, you don't feel like you're gonna throw up, do\nya?"
Ben	 No.'
Ross	 Well, I do, so let's... (Ben and Ross sit down on the couch) So, Ben, you\nuh, you know what holiday is coming up, don't ya?"
Ben	 Christmas.'
Ross	 Yep, and you know what other holiday is coming up?'
Ben	 Christmas eve.'
Ross	 Yes, but also (Pauses to let Ben answer, but he doesn\xc2\x92t.) Hanukkah!\nSee, you're part Jewish, and-and Hanukkah is a Jewish holiday."
Ben	 Santa has reindeers that can fly!'
Ross	 Right, um, but, on Hanukkah, Hanukkah is a celebration of a miracle. See,\nyears and years ago there were these people called the Maccabees.'
Ben	 (singing) Jingle bells, jingle bells...'
Ross	 (interrupts him) Okay, that's right, yes, but on Hanukkah, uh, we sing, uh\n(Sings) Dreidel, dreidel, dreidel, I made you out of clay."
Ben	 (singing) Rudolph, the red-nosed reindeer...'
Ross	 (interrupts him again) Okay, it's not a contest."
Ben	 When is Santa coming?'
Ross	 Well, how about this year, instead of Santa, we have fun celebrating\nHanukkah?'
Ben	 No Santa? Was I bad?'
Ross	 No! Oh, no-no-no. Hey, you weren't bad, you've been very good, Ben."
Ben	 Santa's mad at me."
Ross	 No, hey-hey, come on, (He grabs Ben and sits him on his lap) Ben, Santa is\nnot mad at you, okay? Hey, you're-you're his favorite little guy!"
Ben	 So Santa's coming?"
Ross	 (disappointed) Yes! Santa's coming!"
Monica	 It's easy! Just keep it casual! Give him a kind word, shake his hand and\ngive him the money!"
Chandler	 How do you know so much about this?'
Monica	 I don't know."
Chandler	 Richard used to do it, didn't he?"
Monica	 We'd be eating our soup right now."
Chandler	 Mustached bastard\xc2\x85'
Monica	 (sees two people exit) Okay, those people just left, come on! Quick!\nGive him the money and get their table!'
Chandler	 (walks up to the Maitre d') Excuse me..."
Male Guest	 (to the Maitre d') Good evening. (Shakes his hand)"
Chandler	 (finds his money) Ahh-hahaha! (Turns around to give the Maitre d' his\nmoney, but he isn't there anymore)"
Rachel	 (stopping at Phoebe\xc2\x92s entrance) Ha!'
Phoebe	 So you like the drums! That's, that's great! Y\xc2\x92know, I was worried,\nthat, you know, they would maybe an unbearable living situation. All right, okay, well,\napparently not! So, yay!"
Joey	 Hey-hey, Pheebs, check it out, we already learned a song. (To Rachel)\nReady? One, two, three, four...'
Rachel and Joey	 Tequila!!'
Phoebe	 That's fun. (She exits disappointedly.)"

Gunther	 Here you go.'
Chandler	 Thank you Gunther, put it there. (He gets up, and shakes Gunther's\nhand. A bunch of coins fall out his hand. He sits down next to Monica.) Definitely not\neasier with coins. (Joey gets up and picks up the coins. Chandler thinks, Joey is just\nhelping him to pick them up.) Thank you."
Joey	 Thank you. (He gets up and puts on his jacket.) (Phoebe enters) Hey\nPheebs!'
Phoebe	 Hey!'
Joey	 Here. (Gives her the coins) Now I only owe you $49.50.'
Chandler	 Hey Pheebs!'
Phoebe	 Hey! (she sits down next to him)'
Chandler	 If you wanna give Joey a Christmas present that disrupts the entire\nbuilding, why not get him something a little bit more subtle, like a wrecking ball, or a\nvile of small pox to release in the hallway?'
