Chandler	 Ohh. Mmm.'
Rachel	 (Comes in the front door and walks towards the kitchen.) Hi.'
Chandler	 Hey, you have got to try this cheesecake.'
Rachel	 Oh, y\xc2\x92know I'm not that much of a sweet tooth. I\xc2\x97(Chandler\nputs a forkful of the cheesecake in her mouth.)\xc2\x97Wow. My God, so creamy. Oh my God,\nthis is the best cheesecake I have ever had. Where did you get this? (She reaches over to\nlook at the label on the box.)"
Chandler	 (nervously) It was at the front door. When I got home. Somebody sent\nit to us.'
Rachel	 Chandler, this is not addressed to you. This is addressed to Mrs.\nBraverman downstairs. (Gasping) Thief.'
Chandler	 I\xc2\x97no! I didn't read the box before I opened it. And you can't\nreturn a box after you've opened the box."
Rachel	 Why, why not?'
Chandler	 Because it's too delicious."
Rachel	 Chandler, you stole this cheesecake. That is wrong.'
Chandler	 No-no-no! It is going to be okay, because Mrs. Braverman is gonna send\naway for a free one and that way we all win! The only losers are the big cheesecake\nconglomerate, (Reading the label) Momma\xc2\x92s Little Bakery. (Pause) I feel terrible,\nI\xc2\x92m a horrible, horrible, horrible person.'
Rachel	 (taking a bite) Oh, I\xc2\x92m sorry what?'

Joey	 All right, I should get going, big day a work. Y\xc2\x92know I\xc2\x92m in a\ncoma? Today, they do this test on me and it turns out I\xc2\x92m not brain dead.'
Chandler	 So\xc2\x85'
Joey	 Ah-ah-ah Mr. Smartie Pants, it\xc2\x92s just not my character that\xc2\x92s\nnot brain dead. Hey, so Pheebs, we still on for tonight?'
Phoebe	 Absolutely!'
Joey	 I\xc2\x92ll see you at 8
Phoebe	 Okay. (Joey exits.) '
Chandler	 Oh, what\xc2\x92s at 8
Phoebe	 Oh, I have dinner plans with Joey. We get together about once a month to\ndiscuss the rest of you guys.'
Ross	 Wow, did not know that! May I say how lovely you look today?'
Phoebe	 Duly noted.'
Ross	 Thanks. (Phoebe gets up to get a refill.) (To Monica) Oh! So for tomorrow,\ndo you want to rent a car and drive down together or what?'
Monica	 What are you talking about?'
Ross	 Cousin Frannie\xc2\x92s wedding, its tomorrow night.'
Monica	 You were invited?!'
Ross	 No.'
Monica	 My God, I can\xc2\x92t believe this! I mean I knew that mom and dad were\ninvited, but I thought that was it! I mean from the ages 7 to 9 Frannie and I were\ninseparable!'
Chandler	 Well, maybe since the age of 9, Frannie\xc2\x92s made some new friends.'
Ross	 Well l-look okay, it\xc2\x92s probably just a mistake. Let me call Aunt\nSheryl okay? Maybe you are invited and the invitation just got lost in the mail.'
Monica	 Yeah, well you call her and tell her that y\xc2\x92know when we were kids\nher precious little Frannie tried to undress me several times, okay? And if I hadn\xc2\x92t\nhave stopped her, there probably wouldn\xc2\x92t even be a wedding to go too.'
Ross	 Y\xc2\x92know, she tried to undress me too.'
Chandler	 I used to undress my cousin Glenn. (Monica looks at him then sushes\nhim.)'
Phoebe	 Joseph Francis Tribbiani are you home yet?!!'
Rachel	 Umm, I think he\xc2\x92s still out. What\xc2\x92s wrong?'
Phoebe	 Well, I\xc2\x92ll tell you Rachel Karen Green, I had plans with Joey\ntonight and he left me this note. (Hands it to Rachel.)'
