Monica	 (looking up) Ross, when\xc2\x92s this comet thing start?'
Ross	 Well, technically it seven billion years ago\xc2\x85 (Well,\ntechnically you\xc2\x92d be able to see it for days, well nights; that is if you could see\nit with all of the bright lights of New York.)'
All	 (groaning) Oh no! Oh no! (They all start to get up a leave.)'
Ross	 Okay! Okay! Fine, I\xc2\x92ll stop! No teaching, okay? We\xc2\x92ll just watch\nthe pretty light streaking across the sky. (Comets don\xc2\x92t streak across the sky,\nmeteors do.) Okay? Who\xc2\x92s official name is Bapstein-King.'
All	 Okay! Okay! (They start to leave again.)'
Phoebe	 (looking up) There it is! Oh, look at that! Isn\xc2\x92t Mother Nature\namazing?'
Chandler	 (looking up with her) That\xc2\x92s a plane!'
Phoebe	 Well, all right. 1700 bags of peanuts flying that high, that\xc2\x92s\npretty amazing too.'
Tag	 Hey, I wonder if you can see my apartment from up here.'
Rachel	 No. No, you can\xc2\x92t.'
Tag	 What?'
Rachel	 Oh I don\xc2\x92t-I don\xc2\x92t know.'
Ross	 Man, look at all those stars! (Yeah, you can see what? Five of them from\nthe city?) Infinite space. It really, really makes you wonder, doesn\xc2\x92t it?'
Joey	 (looking through his binoculars at a nearby building) Y\xc2\x92know what\nelse makes you wonder?'
Ross	 Huh?'
Joey	 Check out the rack on this chick! (Turns around to point it out to Ross\nand finds that Ross is glaring at him. So he quickly puts his binoculars to his eyes and\nstarts looking for the comet.)'

Monica	 Okay, we\xc2\x92ve been out here for two hours and we haven\xc2\x92t seen\nany stupid comets. Can we go now? I mean, Chandler\xc2\x92s getting chilly. (She walks over\nto where Chandler is bundled up in a big coat and shivering.)'
Chandler	 (with a quivering voice) No, I\xc2\x92m not!'
Joey	 Then why are you wearing Monica\xc2\x92s jacket?'
Chandler	 Because it\xc2\x92s flattering! (Shivers harder) Come on Monica! Come on\nMonica! (He goes inside.)'
Rachel	 Yeah actually, I think we\xc2\x92re gonna take off too. We rented a movie.'
Phoebe	 Oh! I won\xc2\x92t say, \xc2\x91no\xc2\x92 to a movie!'
Rachel	 Uh Pheebs, we just actually kinda wanted to be alone.'
Phoebe	 Shh! Get me out of here.'
Rachel	 Oh. (They leave, leaving just Joey and Ross.)'
Joey	 (whispering) Ross!'
Ross	 What?'
Joey	 Come here, check this out!'
Ross	 What? Is it the comet? (Runs over to where Joey\xc2\x92s standing.)'
Joey	 No! No-no. Look, there\xc2\x92s a bug stuck in tar right here. (Bends down\nto get a closer look.)'
Ross	 Joey come\xc2\x97I can\xc2\x92t believe\xc2\x97I bring you here to see the\nBapstein-King comet, one of nature\xc2\x92s most spectacular phenomenon, and all you care\nabout are bugs stuck in tar and-and some woman!'
Joey	 (standing up) Y\xc2\x92know, there\xc2\x92s two women dude.'
Ross	 Show me where?'
Joey	 Right-right up here. (Starts looking at them through a piece of pipe.)'
Ross	 (noticing the pipe and looking at the door) Joey where\xc2\x92s the pipe\nthat was holding the door open?'
Joey	 (annoyed) I don\xc2\x92t know! (Goes back to looking through the pipe.)\n(Pause) Yeah, I do.'
Ross	 Joey!'
Joey	 What?! All right\xc2\x97Hey! Don\xc2\x92t look at me! You\xc2\x92re the one who\nwanted to come up and look for some stupid Burger King comet!'
Ross	 It\xc2\x92s called the Bapstein-King comet, okay? (Joey starts to groan.)\nHey! Hey! Bapstein was a very well respected astronomer! '
Joey	 (covering his ears and yelling) Oh no! No! No! (He starts banging on the\ndoor.)'
Chandler	 (whispering) Monica!'
Monica	 She\xc2\x92s sleeping.'
Chandler	 I know, just quick-quick question, quick question. Which one was Deep\nImpact and which one was Armageddon?'
Monica	 Deep Impact was the one with Robert Duval, Armageddon is\nwhat\xc2\x92s going to happen to you if you wake me up.'
Chandler	 Sorry, I just\xc2\x85can\xc2\x92t sleep. Ooh! (Turns on the light and\nMonica groans.) Where is that book that you are reading with the two women who were\nice-skating and wearing, wearing those hats with the flowers on it? Because every time I\nlook at that cover I\xc2\x92m like\xc2\x85(Fake snores.)'
Monica	 It is in the living room where there is also a light! And no one will\nkick you in the shin.'
Chandler	 What?! (Monica kicks him in the shin.) Ow! (He gets out of bed and\nheads into the living room.)'
Phoebe	 (crossing her fingers and closing her eyes) Please don\xc2\x92t be a space\nship. Please don\xc2\x92t be a space ship. (She turns on the light and looks around and\nfinds that it\xc2\x92s the smoke detector that\xc2\x92s beeping.) Oh thank God! (She moves a\nchair over and starts to investigate how to make the beeping turn off, in frustration she\nyanks the thing off of the wall. She sets it down and heads for bed, just as she gets\nthere it beeps again. She opens the cover and removes the battery, but it still beeps.)\nHow could you be beeping?! I just disconnected you! I took out your battery! How can\xc2\x85'
Phoebe	 Don\xc2\x92t interrupt me!!'
Ross	 Rachel!! Monica!!'
Joey	 Come on!'
Ross	 I can\xc2\x92t believe this!!'
Joey	 All right well, y\xc2\x92know\xc2\x85I guess we know what we have to do to get\ndown.'
Ross	 (standing at the edge of the roof) Yeah, I guess we don\xc2\x92t have a\nchoice. (Screaming to the street) Help us! Please help us! We\xc2\x92re stuck up on the roof\nand we can\xc2\x92t get down!!!'
Joey	 Ross. I was thinking we could just go down the fire escape. (Points it\nout.)'
Ross	 (To Joey) I know, I wasn\xc2\x92t finished. (Joey motions him to finish.)\n(Yelling at the street) But don\xc2\x92t worry! We\xc2\x92re gonna go down the fire escape!!'
Chandler	 Shhhhhhhhh!!! (Monica enters) I\xc2\x92m sorry, I thought maybe I\xc2\x92d\nmake some warm milk and it would help me sleep.'
Monica	 With a wok? (Chandler\xc2\x92s holding a wok.) I thought you were going to\nread my boring book to put you asleep.'
Chandler	 It got interesting! Damn you Oprah!'
Monica	 Here, let me make the milk, I\xc2\x92m up anyway.'
Chandler	 Hey, y\xc2\x92know what we can do? Y\xc2\x92know, now that we are up? We\ncan just like talk to each other all night long, y\xc2\x92know like we did when we were\nfirst going out. It\xc2\x92d be fun!'
Monica	 Okay that does sound like fun. '
