Joey	 Hey.'
Rachel	 Hey.'
Joey	 What are you doing?'
Rachel	 Well, y\xc2\x92know I was thinking of moving the couch over here.'
Joey	 (laughs) Why would you want to do that?'
Rachel	 So that there will be a decent place for me to sit.'
Joey	 Rach, there is a decent place to\xc2\x85'
Rachel	 And your lap does not count! Okay? Come on help me move this.'
Joey	 No. No. No.'
Rachel	 No?'
Joey	 No. Rosita does not move.'
Rachel	 I\xc2\x92m sorry, Rosita? As in\xc2\x85'
Joey	 As in Rosita does not move.'
Rachel	 Joey, it\xc2\x92s just a chair! What\xc2\x92s the big deal?'
Joey	 The big deal is that it is the exact equal distance from the bathroom to\nthe kitchen and it\xc2\x92s at the perfect angle so you don\xc2\x92t get any glare coming of\noff Stevie.'
Rachel	 Stevie the TV?'
Joey	 (glaring at her) Is there a problem?'
Rachel	 No! (Joey sets his beer and bag of chips down and heads into his room.)\nOh what does he know! Come on Rosita, us chichas got to stick together! (She tries pulling\non the back of the chair, until the hinge breaks and the back falls off.) You bitch!'

Ross	 Hey, y\xc2\x92know what\xc2\x92s weird? After you guys get married, when you\nintroduce me to people you\xc2\x92re gonna have to say, "This is my brother-in-law\nRoss." Not, "My friend Ross," "brother-in-law Ross." That\xc2\x92s\nweird isn\xc2\x92t it?'
Chandler	 Couldn\xc2\x92t I just say, "This is Ross?"'
Ross	 (disappointed) Sure, do whatever you want.'
Monica	 (entering, carrying a newspaper) Hey Ross! So, I was checking out the\nuh, real estate section\xc2\x85'
Ross	 Yeah?'
Monica	 Look at this. (Hands him the newspaper.)'
Ross	 Oh, it looks like mom and dad\xc2\x92s house. Oh, it even has a tree with a\nbroken limb out front and the uh, the window in the attic is\xc2\x85Oh my God!!'
Phoebe	 What? What happened to the window in the attic?!'
Monica	 I can\xc2\x92t believe mom and dad are selling the house!'
Ross	 I can\xc2\x92t believe they-they didn\xc2\x92t even tell us!'
Phoebe	 I can\xc2\x92t believe I still don\xc2\x92t know what happened to the window\nin the attic!'
Ross	 (on phone) Uh, hello dad! Monica and I just saw the house in the paper!\n(Listens) Yes we\xc2\x92re surprised! (Listens) Who did you leave a message with?'
Chandler	 (knocking on the window while outside) Sorry! (Runs off.)'
Rachel	 Joey, Joey I am so sorry.'
Joey	 I told you not to move it! Rach, how would you feel if say, I wanted to\nmove you mom, and you said don\xc2\x92t, and I did it anyway and her head fell off?'
Rachel	 Okay, come on\xc2\x97Joey, I\xc2\x92ll buy you a new one! All right?\nWe\xc2\x92ll go down to the store right now and we\xc2\x92ll-we\xc2\x92ll get you a new chair.'
Joey	 (slowly turning and glaring at her) She\xc2\x92s not even cold yet!'
Rachel	 But don\xc2\x92t you think Rosita would\xc2\x92ve wanted you to move on? I\nmean y\xc2\x92know, she did always put\xc2\x85your comfort first.'
Joey	 That\xc2\x92s true.'
Rachel	 (grabbing her coat) Okay? You ready?'
Joey	 Yeah, I\xc2\x85 (Shuts off the TV.) I don\xc2\x92t want Stevie to see her like\nthis.'
Ross	 I can\xc2\x92t believe we have to say goodbye to the house we grew up in.\nMan, some-some stranger\xc2\x92s gonna be living in my room.'
Monica	 Well, after 15 years of mom and dad keeping it as a shrine to you,\nit\xc2\x92s time the velvet ropes came down.'
Ross	 They kept your room for a while.'
Monica	 Oh please! Dad turned my room into a gym 20 minutes after I moved out! I\ngotta say, a tanning bed and a stack of Victoria\xc2\x92s Secret catalogues, not a\ngym!'
Ross	 Come on, you know they love you.'
Monica	 As much as they love you?'
Ross	 I was their first born! They thought she was barren! It\xc2\x92s not my\nfault.'
Phoebe	 (entering) Hey.'
Ross	 Hey.'
Monica	 Hey!'
Phoebe	 Ugh, I hate this year!'
Ross	 What\xc2\x92s wrong with this year?'
Phoebe	 Well okay, it\xc2\x92s already February and I\xc2\x92ve only given two\nmassages and they were both the worst tippers in the world!'
Monica	 That was me and Ross.'
Phoebe	 Oh that\xc2\x92s right!'
Ross	 Hey, y\xc2\x92know if you want to pick up some extra cash? Some friends of\nmine made good money doing telemarketing.'
Monica	 Oh that\xc2\x92s a great idea. You\xc2\x92re really good on the phone.'
Phoebe	 Yeah and yeah, and it would probably be better than the last telephone\njob I had. Y\xc2\x92know, I probably wouldn\xc2\x92t have to say spank as much. (Monica and\nRoss are shocked.) '
Ross	 What?'
Phoebe	 Oh yeah, like you never called!'
Supervisor	 So basically this is very easy. You read from the script and try to\nsell as much toner as you possibly can.'
Phoebe	 Okay, I can do that! Oh, by the way, I love my office.'
Supervisor	 (laughs) Why don\xc2\x92t we do a trial run.'
Phoebe	 Oh okay. Umm, all right. (Picks up the phone and starts reading from the\nscript.) Hi, this is Phoebe from Empire Office Supplies, can I speak to your supply\nmanager please?'
Supervisor	 I\xc2\x92m the supply manager.'
Phoebe	 Umm, okay I would like to talk to you about your toner needs.'
Supervisor	 We don\xc2\x92t need any toner.'
Phoebe	 Oh okay, well I\xc2\x92m sorry to bother you. Bye-bye. (Hangs up the\nphone.) Yeah you\xc2\x92re right, this is easy.'
Supervisor	 Okay, what was wrong with that call?'
Phoebe	 Oh well, all right\xc2\x85um, no offense, but you were kind of rude.'
Supervisor	 They\xc2\x92re always going to tell you they don\xc2\x92t need toner,\nbut that\xc2\x92s okay because whatever they say, you can find the answer to it here in this\nscript.'
Phoebe	 Oh.'
Supervisor	 So, I think you\xc2\x92re ready to sell toner, do you have any last\nquestions?'
