Ross	 Happy birthday!!!'
Monica	 Happy birthday!!!'
All	 Rach! Come on! Rach!'
Monica	 It\xc2\x92s your birthday!'
Tag	 (entering from her room) Hey.'
Chandler	 (To Monica) She\xc2\x92s not as pretty as she was when she was 29.'
Tag	 Ms. Green would like to establish some ground rules before she comes out.\nShe would appreciate it if you don\xc2\x92t use the words old or downhill or (To Joey) they\nstill look pretty damn good. (Joey smiles and everyone glares at him.)'
Joey	 They do!'
Phoebe	 Rachel! Come on out! Monica made breakfast!'
Monica	 Chocolate-chip pancakes!'
Ross	 We\xc2\x92ve got presents!'
Rachel	 Good ones?'
Monica	 They all came from the list you handed out to us two weeks ago.'
Rachel	 Well, can I keep the presents and still be 29?'
Joey	 Come on Rach! Look, turning thirty is not that big a deal.'
Ross	 Oh really. Is that how you felt when you turned thirty?'
Joey	 (screaming) Why God?!! Why?!! We had a deal!! Let the others grow old! Not\nme!! (He buries his head in Phoebe\xc2\x92s lap for comfort.)'
Rachel	 Y\xc2\x92know, I\xc2\x92m still 29 in Guam.'
Ross	 Hey, 30 is not that old! Do you know how old the Earth is?'
Rachel	 Late thirties? Oh come on you guys! Is it just me? Am I overreacting to\nthis?'
Chandler	 No Rach, it\xc2\x92s not just you. My thirtieth birthday certainly\nwasn\xc2\x92t that much fun.'
Joey	 (screaming) And now Chandler! We\xc2\x92re all gettin\xc2\x92 so old! (Looking\nup) Why are you doing this to us?! (Turns away crying.)'

Monica	 Rach, you\xc2\x92re in a great place in your life. Come on, you\xc2\x92ve\ngot a great job! Good friends\xc2\x85'
Joey	 Yeah, you\xc2\x92re roommate is a soap opera star.'
Rachel	 Look, y\xc2\x92know I know my life\xc2\x92s going pretty well, but I look\naround and I just see so many people who\xc2\x92ve accomplished so many other goals by the\ntime they\xc2\x92re thirty.'
Phoebe	 Yeah, but you shouldn\xc2\x92t compare yourself to me.'
All	 Come on Phoebe! You can do it Phoebe! Come on!'
Rachel	 There you go!'
Phoebe	 I did it! One mile on a hippity-hop! That\xc2\x92s it!! That\xc2\x92s\neverything I wanted to do before I was thirty. Oh, except I wanted to patch things up with\nmy sister. But oh well. Yay!! (They all cheer again.) And-and girls this thing is a\nGodsend if you know what I mean. (Rachel and Monica look intrigued and as they all head\ninto Central Perk, Rachel picks up the hippity-hop that Phoebe left behind.)'
Rachel	 Thirty. Ugh, I mean thirty! Monica, do you remember mean, old Mrs.\nKreeger in the fifth grade? She was thirty!'
Tag	 Come on, let\xc2\x92s have some fun. Huh? (To Rachel) What do you want to do\ntoday?'
Rachel	 Nothing. I don\xc2\x92t want to do anything.'
Monica	 Well, doing nothing on your thirtieth is better than doing something\nstupid, like Ross.'
Ross	 Hey! That was a practical purchase! I needed that car for transportation!\nOkay? I-I have a child!'
Ross	 How hot do I look in this, huh?!'
Chandler	 Ross, a sports car? Wouldn\xc2\x92t it have been cheaper to just stuff a\nsock down there?'
Ross	 That\xc2\x92s not what this is about okay? I-I am a sports car enthusiast. I\nhave always been into cars.'
Joey	 Hey, what\xc2\x92s the horsepower on this thing?'
Ross	 (giddy) I don\xc2\x92t know, but-but look how shiny!'
Monica	 I can\xc2\x92t believe you bought this.'
Rachel	 Really! God Ross, what were you thinking? (To Phoebe, quietly) I know\nit\xc2\x92s really shallow, but a part of me wants him again.'
Phoebe	 Oh, well get in line missy. (To Ross) So, can I have a ride stud?'
Ross	 Hop in. (Phoebe hops in.) Get ready for the smoothest ride of your life. '
Ross	 Damnit! (Shuts the car off.)'
Phoebe	 (getting out) Okay, who\xc2\x92s next?'
Rachel	 Y\xc2\x92know what? I am going to do something today. I\xc2\x92m not just\ngonna sit around like some old lady. I\xc2\x92m gonna get something pierced. Like my uh,\nlike my nose or my tongue or something.'
Phoebe	 Really?! \xc2\x91Cause y\xc2\x92know that hurts.'
Rachel	 So what?! Y\xc2\x92know what? The way I see it\xc2\x97(Phoebe pulls out a\nhair from the back of her head)\xc2\x97Ow! Son of a bitch!!'
Tag	 Look Rachel, I know what you\xc2\x92re going through. I\xc2\x92m totally\nfreaked about turning 25.'
Rachel	 (glares at him) Get out, get out of my apartment. '
Monica	 All right Rach, for what it\xc2\x92s worth, I think that you\xc2\x92re doing\ngreat. I mean y\xc2\x92know let\xc2\x92s face it, no one handles this well.'
Phoebe	 Least of all you.'
Tag	 Why? What you\xc2\x92d do?'
Monica	 Weren\xc2\x92t you asked to leave sonny?'
Chandler	 (To Joey) Would you put that back on?! Monica\xc2\x92s gonna be here any\nminute!'
Joey	 But it hurt\xc2\x92s my Joey\xc2\x92s Apple.'
Chandler	 (frustrated) Okay, for the last time. It\xc2\x92s not named for each\nindividual man.'
Mrs. Geller	 (To Chandler) You\xc2\x92ve done a wonderful job with this party\nChandler. Everything looks so lovely.'
Chandler	 Oh well, not as lovely as you. I mean, I can\xc2\x92t believe that you\nwould have a thirty-year-old daughter! (To Mr. Geller) And you! I can\xc2\x92t believe that\nyou would have a tux that\xc2\x92s thirty years old! (Puts his hand on Mr. Geller\xc2\x92s\nshoulder.)'
Mr. Geller	 It\xc2\x92s older than that. Ross was actually conceived right near\nthis tuxedo.'
Chandler	 Ohh! (He quickly removes his hand and looks at it.)'
Rachel	 (entering) Hey! Everybody hide! Hide! I saw her! She\xc2\x92s coming!'
Chandler	 Okay! Okay! Everybody down! Everybody down! (Rachel turns off the\nlights and everyone crouches. As everyone crouches, a ripping noise erupts from the\nassemblage.)'
Mr. Geller	 Crap.'
Chandler	 (getting up to investigate) Okay, everybody stay here. I will find out\nwhat\xc2\x92s going on.'
Monica	 Heyyy!! You got the door open!! (Giggles.)'
Chandler	 Hey-hey are you drunk?'
Monica	 Nooo! (Giggles) Okay. (She tries to pull herself up by Rachel and\nJoey\xc2\x92s doorknob, but the door opens and she almost falls into the their apartment.\nShe manages to catch herself.) Whoa! (Stands up, unsteadily) Okay. See I was, I was a\nlittle nervous about turning (whispering) thirty. (Giggles.) So the bus boys took me out\nfor some drinks. (Pause) I wanna puke on you later!'
Chandler	 Okay, here is the thing. We have thrown a very formal surprise\nparty for you in there! All of your friends are in there and your parents!'
Monica	 Noo!!!'
Chandler	 Yes!'
Monica	 Noo!!'
Chandler	 Yes!!'
Monica	 Oh no! My parents have never seen me drunk! (Pause) That they know of.'
Chandler	 Okay, here\xc2\x92s the thing. We\xc2\x92re gonna get you some coffee and\nthey will never know that you\xc2\x92re drunk.'
Monica	 Really?! You promise?'
Chandler	 Yeah, I\xc2\x92ll take care of it.'
Monica	 Okay. I love you so much. (Kisses him.)'
Chandler	 (laughing) Okay we have to do something about your breath.'
Monica	 What about your breath?! (Breathes on him.)'
Chandler	 That\xc2\x92s still yours. Okay, now remember it\xc2\x92s a surprise\nparty. So, when you go in, act surprised.'
Monica	 Okay. I can do that.'
Chandler	 Okay.'
