Monica	 I\xc2\x92m glad you\xc2\x92re here, we have a couple of things to ask you\nabout the wedding ceremony.'
Rachel	 (starting to cry) Ohh\xc2\x85'
Ross	 What\xc2\x92s the matter? You okay?'
Rachel	 Yeah, it\xc2\x92s just y\xc2\x92know\xc2\x85'
Chandler	 (To Ross) Monica said wedding.'
Monica	 Uh, so anyway, we thought one of you could read something during the\nceremony.'
Rachel	 Oh! I would love to read a poem.'
Chandler	 Do you think you could get through a poem?'
Rachel	 (crying) It\xc2\x92ll be a short one.'
Monica	 Okay, so Ross will be doing the reading.'
Rachel	 Ohhh\xc2\x85'
Ross	 Okay. Yeah, I guess, I guess I could do that too.'
Chandler	 Too?'
Ross	 Yeah, I kind of uh, have something else planned for you guys.'
Monica	 Do you mind telling us what it is?'
Ross	 Sorry, I\xc2\x92m kinda keeping this one on the Q.T.'
Chandler	 Well, whatever it is, I hope it involves winking. (Winks in a spy-type\nmanner.)'
Joey	 (entering, excited) Hey!'
All	 Hey!'
Joey	 So I just talked to one of the DOOL writers today, and\xc2\x85'
Monica	 What is DOOL?'
Joey	 Days Of Our Lives. Anyway, you\xc2\x92re not gonna believe it! My\ncharacter is coming out of his coma!!'
All	 Oh!!'
Chandler	 That\xc2\x92s great!'
Joey	 And-and-and not only that, I\xc2\x92m gettin\xc2\x92 a new brain!!'
Chandler	 So great things are happening at work and in your personal\nlife!'
Rachel	 Wait, what do you mean you\xc2\x92re getting a new brain?'
Joey	 Oh well, they\xc2\x92re killing off one of the characters on the show, and\nwhen she dies her brain is being transplanted into my body.'
Ross	 What? A brain transplant?!'
Joey	 (seriously) Yes, it\xc2\x92s a highly controversial procedure.'
Ross	 It\xc2\x92s ridiculous!'
Joey	 Well, I think it\xc2\x92s ridiculous that you haven\xc2\x92t had sex in three\nand a half months.'
Ross	 (to Monica and Rachel) It\xc2\x92s winter, they are fewer people on the\nstreet. (Rachel and Monica smile and nod, knowingly.)'
Monica	 Who are they killing off?'
Joey	 Uh Cecilia Monroe, she plays Jessica Lockhart.'
Rachel and Monica	 Noo!!'
Monica	 She\xc2\x92s my favorite character on DOOL.'
Joey	 Nice.'
Rachel	 She is so good at throwing drinks in people\xc2\x92s faces, I mean I\ndon\xc2\x92t think I\xc2\x92ve ever seen her finish a beverage.'
Monica	 And the way she slaps all the time!'
Rachel	 Oh!'
Monica	 Wouldn\xc2\x92t you love to do it just once?! (Raises her hand towards\nChandler.)'
Chandler	 Don\xc2\x92t do it.'
Rachel	 Cecilia Monroe man, what a great actress.'
Joey	 Oh, tell me about it. And she\xc2\x92s been on the show forever, it\xc2\x92s\ngonna be really hard to fill her shoes.'
Ross	 Yeah-yeah, help me out here, when you come out of the "brain\ntransplant," you are going to be her?'
Joey	 Yes, but in Drake Remoray\xc2\x92s body. (Ross laughs unbelievably.) Why is\nthis so hard for you to get? I thought you were a scientist!'

Phoebe	 (Clears Throat) Rach, so, that guy there. Straight or gay?'
Rachel	 (They both look behind them.) Well, I'd have to say gay."
Phoebe	 Yeah? Why?'
Rachel	 Well mainly because he's kissing that other guy."
Phoebe	 Oh no not that guy there. That guy right there. (Pointing to an\nattractive man sitting at a table behind them.)'
Rachel	 Oh yeah he's too cute to be straight."
Phoebe	 (A woman with large breasts walks in the door) Ohh knockers will help us\nfigure it out. (She walks by and he checks her out.)'
Rachel	 All right, straight, and not subtle. (The man gets up and leaves.)'
Phoebe	 Ohh, he left his cell phone.'
Rachel	 Oh, well, we can hand it to Gunther and he'll put it in lost and found."
Phoebe	 Or we could use it to call China. See how those guys are doing.'
Rachel	 What if, um, if he calls his own cell phone to find out who found it and\nI answer and we start talking and we fell in love. I mean wouldn't that be a great story?\nKind of like a fairy tale for the digital age."
Phoebe	 Yeah\xc2\x85 That does sound great. I'm going to get the phone. (They both\nget up.)"
Rachel	 What? Wait! Why\xc2\x85why do you get the story?'
Phoebe	 I don't know. I haven't been out on a date in so long."
Rachel	 Phoebe, you had a date three days ago.'
