Ross	 Hi.'
Rachel	 Hi! Hi Ben!'
Ben	 Hi.'
Ross	 Hi, we have a little bathroom emergency.'
Rachel	 Oh, yeah go ahead.'
Ross	 Uh, before we do uh, are any of Joey\xc2\x92s special romance magazines in\nthere?'
Rachel	 No. No.'
Ross	 (to Ben) Okay! All clear!'
Ben	 (running to the bathroom) Thanks Phoebe!'
Rachel	 Ben, its Rachel! (He closes the door.) But whatever.'
Ross	 (to Ben) Everything okay in there?'
Ben	 Don\xc2\x92t talk to me now!'
Rachel	 Awww, just like his daddy.'
Ross	 Hey listen can you do me a big favor? The dean\xc2\x92s office just called\nand said there was an urgent meeting. Can you watch Ben for like an hour?'
Rachel	 What-what about Monica?'
Ross	 Oh, she isn\xc2\x92t home.'
Rachel	 (nervous) So it would just be, me alone?'
Ross	 Well, Ben would be there.'
Rachel	 Huh umm\xc2\x85'
Ross	 What\xc2\x92s the matter?'
Rachel	 Well that\xc2\x97y\xc2\x92know it\xc2\x92s just uh, I\xc2\x92ve never done that\nbefore. Me and him alone.'
Ross	 Rach, he\xc2\x92s not an ex-con.'
Rachel	 Okay. Okay. Okay. Uh, what do I, what do I do with him?'
Ross	 I don\xc2\x92t know! Just-just talk to him-entertain him and keep him alive.'
Rachel	 Okay.'
Ross	 Okay. (Ben enters) Ben? Come here. All right, I\xc2\x92m gonna leave you\nhere with Aunt Rachel for about an hour. Okay? Are you gonna be okay?'
Rachel	 Yeah I think so.'
Ross	 (To Rachel) I wasn\xc2\x92t talking to you.'
Ben	 I\xc2\x92ll be okay.'
Ross	 Okay, I\xc2\x92ll see you soon buddy. (He hugs and kisses him.) Be back in\nan hour.'
Ben	 Bye dad.'
Rachel	 Bye. (Ross exits.) Ahhh\xc2\x85 (Silence) So this is fun, huh?'
Ben	 Not really.'
Rachel	 Okay. Uh, want something-want something to drink?'
Ben	 Okay.'
Rachel	 Uh great! How do you feel about Diet Coke?'
Ben	 I\xc2\x92m not allowed to have soda.'
