Monica	 So the wedding caterer sent me this list of twelve appetizers and I have\nto narrow it down to six.'
Joey	 Food? Uh-huh gimme! (She hands him the paper.)'
Chandler	 So did Monica tell you about this great band called the Swing Kings\nthat we\xc2\x92re trying to get to play at the wedding?'
Phoebe	 Since when are you into swing music?'
Chandler	 Oh since forever! I used to go all over town listening to bands!'
Monica	 Chandler.'
Chandler	 Gap commercial. (To Monica) So did you book them? Did you call?'
Monica	 I will.'
Chandler	 Do you want me to call?'
Monica	 No, I\xc2\x92ll do it. You just stick to your job.'
Phoebe	 What is your job?'
Chandler	 Staying out of the way.'
Joey	 This is impossible Monica, why don\xc2\x92t you just pick all 15? (Hands\nback the paper.)'
Monica	 There were only twelve.'
Joey	 Oh yeah, I added three.'
Monica	 What are peanut butter fingers?!'
Joey	 Oh yeah\xc2\x85 (He mimes sticking his fingers into a jar of peanut butter,\nscooping some out, and eating it off his fingers.)'

Ross	 (noticing a beautiful woman moving in down the street) Well hello!\nShe\xc2\x92s cute! Should we uh, go try to talk to her?'
Chandler	 Sure! That\xc2\x92s one of the great things about being engaged.\nI\xc2\x92m not nervous talking to pretty girls anymore.'
Ross	 Uh yeah! Let me, let me get that for you.'
Ross	 (exhales) I got it. (He lifts the box and grunts under the strain.)\n(Calmly) So hi, I\xc2\x92m uh, I\xc2\x92m Ross and this is my friend Chandler. (He shyly\nwaves.)'
Ross	 Kristen, hi. Are you uh, new to the area, \xc2\x91cause if you\nare\xc2\x85I\xc2\x92d love to show you around sometime.'
Kristen	 I\xc2\x85I uh, actually just moved from four blocks over.'
Ross	 Ah.'
Kristen	 But-but this block is like a whole other world.'
Ross	 Y\xc2\x92know actually it does have a very interesting history. Uh, this\nstreet is the first street in the city to have an underground sewer system. (Kristen\ncrinkles her nose at that.) Before that sewage and waste would just flow right down the\nstreet. Yeah, sometimes ankle deep! (He stops when he realizes what he\xc2\x92s talking\nabout.)'
Chandler	 (To Ross) Smooth.'
Kristen	 (To Chandler) Excuse me? (Chandler does the shy thing again.)'
Ross	 Umm, say you\xc2\x92re gonna be starving after all this moving. What do you\nsay I take you to dinner tonight?'
Kristen	 Oh I\xc2\x92d like that.'
Ross	 Yeah?'
Kristen	 Yeah.'
Ross	 Great! Uh, let me take this up for you. (The box he\xc2\x92s holding.)'
Kristen	 After you.'
Ross	 Oh no-no, after you. (She grabs a chair and heads upstairs.) (When\nshe\xc2\x92s gone.) Oh my God! (He drops the box and Chandler can\xc2\x92t pick it up.)'
Phoebe	 (wearing a veil) Am I crazy or does this totally go?!'
Rachel	 Oh my God! You look so beautiful!'
Phoebe	 (To Rachel) Thank you Rachel but, look at Monica!'
Monica	 This is it. Yeah, this is the one. I can\xc2\x92t believe I found it!'
Monica	 Well I\xc2\x92m Monica Geller, ball like a baby.'
Monica	 Have you found your dress yet?'
Megan	 Oh no, these dresses are all so amazing but there is no way I could\nafford one.'
Monica	 No, I can\xc2\x92t afford this either. No. I-I-I\xc2\x92m, I\xc2\x92m just to\nfigure out which one I want then I\xc2\x92m gonna get it at Kleinman\xc2\x92s, this discount\nplace in Brooklyn, day after tomorrow they are having a huge sale.'
Megan	 Oh, thanks for the tip.'
Monica	 Yeah! So-so when are you getting married?'
Megan	 Oh I\xc2\x92m not, I just like to try these on.'
Rachel	 I do the same thing.'
Megan	 I\xc2\x92m just kidding. I\xc2\x92m getting married July 25th.'
Rachel	 I\xc2\x92m just kidding too. (Laughs) I\xc2\x92m getting married in\nDecember. (Turns away not happy with herself.)'
Megan	 (To Monica) So when are you getting married?'
Monica	 Oh May 15th.'
Megan	 Oooh it\xc2\x92s getting close!'
Monica	 Yeah!'
Megan	 So uh, who\xc2\x92s your photographer?'
Monica	 Jeffery.'
Megan	 We met with him. Did he show you the photos of the nude wedding he did?'
Monica	 The best man? Wow!'
Megan	 I know! I almost called off my wedding. Oh, who\xc2\x92s your band?!'
Monica	 Oh, my fiancee wants the Swing Kings.'
Megan	 Oh, you\xc2\x92re so lucky. My fiancee wants the heavy metal band Carcass. '
Phoebe	 Ooh, is that spelled with a \xc2\x91C\xc2\x92 or a \xc2\x91K\xc2\x92? Oh my God!\nIt doesn\xc2\x92t matter; they\xc2\x92re both great!'
Rachel	 Oh y\xc2\x92know what? Y\xc2\x92know what? Now that you know what you want\nyou should go to Kleinman\xc2\x92s and get it half off. This place is so overpriced.'
Rachel	 So, does this (The dress) come in another color or\xc2\x85 (The store\nowner walks away.)'
Joey	 (checking her out) Hi! You uh, movin\xc2\x92 in or movin\xc2\x92 out?'
Kristen	 I\xc2\x92m moving in.'
Joey	 Oh uh, can I give you a hand?'
Kristen	 Oh okay. But y\xc2\x92know what? Be careful. Because a guy was helping me\nbefore had to leave because he hurt his back.'
Joey	 Boyfriend?'
Kristen	 No.'
Joey	 I\xc2\x92m Joey. (They shake hands.)'
Kristen	 Kristen.'
Joey	 Oh wow, what a beautiful name! (Pause) What is it again?'
Kristen	 Kristen.'
Joey	 Got it! (He picks up a lamp.) So\xc2\x85'
Kristen	 So uh, do you live around here?'
Joey	 Yeah! Yeah! Right down there. (Points.) Hey listen; let me give you a\nlittle tip. Do not take a nap on this stoop (Points to hers) or you can wake up with your\nshoes gone.'
Kristen	 I\xc2\x92ll remember that.'
Joey	 Okay. Yeah. Listen would you uh, would you like to have dinner with me\ntonight?'
