Rachel	 Hey! Out of all of us, who do you think is gonna get married next?'
Joey	 Probably Monica and Chandler.'
Woman	 (to Gunther) Hi. Could I have a pack of Newport Lights,\nplease?'
Gunther	 Oh umm, uh we don\xc2\x92t sell cigarettes, but they have them at the\nnewsstand across the street. (Points.)'
Woman	 That\xc2\x92d be great, thanks. (Gunther goes and gets them.)'
Rachel	 (to the gang) Oh my God, Melissa Warburton. I don\xc2\x92t think I have\nthe energy for this.'
Melissa	 (Gasps when she notices Rachel) Oh my God! Ray-ray Green?! (Screams)'
Rachel	 (screaming) Melissa!'
Melissa	 You have been M.I.A for the past seven sorority newsletters,\nwhat\xc2\x92s up with you?!'
Rachel	 Wh\xc2\x97(Turns and looks at the gang who\xc2\x92s staring)\xc2\x97Why\ndon\xc2\x92t I tell you over here? (She walks Melissa away from the gang.)'
Melissa	 So last I heard you were gonna get married. (Grabs Rachel\xc2\x92s hand\nand notices that she doesn\xc2\x92t have a ring on it.) (Sadly) Oh poor Ray-ray.'
Rachel	 Oh no-no, no! It\xc2\x92s good! It\xc2\x92s all good! I-I actually work at Ralph\nLauren!'
Melissa	 Shut up!'
Rachel	 I will not! I\xc2\x92m the divisional head of men\xc2\x92s sportswear!'
Melissa	 Oh shut up more! Now, are you friends with Ralph?'
Rachel	 Oh please\xc2\x85'
Melissa	 (excitedly) Are you?!'
Rachel	 No.'
Melissa	 Listen, we-we have to have dinner. What-what are you doing tomorrow\nnight?'
Rachel	 Oh tomorrow, oh I don\xc2\x92t know. Um\xc2\x85'
Melissa	 You do now. You\xc2\x92re having dinner with me.'
Rachel	 Shut up.'
Melissa	 I-I\xc2\x92ve got to go. This has been so great Ray-ray! (Gunther returns\nwith her cigarettes.) Oh, there you are. (Takes them from Gunther.) (To Rachel) Umm, so\nlisten, just call me. Here\xc2\x92s my card. (Hands the card over.)'
Rachel	 Oh, wow thanks! (Reading the card) Oh you\xc2\x92re in real estate!'
Melissa	 Oh no, that\xc2\x92s-that\xc2\x92s an old card. Umm, I wanted to get out of\nthat and-and do something where I can really help people and-and make a difference.'
Rachel	 Wow! What do you do now?'
Melissa	 (quietly) I\xc2\x92m a party planner. I\xc2\x92ll see you tomorrow.\n(Exits.)'
Rachel	 Okay! (Joins the rest of the gang.)'
Joey	 Hey guys! Look who\xc2\x92s back! It\xc2\x92s Ray-ray!'
Rachel	 Shut up that was my friend Melissa from college.'
Ross	 She seems really, really fun!'
Rachel	 She\xc2\x92s actually very sweet and we used to be very close.'
Monica	 Wait a minute, she isn\xc2\x92t\xc2\x85 She\xc2\x92s not the one who you\xc2\x85'
Joey	 (excitedly) Who you what? Who you what?!'
Rachel	 (To Monica) Yes.'
Monica	 Wow!'
Joey	 (excitedly) Wow? Wow what?! Wow what?! Who you\xc2\x97what?!!'
Rachel	 It\xc2\x92s not a big deal!'
Monica	 (To Joey) They were lovers.'
Ross	 What?!'
Joey	 What?!'
Rachel	 No we weren\xc2\x92t! It was nothing! It was one night, senior year we\nwent to a party, had a lot of sangria and y\xc2\x92know, ended up\xc2\x85kissing for a\nbit.'
Ross	 So that\xc2\x92s two of my wives.'

Monica	 (telling Chandler the seating arrangement) Okay so this is where the\nband is. (Points.) And this is where the bar is. (Points) And all these pins have\npeople\xc2\x92s names on them. (She has pins to show the seating at each of the tables.) And\nRach, here you are. (Points to Rachel\xc2\x92s place.)'
