Monica	 Do you realize that four weeks from today we\xc2\x92re getting married?\nFour weeks baby!! Four weeks!!!'
Chandler	 Do you realize you get louder each week?'
Monica	 There\xc2\x92s still so much to do. Have you written your vows yet?'
Chandler	 I figured I\xc2\x92d buy those. Pat, I\xc2\x92d like to buy a vow.\n(Laughs)'
Monica	 Sweetie, you know I have no sense of humor when it comes to the wedding.'
Chandler	 Right. So uh, have you written yours yet?'
Monica	 No! But I know exactly what I\xc2\x92m going to say.'
Chandler	 Do you happen to know what I\xc2\x92m going to say?'
Monica	 (handing him a pad of paper and a pen) Let\xc2\x92s just do it right now.\nOkay? It won\xc2\x92t be hard. Just say what\xc2\x92s in your heart. (She goes back, sits\ndown, and starts feverishly writing.)'
Chandler	 (watching in her) (in his head) Look at her go! She must love me\nmore than I love her! What\xc2\x92s wrong with me? Ooh, don\xc2\x92t open that door.'

Chandler	 (writing) Monica, there are no words\xc2\x85 (To Joey and Ross) There\nare no words! This should not be this hard!'
Joey	 All right, uh\xc2\x85 (To Ross) Oh hey, you\xc2\x92ve done this before Ross,\nwell what did you say when you made up your vows?'
Ross	 Well with Carol, I promised never to love another woman until the day I\ndie. She made no such promise.'
Chandler	 I\xc2\x92m so pathetic! Monica knows what she wants to say! You\nshould\xc2\x92ve seen her. Writing, writing, writing!'
Rachel	 Monica what? '
Phoebe	 What?!'
Rachel	 What is the emergency?!'
Monica	 You have to help me! I\xc2\x92m supposed to be writing my vows and all I\nhave is this! (Shows them what she\xc2\x92s been working on.)'
Rachel	 Well, I like the pretty little drawing of you in the wedding dress.'
Monica	 Thank you.'
Phoebe	 Yeah, except your breasts look kinda small. (Points.)'
Monica	 Those are my eyes! Those are my breasts. (Points.)'
Phoebe	 Oh! Yeah! (Monica glares at her.)'
Ross	 Well, why don\xc2\x92t you just start with something simple. Like umm,\nMonica from the moment I met you, I knew I loved you.'
Chandler	 Yeah, I\xc2\x92m not sure I can do that.'
Ross	 ...everyone, this is Chandler!'
Fat Monica	 Hi, I'm Ross's little sister."
Chandler	 (seeing her) Okay.'
Rachel	 Okay. Okay. Okay. Umm, maybe you can start with, "Chandler, even\nthough we were friends; there was a part of me that always knew I wanted more."'
Chandler	 All right, there\xc2\x92s a nuclear holocaust, I\xc2\x92m the last man on\nEarth. Would you go out with me?'
Monica	 Ennnh.'
Monica	 Ooh, are we allowed to lie in the vows?!'
Phoebe	 Well maybe you don\xc2\x92t talk about your feelings back then. Maybe you\njust say something about y\xc2\x92know all the things that he\xc2\x92s taught you. Like\xc2\x85\n(They all try to think about one example and don\xc2\x92t succeed.) Or all the things you\ntaught him.'
