Ross	 Hey!'
Monica	 Hey!'
Ross	 Hey uh Mon, I saw the Porsche parked out front, can I get the keys?\nThought I\xc2\x92d take that bad boy out for a little spin.'
Rachel	 Wait a minute! (To Monica) You let Ross drive the Porsche and\nwhen I ask you, you say you\xc2\x92re the only one who\xc2\x92s allowed to drive it.'
Monica	 Yeah, well he\xc2\x92s my brother! And plus he drives so slow he could\nnever hurt it.'
Ross	 It\xc2\x92s a car Monica! Not a rocket ship!'
Monica	 Whatever Ross! Just replace the bulbs in the brake lights after\nyou\xc2\x92re done.'
Joey	 (entering) Hey!'
Ross	 Hey!'
Phoebe	 Hey!'
Joey	 Saw the Porsche out there Mon, lookin\xc2\x92 good. When do I get to take\nthat baby out again?'
Rachel	 (shocked) You let Joey drive it?!'
Phoebe	 I\xc2\x92ve never driven it! Okay? Not once! Okay once. Okay, I drive it\nall the time.'
Monica	 Nice work everybody! So much for the y\xc2\x92know, "You can drive\nit, but don\xc2\x92t tell Rachel" plan!'
Rachel	 Wow! I can\xc2\x92t believe you lied to me.'
Phoebe	 Okay, I can fix this! Okay Monica, Rachel thinks all you can talk about\nis the wedding. (Rachel glares at her.)'
Monica	 Great! Well Rachel, the reason why I won\xc2\x92t let you drive the\nPorsche is because you\xc2\x92re a terrible driver. There! That wasn\xc2\x92t about the\nwedding.'
Ross	 Look Rach if-if you want to go for a ride in the Porsche I\xc2\x92ll be glad\nto take you for a quick spin around the block.'
Joey	 Yeah, you got a couple hours?'

Ross	 Whew! That was a brisk ride!'
Rachel	 Take the top down did ya?'
Ross	 Only way to fly.'
Rachel	 Come on Ross give me the keys! Monica does not know what\nshe\xc2\x92s talking about! I am an excellent driver!'
Ross	 You\xc2\x92re fast and irresponsible. That adds up to a bad driver.'
Rachel	 Well in High School, that added up to head cheerleader.'
Ross	 Did you see the look that girl just gave me? Huh? She must\xc2\x92ve seen me\ncruising in the bad boy.'
Rachel	 I think she\xc2\x92s checking out your beehive Ross.'
Ross	 What?! (Checks his hair.) Give-give me a brush.'
Rachel	 Gimme the keys!'
Ross	 No way!'
Rachel	 Well no brush!'
Ross	 Fine! Y\xc2\x92know what? It doesn\xc2\x92t matter, because, if I remember\ncorrectly, there is a comb on the floor of the bathroom. '
Rachel	 (to the woman) Alimony. (Runs outside.)'
Monica	 Chandler, we still haven\xc2\x92t gotten an RSVP from your dad.'
Chandler	 Oh! Right. Umm, maybe that\xc2\x92s because I didn\xc2\x92t send him an\ninvitation.'
Monica	 Chandler! He\xc2\x92s your father; he should be at the wedding.'
Chandler	 I don\xc2\x92t even know the man. Okay? We\xc2\x92re not the close. I\nhaven\xc2\x92t seen him in years.'
Monica	 Well what are you gonna do when he finds out he wasn\xc2\x92t even asked?!'
Chandler	 Well he doesn\xc2\x92t have to know! It\xc2\x92s not like we run in the\nsame circles. I hang out with you guys, and he stars in a drag show in Vegas.'
Phoebe	 Ooh, I think I wanna trade circles.'
Chandler	 Trust me, you don\xc2\x92t want him there either. Okay? Nobody is gonna\nbe staring at the bride when the father of the groom is wearing a back-less dress.'
Monica	 So what! As long as he\xc2\x92s not wearing a white dress and a veil I\ndon\xc2\x92t care.'
Phoebe	 Okay, I think I need to do some shopping. (Gets up and leaves.)'
Rachel	 Ahhh! (Gets in.) Ooh, nice!'
Rachel	 My God!'
Ross	 What do you think you\xc2\x92re doing?!'
Rachel	 Just washing the windshield. (She turns on the wipers forcing Ross off\nof the hood.)'
Ross	 There is no way I am letting you drive this car! So why don\xc2\x92t\nyou just hand over the keys?'
Rachel	 Oh.'
Ross	 No ah-ah-ah! Do not start this car! (She starts the car.) Okay!\nOkay! I will give you twenty bucks if you get out of this car right now! (He looks for the\ntwenty Rachel stole and doesn\xc2\x92t find it.)'
Rachel	 Look Ross, if you\xc2\x92re so freaked out, just get in the car!'
Ross	 With you?! Yeah right!'
Rachel	 All right. (She starts off.)'
Ross	 (grabbing the car) Okay! Okay! Okay! (He gets in, but into the back seat.)'
Rachel	 What are you doing?! Get in the front!'
Ross	 In the death seat?!!'
Rachel	 Oh my\xc2\x85'
Man	 Hey guys!'
Joey	 Hey!'
Phoebe	 Hey sweetie!'
Man	 Ready to go?'
Phoebe	 Yeah! Sure! Ooh, I left my purse up at Monica\xc2\x92s. I\xc2\x92ll be right\nback. (She goes to get it.)'
Man	 (stopping her) Wait a minute!'
Phoebe	 What? (He leans in to kiss her.) Oh. (They kiss and Phoebe pauses.) Ooh.\n(Pause) Whoa! That one kept going. (Exits.)'
Joey	 So! You and Phoebe huh? How long have you been going out?'
Man	 Over a month.'
Joey	 Wow! Maybe uh, maybe you and I ought to get to know each other a little\nbetter.'
Man	 Sure, I\xc2\x92d like that.'
Joey	 So uh, what\xc2\x92s your name?'
Man	 (laughs) Its Jake.'
Joey	 Joey. (They shake hands.) Hey Jake, do you like the Knicks?'
Jake	 Yeah, big fan.'
Joey	 Me too! There\xc2\x92s a game on Tuesday do you wanna go?'
Jake	 Yeah that would be great! Let me make sure I\xc2\x92m not doing anything\nTuesday. (He bends over to open his bag, when he does so his pants slide down his butt\nrevealing a pink lace secret.)'
Monica	 Here! (She sets a bag down in front of him.)'
Chandler	 What\xc2\x92s this?'
Monica	 It\xc2\x92s your suitcase. We\xc2\x92re going to Las Vegas.'
Chandler	 Are you serious?! I mean like eloping?! No more stupid wedding stuff?!\nNo more these flowers or these flowers or these flowers\xc2\x97Think of the money we\xc2\x92ll\nsave!! (Monica just looks at him.) We\xc2\x92re not eloping. I love the flowers. Can our\nwedding be bigger please?'
Monica	 We\xc2\x92re going to Las Vegas to see your dad. It\xc2\x92s time you two\ntalked, and I want to get to know my father-in-law.'
Chandler	 Y\xc2\x92know we already went over this and I won!'
Monica	 No you didn\xc2\x92t. Oh and honey just so you know, now that you\xc2\x92re\nmarrying me, you don\xc2\x92t get to win anymore.'
Chandler	 Look forget it okay? I don\xc2\x92t want to go. I don\xc2\x92t want to see\nhim. I don\xc2\x92t wanna.'
Monica	 Chandler, look I-I know that your dad embarrassed you. I know\xc2\x85'
