Conan	 It\xc2\x92s a tradition here on Friends after every taping for me to\nhang out with you guys, (They all laugh) talk down the episode umm\xc2\x85 The point of this\nwhole thing is what people see in America is
Jennifer	 Once and a while.'
Lisa	 From time to time.'
Conan	 For example, I don\xc2\x92t have to memorize lines. You guys actually have\nto remember what to say and you probably forget from time to time. Yes?'
Matthew	 Our energy just comes way up when there\xc2\x92s an audience here and\nwhen that happens, something happens between your brain and your mouth sometimes and it\njust doesn\xc2\x92t, it just doesn\xc2\x92t work.'
Ross	 Uh, oh-oh, umm no you didn\xc2\x92t. I did.'
Chandler	 Oh uh-uh, no-no-no-no-uh-uh. (He starts laughing, causing everyone\nelse to laugh.)'
Phoebe	 So, we realize that\xc2\x97Oh no\xc2\x85 (She resets herself) I\xc2\x92m\ntelling it! I\xc2\x92m telling it\xc2\x85 (She loses it.)'
Joey	 Ha-ha. Look\xc2\x97Come on, I don\xc2\x92t know what to do\xc2\x85or say. (He\nlaughs.)'
Joey	 Ha-ha, very funny. I don\xc2\x92t know what to do! Y\xc2\x92know? Holy crud!'
Joey	 Ha-ha-ha, very funny. Look, I don\xc2\x92t know what to do! (Long pause, as\neveryone cracks up.)'
Courtney	 It is one of those days!'
Phoebe	 \xc2\x91Xcusa seniora, voulez-bere quakay\xc2\x97[Beep]\xc2\x97uck it!'
Matt	 Wow Pheebs, you-you speak gutter?'
Conan	 You still get nervous everybody just before a show?'
Matthew	 Absolutely.'
Lisa	 Everybody.'
Courtney	 It\xc2\x92s amazing like all week long we\xc2\x92ve-we\xc2\x92ve been saying\nthe same lines and then the audience is here and we will mess up, and if you mess up once,\nthen you\xc2\x92ll get nervous because you\xc2\x92ll\xc2\x97you know you\xc2\x92ll probably mess\nup again.'
The Director	 Action!'
Monica	 (holding her hand in front of her face) When you were little you slept\nthrough-through the Grand Canyon.'
The Director	 Watch again that hand.'
Courtney	 This\xc2\x92ll be five/ten takes.'
The Director	 Okay.'
Courtney	 Okay. You know it\xc2\x92s gonna happen.'
The Director	 Once again, and action!'
Monica	 (the hand\xc2\x92s still there) When-when you were little you slept\nthrough the Grand Canyon. (She actually itches her nose this time.)'
Courtney	 Oh! Okay! I\xc2\x92m gonna try it without the coffee cup \xc2\x91cause I\nthink it\xc2\x92s the left hand that\xc2\x92s messing me up.'
Monica	 When you were little you slept through the Grand\xc2\x97(Pointing\nagain)\xc2\x97Oh fffff\xc2\x85.'
Monica	 Sorry, let\xc2\x92s go back! \xc2\x91Cause you\xc2\x92ve got more to say.'
Lisa	 Do I? Absolutely. Absolutely. Yeah, that\xc2\x92s your fault. I\xc2\x85say.'
Lisa	 I love you.'
Courtney	 I love you! (They hug.)'
Conan	 But there must be, there must\xc2\x97are a lot of moments over the years\nwhere you\xc2\x92re just trying to do your job, something goes wrong.'
Joey	 Hey and, this is a little extra something for y\xc2\x92know, always being\nthere for me.'
Matthew	 Hey Joey! The camera hit our wall!'
Matt	 What?!'
David	 Ahh! Sh\xc2\x97(Beep)\xc2\x97it that hurt!'
Jennifer	 Are you okay?'
Chandler	 Hey Rach! (She breaks up and goes back into Monica\xc2\x92s.)'
Joey	 Oh yeah? Then how come I keep\xc2\x97(He notices that the marker board they\nuse has been left on the entertainment center and holds up his discovery.)'
Monica	 It was so wild! We told \xc2\x91em we were the Gunderson\xc2\x92s in\n16\xc2\x85'
Courtney	 (laughing) I spit on her!'
Jennifer	 (to Lisa) Operation. You had a fun one.'
Lisa	 Oh yeah!'
Jennifer	 With Operation.'
Conan	 It was a little game. Yeah, with an electric buzzer.'
Phoebe	 Oh-ooh, and I brought Operation, but umm I lost the umm\xc2\x85 (It\nstarts buzzing) It\xc2\x92s making a noise.'
Lisa	 But le Blanc really doesn\xc2\x92t mess up much.'
Conan	 You don\xc2\x92t verbally mess up, but sometimes physically? You mess up.'
Matt	 I have had some clumsy moments I guess you can call \xc2\x91em.'
Lisa	 He fell down once! And we re-did it and we went back. And\nhe\xc2\x97(laughs)\xc2\x97he was afraid he was gonna fall down\xc2\x85'
Conan	 You could actually see him trying not to fall down.'
Joey	 Pheebs! (He looks down as he goes down the step to make sure he\ndidn\xc2\x92t fall again.) Check it out! (He starts laughing when he realized what he did.)'
Courtney	 This particular time when he continued to fall or y\xc2\x92know, try not\nto fall, I was in the room with Matthew and Matthew was like, "Should I do it?"'
Joey	 Pheebs! Check it out! Check it out! Check it out! Check it out! (Hands her\none.)'
Phoebe	 Ooh, Soap Opera Digest!'
Conan	 Matthew, you have a reputation with the rest of the cast that sometimes\nyou like to, you like to fool around a bit. I mean like if something\xc2\x92s naturally\ngoing wrong you like to get in there and juice it a little bit. True or false?'
Matthew	 I don\xc2\x92t necessarily like to juice things\xc2\x85'
Courtney	 He said true or false!'
Joey	 Oh! Ooh-ooh!'
Monica	 What are you doing?!'
Joey	 You\xc2\x92re still a tiny bit on fire there.'
Monica	 Oh geez! Okay! Thanks!'
Richard	 It was great seeing you the other night.'
Monica	 Well, it was good to see you too. Did you come down here to tell me\nthat?'
