Photographer	 Great. (Takes a picture.) Great! Just give me a sec to change\nfilm.'
Monica	 Okay.'
Ross	 (To Monica) Okay, I know I\xc2\x92m not supposed to know, but I do. And\nI\xc2\x92m so excited for you!'
Joey	 What? What\xc2\x92s going on?'
Ross	 Monica\xc2\x92s pregnant!'
Joey	 Oh my God! Is that why you guys had to get married?!'
Monica	 Guys! I\xc2\x92m not pregnant.'
Joey	 Ah. (To Chandler) Slow swimmers? (Chandler looks at him.)'
Ross	 What?! What do you mean? You-you-you\xc2\x92re not pregnant?'
Monica	 You didn\xc2\x92t tell anybody I was did you?!'
Ross	 No! (Pause) I\xc2\x92ll be right back. (Exits.)'
Photographer	 Now why don\xc2\x92t we get a shot of just Monica and the bloody\nsoldier.'
Monica	 (To Joey) Oh, about that. Joey, you have to change before the party.'
Joey	 I can\xc2\x92t! I-I don\xc2\x92t have any other clothes here.'
Monica	 Find some! Please! Anything that doesn\xc2\x92t say I-I died tragically in\nFrance. (Joey leaves to find clothes.)'
Photographer	 Well then why don\xc2\x92t we see the bride and the groom and the\nbridemaids.'
Phoebe	 Okay. (Phoebe and Rachel join Monica and Chandler on the altar.) Hey\nMon, why did you tell the guys you weren\xc2\x92t pregnant?'
Monica	 Because I\xc2\x92m not.'
Phoebe	 We found your test in the trash, if you\xc2\x92re not pregnant\xc2\x97(She\nsees Rachel shaking her head)\xc2\x97It\xc2\x92s because I am.'
Chandler	 What?! What are you talking about?'
Monica	 What are you talking about?'
Phoebe	 Yes, I\xc2\x85I am with child. (Flash) And I didn\xc2\x92t want to say\nanything because it\xc2\x92s your day; I didn\xc2\x92t want to steal your thunder.'
Monica	 Wait a minute! So you told people I was pregnant?! (Flash) Does this\nlook like a conversation that I want to remember?!'
Chandler	 Who\xc2\x92s the father?'
Monica	 Yeah!'
Phoebe	 I can\xc2\x92t say.'
Monica	 Why?!'
Chandler	 Why not?'
Phoebe	 I can\xc2\x92t say because he\xc2\x92s famous.'
Rachel	 Oh my God, who is it?! (Phoebe rolls her eyes.)'
Monica	 Phoebe, come on, you have to tell us.'
Phoebe	 Okay, okay. It\xc2\x92s James Brolin. James Brolin is the father of my\nbaby.'
Chandler	 As in Barbara Streisand\xc2\x92s husband James Brolin?'
Phoebe	 What?! Well he never said that to me!'

Photographer	 Why don\xc2\x92t we have Monica step away and we\xc2\x92ll get\nChandler and the bridemaids.'
Phoebe	 How about just the bridemaids?'
Chandler	 Y\xc2\x92know I am the groom right? I was told it was kinda big deal.'
Phoebe	 It is.'
Rachel	 For you. (Chandler leaves.)'
Phoebe	 Oh my God!'
Rachel	 Oh, thank you for doing that. I just can\xc2\x92t deal with this just\nquite yet.'
Phoebe	 So instead you told me Monica was pregnant.'
Rachel	 You said that she was, I just didn\xc2\x92t disagree with you.'
Phoebe	 Sneaky.'
Rachel	 Oh yeah.'
Photographer	 Smile ladies.'
Rachel	 Oh! (They smile and the picture is taken.) Oh by the way?'
Phoebe	 Uh-hmm.'
Rachel	 James Brolin?'
Phoebe	 Oh, I know. I could only think of two names, him and Ed Begley Jr. and\nthen I remembered he\xc2\x92s gay.'
Rachel	 Ed Begley Jr. is not gay.'
Phoebe	 (intrigued) Really?!'
Bandleader	 Thank you very much! Ladies and gentlemen, it gives me great\npleasure to introduce to you for the very first time, Mr. and Mrs. Chandler Bing!'
Chandler	 Before we go out there I\xc2\x92ve got a present for ya.'
Monica	 Honey, I\xc2\x92m going to put my hand in your pocket!'
Chandler	 No?'
Monica	 No.'
Chandler	 I\xc2\x92ve been taking dancing lessons.'
Monica	 What?!'
Chandler	 Yeah, the last six weeks. I wanted this to be a moment you will never\nforget.'
Monica	 Oh that is so sweet!'
Chandler	 So? Would you care to join me in our first dance as husband and wife?'
Monica	 Yes.'
Monica	 What\xc2\x92s the matter?'
Chandler	 I don\xc2\x92t know, it\xc2\x92s these new shoes, they\xc2\x92re all\nslippery.'
Monica	 Well, are you going to be able to do this?'
Chandler	 Not well.'
Monica	 Well, the good news is, I don\xc2\x92t think anyone\xc2\x92s looking at us.'
Phoebe	 So, are you ready to talk about it?'
Rachel	 No.'
Phoebe	 Now?'
Rachel	 No!'
Phoebe	 Okay, we\xc2\x92ll talk about something else then.'
Rachel	 Thank you.'
Phoebe	 Who\xc2\x92s the father?!'
Rachel	 Ugh! Look honey y\xc2\x92know what? I haven\xc2\x92t told him yet, so until\nI do I don\xc2\x92t think I should tell anybody else.'
Phoebe	 Yeah. That\xc2\x92s fine. That\xc2\x92s fair. Is it Tag?'
Rachel	 Phoebe!!'
Phoebe	 Okay, I\xc2\x92m sorry. I\xc2\x92ll stop.'
Rachel	 Okay.'
Phoebe	 Is it Ross? It\xc2\x92s Ross isn\xc2\x92t it\xc2\x97Oh my God, it\xc2\x92s Joey!'
Rachel	 Honey, stop it! I am not going to tell you until I tell him.'
Phoebe	 Ah-hah! At least we know it\xc2\x92s a him.'
Monica	 (seeing him) Oh sweet Lord.'
Joey	 I\xc2\x92m sorry! Okay? I went down to the gift shop and it\xc2\x92s either\nthis or a bathrobe! Look, what\xc2\x92s more important, the way I\xc2\x92m dressed or me being\nwith you on your special day?'
Monica	 Honey, I\xc2\x92m not even going to pretend I was listening. (Sees someone\nelse.) Hey! Hey! (Goes over to that person.)'
Ross	 Hi. I\xc2\x92m uh, I\xc2\x92m Ross. I don\xc2\x92t, I don\xc2\x92t believe\nwe\xc2\x92ve met. I\xc2\x92m Monica\xc2\x92s older brother.'
Woman	 Oh hi, I\xc2\x92m, I\xc2\x92m Mona from her restaurant.'
Ross	 Oh! Hello uh, Mona from her restaurant. (He uses his card to mouth those\nwords.) (Pause) Mona, wow what a, what a beautiful name.'
Mona	 You think so? I\xc2\x92ve always kinda hated it.'
Ross	 Aw come on, Mona Lisa?'
Mona	 Uh-huh.'
Ross	 Mona umm\xc2\x85Clickclocken. The famous botanist? Huh? Oh no she\xc2\x92s\nuh\xc2\x97well she\xc2\x92s dead now. No, supposedly she was once quite the hottie of the\nplant world.'
Mona	 Really?! Well see? I never knew about her.'
Ross	 Linda Clickclocken. (Pause) So what uh, what-what table are you at? (She\nshows him.) Oh, uh me too.'
Mona	 Oh good. Now there\xc2\x92ll be someone there who likes my name.'
Ross	 (sexily) Yes there will. (Mona leaves and Ross tries to find the same\ntable.) Oh guess what, Molly Gilbert you\xc2\x92ve just been bumped up to table one. And if\nit\xc2\x92s all right with you I\xc2\x92m gonna take your place at table six\xc2\x97Martin\nClickclocken.'
Joey	 That\xc2\x92s better, now just bend your arms a little more. There you go.\nOkay, look straight ahead. Now this time I want you to really put your ass into it. (They\ndo a practice swing and she really puts her ass into it.)'
Mrs. Bing	 Chandler darling! Look, my date has finally arrived. I\xc2\x92d like\nyou to meet Dennis Phillips.'
Dennis Phillips	 Congratulations.'
Chandler	 Thank you.'
Mrs. Bing	 Dennis is a dear old friend and a fantastic lover.'
Chandler	 Bravo Dennis thanks for pleasing my mother so.'
Dennis Phillips	 Oh, I\xc2\x92m so sorry I missed the ceremony, I was stuck at\nauditions.'
Mrs. Bing	 Oh yes, Dennis is directing a new Broadway show.'
Joey	 I don\xc2\x92t believe we\xc2\x92ve met, Joey Tribbiani.'
Dennis Phillips	 Dennis Phillips'
Joey	 Wow, I\xc2\x92ve admired your work for years. You-you\xc2\x92ve done some\nreally amazing stuff.'
Dennis Phillips	 Oh, thank you. Well if you\xc2\x92ll excuse me, I\xc2\x92m gonna go\nget myself a drink. Be back in a moment. (Walks away.)'
