Rachel	 Listen y\xc2\x92know what sir? For the last time, I don\xc2\x92t care what\nthe computer says, we did not take a bag of Mashuga nuts from the mini-bar and we did not\nwatch Dr. Do-Me-A-Little!'
Joey	 (entering) Hey!'
Phoebe	 Oh! Joey uh, were you in our room last night?'
Joey	 No. (Phoebe grabs the receipt and shows it to Joey who gets mad.) I was\ntold the name of the movie would not appear on the bill!'
Chandler	 (to the front desk clerk) Hi! We\xc2\x92re checking out of the bridal\nsuite.'
Monica	 (depressed) That\xc2\x92s right. I\xc2\x92m no longer a bride. I\xc2\x92ll\nnever be a bride again. Now, I\xc2\x92m just someone\xc2\x92s wife!'
Chandler	 And I\xc2\x92m the happiest guy in the world! (Monica goes and sits down\nin a huff.) Oh honey, come on don\xc2\x92t be upset. We still have so much to look forward\nto!'
Monica	 Oh yeah, right. (Rolls her eyes.)'
Chandler	 We got the honeymoon.'
Monica	 That\xc2\x92s not \xc2\x91til Thursday.'
Chandler	 The wedding pictures?'
Monica	 They won\xc2\x92t be ready for weeks.'
Chandler	 Not the disposable cameras from the tables.'
Monica	 That\xc2\x92s true! (Happily) I knew I married you for a reason!'
Chandler	 I\xc2\x92ll tell you what, I will go get them developed and you can go\nhome.'
Monica	 Okay.'
Chandler	 What? What did you take a picture of?'
Joey	 Nothing! It was something.'
Chandler	 Okay Ross has the cameras, has he checked out yet?'
Rachel	 Are you joking? Check out is not \xc2\x91til noon and he has a good\n(checks her watch) eleven minutes left.'
Chandler	 Oh.'
Monica	 Ross has never checked out of a room a minute before he had to.'
Rachel	 Yeah, one time, when we were dating, uh we got a late checkout, he got\nso excited it was the best sex we ever had. Until y\xc2\x92know, he screamed out Radisson\nat the end.'
Chandler	 Okay, well I\xc2\x92m gonna get Ross, get the cameras, and get them\ndeveloped. (Joey laughs again.) 32 Joe. You\xc2\x92re 32! (Exits)'
Front Desk Clerk	 (To Monica) Here\xc2\x92s a copy of your bill.'
Monica	 Oh thanks. (Reading the bill) Champagne, strawberries\xc2\x85Oh my God! I\ncan\xc2\x92t believe Chandler ordered porn on our wedding night!'
Joey	 Yeah, that\xc2\x92s sad. Mashuga nut?'

Ross	 Hi.'
Chandler	 Hey. (He sees that Ross is packing all of the hotel toiletries) Soaps?\nShampoos? Are you really taking all this stuff?'
Ross	 Why not? It\xc2\x92s built into the price of the room.'
Chandler	 Yeah but you don\xc2\x92t need\xc2\x97(Picks up something)\xc2\x97What is\nthis?'
Ross	 Thread!'
Chandler	 Score! Where are the disposable cameras?'
Ross	 What disposable cameras?'
Chandler	 The cameras? Remember last night I told you to take them?'
Ross	 No you didn\xc2\x92t.'
Chandler	 Yes! Remember? Right before we cut the cake, I went up to you and I\nsaid\xc2\x85'
Ross	 Oh-oh yeah, you-you came up to me and asked if I could do you a favor, and\nmy Uncle Murray came up to you and handed you a check. And then you said, "Why do\nthey call it a check? Why not a Yugoslavian?" (Chandler laughs.) Yeah, then you did\nthat.'
Chandler	 So you don\xc2\x92t have the cameras?!'
Ross	 No. Sorry man.'
Chandler	 So? What? What? They\xc2\x92re gone! Monica\xc2\x92s gonna freak!'
Ross	 Well, I\xc2\x92m sure they\xc2\x92re still somewhere here in the hotel.\nI\xc2\x92ll-I\xc2\x92ll help you look for them.'
Chandler	 Great.'
Ross	 In-in three minutes.'
Phoebe	 Hey!'
Monica	 Hey!'
Phoebe	 Are you gonna open the presents without Chandler?'
Monica	 No! (Pause) But, they\xc2\x92re callin\xc2\x92 out to me! I mean this little\nguy (Holds up a small one) even crawled up into my lap. Oh come on, Chandler wouldn\xc2\x92t\nmind if I opened just one present! What do you think it is?'
Phoebe	 A little mirror that when you look into it you see yourself as an old\nwoman.'
Monica	 A tiny salt shaker!!!'
Phoebe	 Ohhh! My God! For tiny salt!'
Monica	 Oh wow! Okay. Well that was fun.'
Phoebe	 Oh yeah.'
Monica	 Good. Okay, I\xc2\x92m just gonna wait for Chandler to open the rest of\nthem.'
Phoebe	 Okay.'
Monica	 Whew. Although y\xc2\x92know, this is part of a salt and pepper set. I\nmean\xc2\x85 I guess y\xc2\x92know it may just count as a half a present. What do you think?'
Phoebe	 Well I guess it\xc2\x92s okay to open one more if it\xc2\x92s part of a set.\nY\xc2\x92know, it\xc2\x92s probably this one. (Grabs another small one.)'
