Chandler	 Hey! Babe! Aren\xc2\x92t you excited we\xc2\x92re going on our honeymoon?'
Monica	 Yeah I am!'
Chandler	 (singing) Bermuda, Bahama, come on pretty mama\xc2\x85'
Monica	 That\xc2\x92s right. Get it out of your system while we\xc2\x92re alone.'
Joey	 (entering with Phoebe) Hey!'
Phoebe	 Yeah! Have a great honeymoon!'
Chandler	 I\xc2\x92d better go pack.'
Monica	 Oh no, I already packed. The only thing I couldn\xc2\x92t find though was\nyour Speedo.'
Chandler	 A Speedo? Uh, I don\xc2\x92t have a Speedo. I\xc2\x92m gonna go pack my\nregular long bathing suit. (Goes into the bedroom.)'
Rachel	 (entering) Oh good you\xc2\x92re still here!'
Monica	 Hey!'
Rachel	 I want to tell you to have a good honeymoon! (Hugs Monica.)'
Monica	 Thank you.'
Rachel	 And I also wanted you guys to know that I am telling the father today.\n(They all look at her expectantly) What? What? What?'
Joey	 We know its Ross!'
Rachel	 How?! How do you know?'
Phoebe	 It was his sweater, but\xc2\x97Oh my God!'
Rachel	 Oh, I so wanted Ross to know first, but I\xc2\x92m so relieved you guys\nknow.'
Monica	 This is so great! And I\xc2\x92m gonna be your baby\xc2\x92s aunt!'
Rachel	 I know! (They hug.)'
Phoebe	 Me too! (Joins the hug.)'
Joey	 I\xc2\x92m gonna be an uncle! Come here! (He joins the hug.)'
Rachel	 (breaking the hug) You\xc2\x92re all gonna be aunts and uncles.'
Monica	 Yeah, but I\xc2\x92m the only one related by blood.'
Rachel	 Okay. Great! So now that you guys all know you can help me. Give me some\nadvice on how I\xc2\x92m gonna tell Ross!'
Monica	 Well, what were you gonna say?'
Rachel	 Well I was gonna tell him that I\xc2\x92m-I\xc2\x92m gonna have the baby and\nhe can be as involved as he wants.'
Joey	 Well that, that sounds good.'
Rachel	 Yeah but how do I start? I mean, what\xc2\x92s-what\xc2\x92s the first thing\nthat I say? (They all pause to think.) Okay great! Thanks. (She starts to leave.)'
Monica	 Hey! Good luck!'
Phoebe	 Yeah, bye.'
Joey	 Bye.'
Chandler	 (entering) Hey, what was that all about?'
Monica	 Well I guess there is no harm in telling you now, Rachel and Ross are\ngonna have a baby.'
Chandler	 (in a high pitched voice) What?! I didn\xc2\x92t even know that\xc2\x97Why\ndidn\xc2\x92t you tell me?! (Pause) Why am I talking like this?!'
Monica	 I didn\xc2\x92t think you could keep it a secret.'
Chandler	 (in the high pitched voice) What?! (Normal voice) I am an excellent\nsecret keeper. I have kept all of our secrets.'
Joey	 What secrets?'
Chandler	 Oh no-no Joey, I am not going to tell you because I am an excellent\nsecret keeper.'
Joey	 (whispering to Chandler) You\xc2\x92ll tell me later?'
Chandler	 You already know.'

Phoebe	 Oh, it's so romantic to send people off on their honeymoon."
Joey	 Y\xc2\x92know, Monica and Chandler are married. Ross and Rachel are having a\nbaby. Maybe you and I should do something.'
Phoebe	 All in good time my love. All in good time. Oh shoot! I left my guitar\nin their apartment. Well you can let me in later.'
Joey	 I don\xc2\x92t have a key, they took mine to give to you.'
