Monica	 Okay, now this one is rare, this one is medium well! Now go-go-go!\n(Phoebe enters) Hey Phoebe!'
Phoebe	 Hey!'
Monica	 Hey how was dinner?!'
Phoebe	 Dinner was good! '
Monica	 Okay!'
Phoebe	 I\xc2\x92m just saying hi! Now I\xc2\x92m gonna go! '
Monica	 Okay!'
Phoebe	 (To him) Oh, well hello there.'
Guy	 Hi.'
Phoebe	 (To Monica) I didn\xc2\x92t see this on the menu.'
Monica	 Uh Tim? This is Phoebe. Phoebe this is Tim, my new sous chef.'
Phoebe	 Oh, so you're Monica\xc2\x92s boss?"
Tim	 Actually she\xc2\x92s my-my boss. Sous is French for under.'
Phoebe	 Oh! I sous stand.'
Monica	 Hey Tim? I need a calamari and a Caesar salad. And umm, could you get me\nthe pesto?'
Tim	 Yeah.'
Phoebe	 Oh you\xc2\x85you made pesto?'
Tim	 Yes I did.'
Phoebe	 Would you say your pesto is the best-o?'
Tim	 I\xc2\x85I-I don\xc2\x92t know, but I would say it\xc2\x92s pretty good-o.\n(Phoebe laughs too hard.)'
Monica	 All right, I still need a calamari and a Caesar salad.'
Tim	 I like your necklace.'
Phoebe	 I made it myself.'
Tim	 You are so talented.'
Phoebe	 Well, it\xc2\x92s no pesto.'
Monica	 All right, all right! Let\xc2\x92s just cut to the chase, okay? (To\nPhoebe) You\xc2\x92re single. (To Tim) You\xc2\x92re single. (To Phoebe) He gets off work at\neleven. (To Tim) She\xc2\x92ll be waiting for your call. (To Phoebe) I\xc2\x92ll give him your\nnumber if I can get one calamari and one Caesar salad!! (Everyone in the kitchen stops.) I\ndid not yell. I am not putting a dollar in the jar.'

Mr. Franklin	 Wow Bing! Burning the midnight oil.'
Chandler	 You know me sir. Oh ah, I do have a question for ya. Do you know how I\nget around the office computer network so I can access the really good Internet porn?'
Mr. Franklin	 You\xc2\x92re a joker Bing. (Walks away.)'
Chandler	 What\xc2\x92s funny about that?'
Ross	 (running up) Hey! Sorry I kept you waiting so long.'
Chandler	 Hey that\xc2\x92s okay. So, where do you want to go?'
Ross	 Oh ah, I think you know where I want to go.'
Chandler	 The Hard Rock Caf\xc3\xa9?'
Ross	 Yeah!'
Chandler	 Again?!'
Ross	 Yeah!!'
Ross	 I\xc2\x92m telling you, I like the food!'
Chandler	 You like the Purple Rain display! (A guy walks up.) Hey Bob.'
Bob	 Hey Toby! Have a good night. (Walks by.)'
Ross	 Did that guy just call you Toby?'
Chandler	 Yeah, he thinks that\xc2\x92s my name.'
Ross	 Well, why don\xc2\x92t you correct him?'
Chandler	 Oh it\xc2\x92s been going on way to long now. Y\xc2\x92know, I mean the\nfirst time he said it we were just passing each other in the hallway, so I didn\xc2\x92t say\nanything. And then the next time he said, "Hey Toby, do you want a donut?" And\nI-I wanted a donut. And now it\xc2\x92s five years later, the donut\xc2\x92s gone and I\xc2\x92m\nstill Toby.'
Ross	 Five years?! Chandler you have to tell him!'
Chandler	 No! That would be so awkward! Look\xc2\x97Besides, we work in different\ndepartments. He\xc2\x92s on the sixth floor y\xc2\x92know? So he calls me Toby once in a\nwhile. What\xc2\x92s the big deal? It could be worse, it\xc2\x92s not like he\xc2\x92s calling\nme Muriel. (Chandler suddenly freezes into place.)'
Ross	 (laughs) Muriel. Wh-why would he call you Muriel? (Ross realizes\nsomething.) Oh my God! Chandler M Bing? It\xc2\x92s not just an M, your middle name\nis Muriel!!'
Chandler	 Shh! It is a family name!'
Ross	 Chandler Muriel Bing. Boy, your parents never gave you a chance did they?'
