Monica	 Hey you guys?'
Ross	 What?'
Monica	 I know it\xc2\x92s last minute, but we decided to have a Halloween party.'
Phoebe	 Oh good! (And there\xc2\x92s general excitement.)'
Monica	 And everybody has to wear costumes. (And there\xc2\x92s general\ndisconcertment.) Come on! It\xc2\x92ll be fun!'
Ross	 Well, I\xc2\x92ll-I\xc2\x92ll be there. I mean I have to wear a costume to all\nmy classes that day anyway so\xc2\x85'
Rachel	 Please tell me you\xc2\x92re not gonna dress up like a dinosaur.'
Ross	 (exhales sarcastically) Not two years in a row.'
Joey	 Look, I\xc2\x92ll come to the party but I\xc2\x92m not dressing up.'
Monica	 You have to!'
Joey	 No way! Look, Halloween is so stupid! Dressing up, pretending to be\nsomeone you\xc2\x92re not\xc2\x85'
Chandler	 You\xc2\x92re an actor!'
Monica	 So Ross, are you gonna bring Mona?'
Ross	 Yeah. Yeah, I think I will.'
Joey	 That hot girl from their wedding?'
Ross	 Yeah.'
Joey	 Well hey-hey if she needs any idea for costumes, she could be a bikini\nmodel, or a slutty nurse, or a sexy cheerleader huh\xc2\x97Ooh-ooh, Leatherface from The\nTexas Chainsaw Massacre\xc2\x97No-no-no! Slutty Leatherface.'
Phoebe	 Now wasn\xc2\x92t Joey hitting on her at the wedding too?'
Ross	 That\xc2\x92s right! He was hitting on her, and I got her. I guess\nthe better man won. (To Joey) Please don\xc2\x92t take her from me.'

Phoebe	 Ursula! (Ursula turns, smiles, and continues walking.) Wait! Err-err,\nit\xc2\x92s me! Phoebe!'
Ursula	 Oh, I thought there was a mirror there. Okay, bye-bye. (Starts to walk\nagain.)'
Phoebe	 Wait a second! So, what\xc2\x92s new with you?'
Ursula	 Umm, nothing. I mean, I\xc2\x92m getting married next week.'
Phoebe	 What?!'
Ursula	 Yeah! Yeah, it\xc2\x92s gonna be a small ceremony. Just family. (Phoebe\nlooks at her.) His.'
Phoebe	 Huh. Okay. Well, I\xc2\x92m really happy for you. (Starts to walk away.)'
Ursula	 Wait! If umm, if you want to come, I guess that\xc2\x92d be okay.'
Phoebe	 Really?'
Ursula	 Sure! Why not? You could be my sister for the day.'
Phoebe	 Yeah. Okay. Umm, y\xc2\x92know, my friends are having a Halloween party\ntonight at my old apartment so, you could come. Maybe I could meet the guy you\xc2\x92re\nmarrying.'
Ursula	 Huh. Well, I\xc2\x92m supposed to be working at the restaurant tonight.\nI\xc2\x92m supposed to be working right now, so who cares.'
Phoebe	 By the way, it\xc2\x92s a costume party.'
Ursula	 Oh! Okay, so that\xc2\x92s why you\xc2\x92re\xc2\x85 (Motions to what\nshe\xc2\x92s wearing.)'
Phoebe	 (looks down) No. But thanks. (Walks away.)'
Rachel	 Hi!'
Monica	 Wait! You\xc2\x92re supposed to wear a costume!'
Rachel	 I am! I am a woman who spent a lot of money on a dress and she wants to\nwear it, because soon she won\xc2\x92t be able to fit into it.'
Monica	 Oh. '
Rachel	 Ahh!'
Monica	 I\xc2\x92m Catwoman, who wants to borrow the dress when you\xc2\x92re too\nbig for it.'
Rachel	 Okay.'
Kids	 Trick or treat!'
Rachel	 Oh! Oh! Can I give out the candy? I really want to be with the kids\nright now. Y\xc2\x92know, ever since I got pregnant I-I have the strongest maternal\ninstincts.'
Kids	 Trick or treat!!'
Rachel	 (to them) Just a minute!!! (She takes the candy and opens the door to\ntwo parents, a witch, a clown, and a cowgirl.) Look at you guys! Wow! You are a very scary\nwitch. (Gives her candy.)'
Witch	 Thank you.'
