Monica	 Hey.'
Chandler	 Hey.'
Monica	 Oh my God! You cleaned! (Gasps) Look at these floors! You did the\nwindows! Oh, I have been begging you for months and you did! You cleaned! And nagging\nworks!'
Chandler	 Y\xc2\x92know uh, I didn\xc2\x92t actually do this.'
Monica	 Oh no, was I cleaning in my sleep again?'
Chandler	 No, it wasn\xc2\x92t you.'
Monica	 Well then who?'
Chandler	 I got a maid. Yay!'
Monica	 (shocked) I hope by maid you mean mistress, because if some other woman\nwas here cleaning then\xc2\x85'
Chandler	 Uh honey, I know you don\xc2\x92t like to relinquish control\xc2\x85'
Monica	 Oh, relinquish is just a fancy word for lose!'
Chandler	 Look, she\xc2\x92s really nice. Okay? And she mentioned that she adored\nthe way that you arranged the sponges.'
Monica	 Did she really say that?'
Chandler	 Yes, I distinctly remember \xc2\x91cause I thought it was a joke. Now\njust give her a chance, okay?'
Monica	 Fine, I can do it. (Gets anxious.) Whew.'
Chandler	 What\xc2\x92s the matter?'
Monica	 Well, usually when I\xc2\x92m this anxious, I clean!'

Phoebe	 (looking around) Who\xc2\x92s cell phone is that? It\xc2\x92s just so\nannoying; everywhere you go.'
Ross	 I think it\xc2\x92s coming from your bag.'
Phoebe	 (checks) I never get calls!! (Answers the phone) Hello?'
Eric	 Hi, it\xc2\x92s Eric. From the Halloween party, Ursula\xc2\x92s fianc\xc3\xa9e. '
Phoebe	 Oh my God Eric hi! Wait, how\xc2\x92d you get this number?'
Eric	 Oh, I have a friend who\xc2\x92s a cop and he got it for me.'
Phoebe	 Wow! What an incredible violation\xc2\x97and wonderful surprise.'
Eric	 Uh listen, I just\xc2\x97I thought you should know I broke up with Ursula.'
Phoebe	 Oh you did? (To Rachel) He did it! He did it!'
Rachel	 Wow! What did he do?'
Phoebe	 Shhh! I\xc2\x92m talking.'
Eric	 Anyway, I was wondering if, you were the sort of person who\xc2\x85eats\nlunch.'
Phoebe	 Are you asking me out? \xc2\x91Cause it would be kinda weird since you\njust broke up with my sister.'
Eric	 Yeah uh\xc2\x85okay. I\xc2\x92m-I\xc2\x92m sorry. Bye.'
Phoebe	 No! Wait! I was just saying that so you\xc2\x92d think I was a good\nperson. Fight for me.'
Eric	 Uhh, I won\xc2\x92t take no for an answer.'
Phoebe	 Not great, but we can work on it at lunch. Okay, I can be at your\napartment in two hours.'
Eric	 Great! But wh-wh\xc2\x97How do you know where I live?'
Phoebe	 I\xc2\x92ve got friends too. Okay, bye.'
Eric	 Bye.'
Phoebe	 Oh my God! I\xc2\x92m going out with Eric! Ooh, this day is really gonna\nbe so much better than I thought it was gonna be. Oh Ross, I can\xc2\x92t make lunch.\n(Exits.)'
Ross	 So apparently I\xc2\x92m available for lunch.'
Rachel	 I can\xc2\x92t. I\xc2\x92m busy. I\xc2\x92m apartment hunting.'
Ross	 You\xc2\x92re moving?'
Rachel	 Yeah, I can\xc2\x92t live with Joey once the baby comes. I don\xc2\x92t want\nmy child\xc2\x92s first words to be, (in a baby\xc2\x92s voice) "How you\ndoin\xc2\x92?"'
Ross	 So does-does Joey know you\xc2\x92re moving?'
