Rachel	 (coming from the bathroom) Hey Pheebs?'
Phoebe	 Huh?'
Rachel	 I\xc2\x92m having dinner with my dad tomorrow night, do you wanna come?'
Phoebe	 Sure. Yeah, he\xc2\x92s kinda sexy.'
Rachel	 Oh no, no, I\xc2\x92ll be there too.'
Phoebe	 Okay so, we\xc2\x92ll just come up with some kind of signal if it\xc2\x92s\ngoing well you can take off.'
Rachel	 No Phoebe! I just need you there for support. I haven\xc2\x92t told him\nI\xc2\x92m pregnant yet.'
Phoebe	 Oh. Why not?'
Rachel	 \xc2\x91Cause I know he\xc2\x92s gonna flip out and I hate it when he\xc2\x92s\nangry.'
Phoebe	 Oh Rachel, this is all so \xc2\x91Papa don\xc2\x92t preach.\xc2\x92'
Rachel	 What Phoebe? Wait! One time he caught me smoking he said if he ever saw\nme doing that again he\xc2\x92d make me eat the entire pack.'
Phoebe	 Wow! Oh well, I will be there! '
Rachel	 Thank you.'
Phoebe	 Gosh. I\xc2\x92m not gonna let that man make you eat your baby. (They both\nsit down by the rest of the gang and Phoebe recognizes a man by the window.) Oh. Hey! Who\nis that guy? I think I know him.'
Monica	 (recognizing him and panicking) No you don\xc2\x92t!'
Rachel	 (panicking) No you don\xc2\x92t.'
Phoebe	 Oh my God!!! Monica!! He\xc2\x92s the stripper from your bachelorette\nparty!!'
Chandler	 Her what?!!'
Phoebe	 Your secret bachelorette party\xc2\x85'
Chandler	 You had a bachelorette party?!'
Phoebe	 She untied his G-string with her teeth. (Pause) Somebody stop me!'
Chandler	 I thought we weren\xc2\x92t gonna have bachelor/bachelorette parties!\nY\xc2\x92know, we agreed that it was a silly tradition.'
Joey	 It\xc2\x92s a grand tradition!'
Monica	 I\xc2\x92m sorry, they surprised me. There was nothing I could do!'
Rachel	 Well you could\xc2\x92ve untied it with your hands.'
Joey	 This is so unfair! The one thing I wanted to do was throw my best friend a\nbachelor party, but no, I wasn\xc2\x92t allowed to. All I got was a stupid steak dinner!'
Chandler	 You went home with the waitress.'
Joey	 Oh yeah, that was a pretty good night.'
Chandler	 I can\xc2\x92t believe you didn\xc2\x92t tell me! You know that the\ntwo pillars of marriage are openness and honesty!'
Monica	 Ugh, I knew giving you that book was gonna come back and bite me\nin the ass!'

Dr. Green	 How about I order everyone the Moroccan chicken?'
Phoebe	 Oh, I-I don\xc2\x92t eat meat.'
Dr. Green	 It\xc2\x92s chicken.'
Phoebe	 Yeah, I don\xc2\x92t eat that either.'
Dr. Green	 I\xc2\x92ll never understand you lesbians. (To Rachel) So baby, tell\nme\xc2\x85what is new with you.'
Rachel	 Well actually umm\xc2\x85'
Waiter	 (interrupting) Your \xc2\x9274 Lafite sir.'
Dr. Green	 \xc2\x9274?! I ordered the \xc2\x9275! That\xc2\x92s a magnificent wine!\nThe \xc2\x9274 is sewage! Why would you bring me sewage?! (The waiter\xc2\x92s dumbfounded) Is\nthat a hard question? Are you an idiot? Is that why you\xc2\x92re a waiter?'
Waiter	 This is why I told the manager I wouldn\xc2\x92t wait on you tonight!\n(Runs off.)'
Dr. Green	 Oh come on! Don\xc2\x92t be such a baby! (Goes after him)'
Rachel	 (To Phoebe) In case you didn\xc2\x92t notice, that is a scary man.'
Phoebe	 He\xc2\x92s right though, the \xc2\x9274 is absolute piss.'
Rachel	 This was such a huge mistake. I can\xc2\x92t tell him Phoebe. I\ncan\xc2\x92t, I can\xc2\x92t, I can\xc2\x92t, I can\xc2\x92t\xc2\x85'
Phoebe	 Rachel!'
Rachel	 No it\xc2\x92s okay, this is what\xc2\x92s gonna happen. I\xc2\x92m gonna wait\na couple years and then the baby will tell him.'
Phoebe	 Why, so he can get mad at the baby?'
Rachel	 Hey, that is the\xc2\x85baby\xc2\x92s problem. (Dr. Green returns.) Oh,\neverything okay with the waiter?'
Dr. Green	 I have no idea, I went to the bathroom. So sweetie, you were starting\nto tell me what is uh, what is new with you.'
Rachel	 Well\xc2\x85 Umm, I got TiVo.'
Dr. Green	 What\xc2\x92s TiVo?'
