Joey	 Hey Rach listen, did you know that during pregnancy your fingers swell up\nto twice their size and never go back.'
Rachel	 (looking at her fingers) Oh my\xc2\x85God! Let me see that! (Grabs the\nbook from him.)'
Joey	 (laughing) You fall for it every time!'
Phoebe	 (entering) Hey!'
Rachel	 Hi!'
Phoebe	 I brought you my old maternity clothes! (Sets a bag on the counter.)'
Rachel	 Oh Pheebs that\xc2\x92s so sweet\xc2\x97(Grabs a pair of pants)\xc2\x97Ooh,\nthose are so cute!'
Phoebe	 Yeah! And look, (Grabs the pants) see how they expand as the baby grows?\n(There\xc2\x92s a stretchy part in front.) And then after the baby\xc2\x92s born, they\xc2\x92re\ngreat for shoplifting melons.'
Monica	 (entering) Oh good you\xc2\x92re all here. Thanksgiving tomorrow, four\no\xc2\x92clock. (To Rachel) Oh, guess who I invited. Remember that guy Will Colbert from\nhigh school?'
Rachel	 No.'
Monica	 He was in Ross\xc2\x92s class\xc2\x85marching band\xc2\x85kinda overweight?\nWell, really overweight. I mean I was his thin friend.'
Rachel	 Wow! I don\xc2\x92t remember him. Honey, are you sure you\xc2\x92re not\ntalking about your imaginary boyfriend.'
Monica	 No that was Jarred! Wow! I haven\xc2\x92t thought about him in a long\ntime\xc2\x85 (Stares off into the distance lost in thought.) (Pause) Anyway, umm\nWill\xc2\x92s, Will\xc2\x92s here on business and he didn\xc2\x92t have a place to go so I\ninvited him here.'
Rachel	 Oh that\xc2\x92s nice.'
Monica	 Oh, and by the way, he\xc2\x92s lost a bunch of weight. I mean he looks\ngoo-ood! Okay, I mean really, really gorgeous! (Joey clears his throat.) I still\nlove Chandler.'
Joey	 I just want you to say it once in a while.'
Monica	 All right okay, just so you know, I\xc2\x92m not gonna make a turkey this\nyear.'
Joey	 What?!'
Monica	 Well Phoebe doesn\xc2\x92t eat turkey\xc2\x85'
Joey	 Phoebe!'
Phoebe	 Turkey\xc2\x92s are beautiful, intelligent animals!'
Joey	 No they\xc2\x92re not! They\xc2\x92re ugly and stupid and delicious!'
Monica	 All right! Okay, it\xc2\x92s just Phoebe. Will\xc2\x92s still on a diet,\nChandler doesn\xc2\x92t eat Thanksgiving food, and Rachel\xc2\x92s having her aversion to\npoultry.'
Joey	 She is?'
Rachel	 Remember I had to leave the room the other day when you had that roast\nchicken?'
Joey	 Yeah. But I thought that was because I put the whole thing on my hand and\nmade it walk across the table.'
Monica	 Anyway, it just doesn\xc2\x92t seem worth it to make a whole turkey for\njust three people. Okay? It\xc2\x92s a lot of work.'
Joey	 But you gotta have turkey on Thanksgiving! I mean, Thanksgiving with no\nturkey is like-like Fourth of July with no apple pie! Or Friday with no two pizzas!'
Monica	 All right fine! If it means that much to you! But just\xc2\x97there\xc2\x92s\ngonna be a ton left over.'
Joey	 No there won\xc2\x92t! I promise I will finish that turkey!'
Monica	 All right, you\xc2\x92re telling me you can eat an entire turkey in just\none sitting?'
Joey	 That\xc2\x92s right! \xc2\x91Cause I\xc2\x92m a Tribbiani! (To Rachel) And this\nis what we do! I mean we may not be great thinkers or world leaders, we don\xc2\x92t read a\nlot or run very fast, but damnit! We can eat!'

Monica	 Hey, isn\xc2\x92t weird to think about how next year at this time\nthey\xc2\x92ll be a little baby at the table? (Chandler turns around in horror.) (Seeing\nhim) Rachel\xc2\x92s! But good to know where you\xc2\x92re at!'
Phoebe	 (entering) Hey!'
Monica	 Hey!'
Phoebe	 Happy Thanksgiving!'
Monica	 You too!'
Phoebe	 Anything I can do to help?'
Monica	 Actually there is. Chandler usually helps me with this, but he\xc2\x92s\nreally into the game so I don\xc2\x92t want to bother him. Could you help me fold these\nnapkins? (Hands her a stack of them.)'
Phoebe	 Sure!'
Monica	 I\xc2\x92m gonna go across the hall to check on the yams.'
Phoebe	 Okay. (She starts folding the napkins in half.)'
Monica	 No! No! No! No sweetie! No! Not like that! We\xc2\x92re not at a barn\ndance. You\xc2\x92ve gotta\xc2\x97you wanna fold them like swans. Like I showed you at\nChristmas time, remember?'
Phoebe	 Yeah, it all just came screaming back to me. (Monica exits.) (To\nChandler) So how\xc2\x92s the game?'
Chandler	 I have no idea.'
Phoebe	 What?'
Chandler	 Yeah! I\xc2\x92m just pretending to watch the game so I don\xc2\x92t have\nto help out with stuff.'
Phoebe	 I don\xc2\x92t believe you! That is\xc2\x85brilliant! And Monica has no\nidea?'
Chandler	 Nope! Every once and a while I just scream stuff at the TV. '
Monica	 Is your team winning hon?'
Chandler	 Yeah! Anderson just scored again! (To Phoebe) There\xc2\x92s no\nAnderson.'
Phoebe	 Well I want to get in on this. Hey Mon? I don\xc2\x92t think I can help\nyou after all, I didn\xc2\x92t realize this game was on.'
Monica	 Oh, I didn\xc2\x92t know you liked football.'
Phoebe	 Well normally I don\xc2\x92t, but y\xc2\x92know\xc2\x85(looks at the\nTV)\xc2\x85Green Bay is playing.'
Monica	 You like Green Bay?'
Phoebe	 Well it\xc2\x92s only like my favorite bay! {Actually, it\xc2\x92s not bad.\nIt just gets a little cold in winter, but in Wisconsin winter only lasts from August to\nJune. J }'
Monica	 Hey!'
Will	 Hey!'
Will	 Happy Thanksgiving!'
Monica	 Aww thanks! God Will I\xc2\x92m so glad that you came! You look great! You\nmust\xc2\x92ve lost like\xc2\x85'
Will	 150 pounds. Yeah, I\xc2\x92m gonna be in one of those Subway sandwich\ncommercials.'
Monica	 A pie! (Will brought a pie.)'
Will	 Oh right. All right, it\xc2\x92s no fat, it\xc2\x92s no sugar, it\xc2\x92s no\ndairy\xc2\x85it\xc2\x92s no good. Throw it out.'
Monica	 You wanna meet some people? This is uh; this is my husband Chandler.\nChandler, this is Will.'
Will	 Hey.'
Chandler	 Oh hey. I\xc2\x92d shake your hand but uh; I\xc2\x92m really into the\ngame. Plus, I think it\xc2\x92d be better for my ego if we didn\xc2\x92t stand right next to\neach other.'
Monica	 This is Phoebe.'
Phoebe	 (nonchalantly glancing) Hey. (Turns back around.) Wow! (Looks up.) Well\ndone.'
Monica	 (to Will) Wanna give me a hand?'
Will	 Sure! Monica, I can\xc2\x92t get over how great you look! You look stunning!'
Monica	 Well you look incredible too! You\xc2\x92re just\xc2\x97you\xc2\x92re so fit!'
