Rachel	 Phoebe?'
Phoebe	 Yeah?'
Rachel	 Look at that guy by the window, wow!'
Phoebe	 He\xc2\x92s awfully short and I think he\xc2\x92s talking to himself. And to\r\r\nbe completely honest, he\xc2\x92s not that good in bed.'
Rachel	 Oh, what is wrong with me lately? I mean it\xc2\x92s like every guy I\r\r\nsee\xc2\x97I mean look here. (Points behind them) Look at that guy for example, I mean\r\r\nnormally that\xc2\x92s not someone I would-would be attracted to, but right now, with the\r\r\nway I\xc2\x92m feeling, all I want to do is rip off his sweatpants and fanny pack.'
Phoebe	 Wait a second! This is about the fourth month of your pregnancy, right?'
Rachel	 Yeah.'
Phoebe	 This is completely normal, around the fourth month your hormones start\r\r\ngoing crazy.'
Rachel	 Really?! So this has happened to you?'
Phoebe	 Oh absolutely yeah! Oh and keep in mind, now, I was carrying triplets so\r\r\nin, y\xc2\x92know, medical terms I was-I was thrice as randy.'
Rachel	 Wow! This explains so much! Last weekend, I went from store to store\r\r\nsitting on Santa\xc2\x92s lap.'
Phoebe	 Yeah. Yeah, I remember trying to steal a cardboard cutout of Evander\r\r\nHolyfield from a Foot Locker.'
Rachel	 Ah.'
Phoebe	 Yeah.'
Rachel	 Well, y\xc2\x92know what? I go see my doctor tomorrow, I\xc2\x92ll ask her\r\r\nabout this. Maybe she can give me a pill or something.'
Phoebe	 Yeah. Yeah, that\xc2\x92s what you need a good\xc2\x85pill.'

Mona	 Hey! (To Joey) Hey!'
Ross	 Hi!'
Mona	 Hi! Look! I got our pictures developed from Rockefeller Center.'
Ross	 Oh great! Hey-hey Joey, do you want to check out pictures of me and Mona\r\r\nice skating?'
Joey	 Oh uh, ordinarily I would love too, but I am just swamped right now.\r\r\n(Brushes something off of his shirt and looks around, but doesn\xc2\x92t move from his\r\r\nchair.)'
Ross	 Hey where-where are the pictures that creepy pretzel vendor took of us\r\r\ntogether?'
Mona	 Oh yeah, probably at the end. (Flips to the end.) Oh my God! He only took\r\r\npictures of my breasts!'
Joey	 I\xc2\x92m missin\xc2\x92 picture time?! (Jumps over to look, Ross glares at\r\r\nhim and he retreats.)'
Phoebe	 (sitting down next to Ross) Y\xc2\x92know she has a face Ross!'
Mona	 Okay. Okay, here\xc2\x92s a good one of us.'
Ross	 Wow! That is a good one! Wow, it looks like a, like a holiday card\r\r\ny\xc2\x92know, with the tree in the middle and the skaters and the snow.'
Mona	 Y\xc2\x92know, every year I say I\xc2\x92m gonna send out holiday cards and I\r\r\nnever do it. Do you wanna, do you wanna send this one out together?'
Ross	 (pause) Together? Like-like to people?'
Mona	 Yeah, y\xc2\x92know. Happy holidays from Mona and Ross. It\xc2\x92ll be cute,\r\r\nokay?'
Ross	 Okay. (Not happy about it.)'
Mona	 Oh, I gotta get to work. So call me later?'
Ross	 Uh sure, sure.'
Mona	 Bye guys.'
Phoebe	 Bye.'
Joey	 (To Ross) Congratulations! You just got married!'
Ross	 I know. Can you believe that?'
Phoebe	 Wait, I\xc2\x92m-I\xc2\x92m sorry. What\xc2\x92s the big deal about a holiday\r\r\ncard?'
Ross	 Married couples send out cards, families send out cards, people who have\r\r\nbeen dating for a couple of months do not send out cards! What-what is she crazy?!'
Joey	 Hey-hey-hey, hey that\xc2\x92s your wife you\xc2\x92re talking about!'
Doug	 Bing! Ho! And the Bing-ette!'
Chandler	 Honey, you remember my boss Doug right?'
Monica	 Yes, hi.'
Doug	 Hi. So good news, the divorce is final. I signed the papers this A.M.'
Chandler	 I didn\xc2\x92t know you and Carol were getting divorced, I\xc2\x92m\r\r\nsorry.'
Doug	 Sorry? Finally chewed my leg out of that bear trap. Hey, congratulations\r\r\nto you guys though!'
Monica	 No leg-chewing for us sir.'
Doug	 Oh well, give it time. So the divorce, the marriage, we\xc2\x92ve got a lot\r\r\nto celebrate. How about we all go out to dinner tomorrow night?'
Monica	 I can\xc2\x92t think of anything we\xc2\x92re doing. (Quietly) Why\r\r\ncan\xc2\x92t I think of anything we\xc2\x92re doing?'
Doug	 Tomorrow night it is then, I should be out of court by six. They keep\r\r\nthrowing these sexual harassment cases at me and I keep knocking them out of the park!'
Monica	 Okay, I\xc2\x92ll see you tomorrow! (Doug exits.) Just so you know,\r\r\nwe\xc2\x92re not seeing him tomorrow. (Chandler wonders why.) I-I cannot spend another\r\r\nevening with that man. Do you remember how he behaved at our wedding?'
Chandler	 No.'
Monica	 That\xc2\x92s because he wasn\xc2\x92t invited because of the way he behaved\r\r\nat our engagement party.'
Chandler	 Oh yeah. Boy, urine cuts right through an ice sculpture\r\r\ndoesn\xc2\x92t it?'
Mona	 Hi!'
Ross	 Hey!'
Mona	 Hey, I went by the photo shop, take a look, here is a mockup of our card.\r\r\nWhat do you think?'
Ross	 Huh. Wow, this is great.'
Mona	 Now, do you think it should say, "Love Ross and Mona?"'
Ross	 Well, we-we haven\xc2\x92t said that to each other yet, but I guess its okay\r\r\nto say it to other people.'
Mona	 How many did you want? I\xc2\x92m getting a hundred.'
Ross	 A hundred?! Well, I-I guess I\xc2\x92ll take a\xc2\x97Mona, uh\xc2\x85I-I\xc2\x92m\r\r\nnot sure about the whole uh, card thing.'
Mona	 Really? Why not?'
Ross	 Sending out a holiday card, together, I mean I just don\xc2\x92t know if\r\r\nwe\xc2\x92re really quite there yet.'
Mona	 Oh y\xc2\x92know, I didn\xc2\x92t think of it that way. You\xc2\x92re right.\r\r\nYou\xc2\x92re right. So, can I ask you a question? '
Ross	 Yeah.'
Mona	 Where are we?'
Ross	 Huh.'
Mona	 Y\xc2\x92know, like where are we? Where is this relationship going?'
Ross	 Hmm\xc2\x85'
Mona	 I mean I love spending time with you, y\xc2\x92know I just\xc2\x97I hope\r\r\nwe\xc2\x92re moving forward. I mean, we should probably talk about that. Don\xc2\x92t you\r\r\nthink?'
Ross	 Let\xc2\x92s do the card!'
Mona	 What?'
Ross	 The card! I think we\xc2\x92re there!'
Mona	 Okay. I\xc2\x97But I think we should still have this conversation.'
Ross	 Really?! I mean, even with the card?'
Nurse	 Hi!'
Rachel	 Hi!'
Nurse	 Just so you know, Dr. Long can\xc2\x92t be here today, she was called to\r\r\nthe hospital, so Dr. Schiff will be seeing you.'
