Phoebe	 Hey! I got you a present!!'
Chandler	 Oh my goodness! Where did you hide it?'
Phoebe	 I got it for your wedding and I ordered it weeks ago, and it finally got\r\r\nhere!'
Chandler	 Pheebs you didn\xc2\x92t have to get us anything for our wedding you\r\r\nalready sang\xc2\x85'
Monica	 (interrupting) I love it! It\xc2\x92s huge!! Let\xc2\x92s open it! Open it!!\r\r\n(Monica rips open the paper.)'
Phoebe	 It\xc2\x92s a Ms. Pac-Man machine!!'
Monica	 Oh my God!'
Phoebe	 I didn\xc2\x92t know where to put it so I just left it here for now.'
Monica	 Oh well, maybe we can put it in the guest bedroom.'
Chandler	 Oh, okay. '
Monica	 All right. (He goes to push it and it doesn\xc2\x92t move.)'
Chandler	 I kinda like it here.'
Phoebe	 Do you really like it?'
Monica	 Are you kidding?! I practically spent my entire childhood at the arcade!\r\r\nThis is like\xc2\x97Oh my, this is like my second favorite game!'
Phoebe	 Oh really? What was your first?'
Monica	 Well I-I really don\xc2\x92t remember the name of it.'
Chandler	 Well what did it do?'
Monica	 Well, you just\xc2\x97you put a quarter in and y\xc2\x92know pull-pull some\r\r\nhandles and win like a candy bar or something.'
Chandler	 A vending machine?'
Monica	 Don\xc2\x92t feel bad for me! I won like every time!'

Ross	 Hey! Oh, I\xc2\x92m so glad you guys are here. I\xc2\x92ve been dying to tell\r\r\nsomeone what happened in the Paleontology department today.'
Joey	 (To Rachel) Do you think he saw us or can we still sneak out?'
Ross	 Professor Neuman, the head of the department, so\xc2\x85.'
Rachel	 They made you head of the department!'
Ross	 No, I get to teach one of his advanced classes! (Pause) Why didn\xc2\x92t I\r\r\nget head of the department? (Goes and gets some coffee.)'
Joey	 Oh! Hey Rach, listen umm\xc2\x85'
Rachel	 Yeah.'
Joey	 I got a big date coming up, do you know a good restaurant?'
Rachel	 Uh, Paul\xc2\x92s Caf\xc3\xa9. They got great food and it\xc2\x92s really\r\r\nromantic.'
Joey	 Ooh, great! Thanks!'
Rachel	 Yeah! Oh, and then afterwards you can take her to the Four Seasons\r\r\nfor drinks. Or you go downtown and listen to some jazz. Or dancing\xc2\x97Oh! Take her\r\r\ndancing!'
Joey	 You sure are naming a lot of ways to postpone sex, I\xc2\x92ll tell ya\xc2\x85'
Rachel	 Ooh, I miss dating. Gettin\xc2\x92 all dressed up and going to a fancy\r\r\nrestaurant. I\xc2\x92m not gonna be able to do that for so long, and it\xc2\x92s so much fun!\r\r\nI mean not that sitting at home worrying about giving birth to a sixteen pound baby is not\r\r\nfun.'
Joey	 Hey, y\xc2\x92know what?'
Rachel	 Huh?'
Joey	 Why don\xc2\x92t I take you out?'
Rachel	 What?! Joey, you don\xc2\x92t want to go on a date with a pregnant lady.'
Joey	 Yes I do! And we\xc2\x92re gonna go out, we\xc2\x92re gonna have a good time,\r\r\nand take your mind off of childbirth and c-sections and-and giant baby heads stretching\r\r\nout\xc2\x85'
Rachel	 (interrupting) Okay! I\xc2\x92ll go with ya! I\xc2\x92ll go! I\xc2\x92ll go\r\r\nwith ya.'
Joey	 I\xc2\x92ll be fun.'
Rachel	 All right?'
Phoebe	 No. No! Yes! Ahh. Oh, would you look at that Monica? I just knocked off\r\r\nall of your top scores, how sad.'
Monica	 Okay, I\xc2\x92m next. (Phoebe starts another game.) Don\xc2\x92t!\r\r\nDon\xc2\x92t start another game! I said I\xc2\x92m next! Phoebe!'
Phoebe	 Oh, I\xc2\x92m sorry. I didn\xc2\x92t hear you over all the winning.'
Monica	 Chandler! Phoebe\xc2\x92s hogging the game!'
Chandler	 Who cares? It\xc2\x92s a stupid game.'
Monica	 You only think it\xc2\x92s stupid because you suck at it.'
Chandler	 I don\xc2\x92t suck. It\xc2\x92s sucks. You suck.'
Phoebe	 Wait okay, if this game is gonna cause problems between the two of you,\r\r\nthen maybe I should just keep it.'
Monica	 No! No-no! I love it! It is a great present! In fact, why don\xc2\x92t you\r\r\ngo home and wait for the thank you card?'
Chandler	 Why do you want to play this game so bad?'
Phoebe	 Yeah! It\xc2\x92s not like it spits out a Clark bar after every\r\r\ngame.'
Monica	 Okay. Phoebe that\xc2\x92s it. Come on, get out\xc2\x97out of the chair. Get\r\r\nout! (She goes to move Phoebe, but Phoebe goes limp and Monica can\xc2\x92t move her.) Oh\r\r\ncome\xc2\x85Phoebe!'
Rachel	 Joey? Could you get that? (There is no answer and she goes and opens the\r\r\ndoor to Joey.) What are you doing here? I thought you were in your room?'
Joey	 No, I\xc2\x92m picking you up for our date. These are for you. (Hands her\r\r\nsome flowers.)'
Rachel	 Ohh, Lilies. Joey, they\xc2\x92re my favorite. Thank you.'
