Monica	 (opens the door wearing a robe, but leaves the chain on) Hey,\nwhat\xc2\x92s up?'
Phoebe	 Well, I left my guitar here again.'
Monica	 Oh, okay. No problem.'
Phoebe	 Okay. (Monica closes the door, gets the guitar, and then hands it out.)'
Monica	 Okay.'
Phoebe	 Oh.'
Monica	 Here you go.'
Phoebe	 Okay. '
Monica	 Okay.'
Phoebe	 Great! Umm\xc2\x85(Monica closes the door again and Phoebe knocks again.)'
Monica	 What?!'
Phoebe	 So do you want to hang out or something?'
Monica	 Phoebe! You kinda caught me at a bad time.'
Phoebe	 Oh are you and Chandler\xc2\x85'
Monica	 Yes! Exactly.'
Phoebe	 Okay. Do you guys want me to play for you?'
Monica	 (laughs) No. (Closes the door as Chandler walks up.)'
Chandler	 Hey Pheebs, what\xc2\x92s up?'
Phoebe	 You ask an intriguing question Chandler Bing.'
Phoebe	 Oh my God! You\xc2\x92re getting a massage! You never let me massage you!!'
Monica	 Phoebe, I can explain!'
Phoebe	 You told me you hate massages!'
Chandler	 Buy stamps, pick up dry cleaning\xc2\x85Don\xc2\x92t let Phoebe in.'
Phoebe	 I can\xc2\x92t believe this! How long as this been going on?'
Monica	 Well umm, Alexandra has been\xc2\x85'
Phoebe	 Oh, it has a name?'
Monica	 Phoebe, don\xc2\x92t get upset!'
Phoebe	 Okay\xc2\x97Oop! Too late! I\xc2\x92m leaving! Come on Chandler let\xc2\x92s\ngo! (She storms out.)'
Chandler	 Well, Phoebe I thought I\xc2\x92d\xc2\x97(Off Phoebe\xc2\x92s\nlook)\xc2\x97Yeah, what the hell. (Exits with Phoebe.)'

Joey	 Oh okay, okay! One more push! One more push! Come on honey, we\xc2\x92re\nalmost there! We\xc2\x92re almost there!'
Rachel	 Oh Joey, I\xc2\x92m so happy things worked out for us that we\xc2\x92re\nhaving this baby together. I love you so much.'
Joey	 Oh, I love you too.'
Rachel	 And I hope it\xc2\x92s not an inappropriate time to say this but,\nyou\xc2\x92re the best sex I ever had.'
Joey	 That\xc2\x92s always appropriate! (Back to the matter at hand) Oh, okay. One\nmore push! One more push!'
Doctor	 Oh, here is your beautiful baby. Congratulations! '
Ross	 (crying) I hope you\xc2\x92re a better father than you\xc2\x92re a friend!!\n(Cries again and Joey wakes up in horror.)'
Rachel	 (bursts into the room) Joey! Joey!'
Joey	 What? What\xc2\x92s going on?'
Rachel	 Come feel this! Come feel my belly!'
Joey	 Aaaah\xc2\x85'
Rachel	 Joey! The baby is kicking for the first time! Will you please come feel\nthis?!'
Joey	 Really?!'
Rachel	 Yes!'
Joey	 Oh, y\xc2\x92know what? Maybe uh, you\xc2\x85you should come to me. I\xc2\x92m a\nnot, I\xc2\x92m not wearing any bottoms.'
Rachel	 Oh, okay! (She goes over to him and he feels her belly.)'
Joey	 Oh my, oh my God!'
Rachel	 Aw, it\xc2\x92s unbelievable! Wow! She is kicking so much! Oh, she\xc2\x92s\nlike umm\xc2\x85oh\xc2\x85who\xc2\x92s that kind of annoying girl soccer player?'
Joey	 Mia Hamm?'
Rachel	 Mia Hamm!'
Joey	 Oh that\xc2\x92s amazing. (Drops the sheet.)'
Rachel	 (looking down) Oh-oh!! One hand on the sheet Joe!'
Joey	 Whoa-hey-oh! Sorry!'
Chandler	 Hey babe.'
Monica	 Hi honey. We just got a wedding gift from Bob and Faye Bing; they\ndon\xc2\x92t like us do they? (They gave them a pok-a-dotted punch bowl.)'
Chandler	 Who says you can\xc2\x92t get a nice punch bowl for under six bucks?\nMaybe we can take it back?'
Monica	 No, it doesn\xc2\x92t say where it came from. Where would we return it?'
Chandler	 How about to the street say from the balcony?'
Monica	 Why don\xc2\x92t we just find a place for it?'
Chandler	 Okay. How about in that cabinet?'
Monica	 No! That\xc2\x92s where we keep the canned goods! Have you completely\nforgotten everything you learned at orientation?'
Chandler	 How about the closet by the bathroom? (The secret green door by the\nbathroom.)'
Monica	 Oh, okay. Here, why don\xc2\x92t you let me do it?'
Chandler	 Oh no-no-no, I will do it. Honey, you have to learn to sit down and\nrelax and let your husband take care of things once and awhile. (Tries the door.)\nIt\xc2\x92s locked, you have to help me. Why is it locked?'
Monica	 No reason. I-I keep private things in there.'
Chandler	 Oh y\xc2\x92know, I\xc2\x92ve been living here a while and I\xc2\x92ve never\nseen what\xc2\x92s inside that closet. What is, what is in there?'
Monica	 Feminine stuff.'
Chandler	 Don\xc2\x92t try to make me uncomfortable with feminine stuff!'
Monica	 Chandler, there is nothing in there that concerns you! If you love me\nyou-you\xc2\x92ll let it go.'
Chandler	 Fine.'
Monica	 Thank you! (He tries the door again and Monica glares at him.)'
Chandler	 (walking casually away) Love you.'
Phoebe	 (entering) Hello Chandler, lovely day huh? (To Monica) You!'
Chandler	 Phoebe if it helps Alexandra has only been massaging Monica for like\nthree years. (Phoebe rolls her eyes and walks away and Monica glares at him.) If! I said,\n"If it helps!" (Goes to the bedroom.)'
Phoebe	 Why won\xc2\x92t you let me massage you?'
Monica	 Well it\xc2\x92s\xc2\x85I mean I\xc2\x92d just\xc2\x97I\xc2\x92d be\nself-conscious. You\xc2\x92re my friend; I\xc2\x92d be naked.'
Phoebe	 Monica! We lived together for years! I\xc2\x92ve seen you naked!'
Monica	 That\xc2\x92s different, we were roommates! And when?!'
Phoebe	 I\xc2\x92m curious about the human body.'
Monica	 Hey, come on Phoebe, you can understand why this would be weird for me.'
Phoebe	 But I\xc2\x92m a professional! And I\xc2\x92m really good! Look, if\nyou\xc2\x92re uncomfortable we can stop. Just give me a chance, okay. Please?'
Monica	 Okay, if it means that much to you\xc2\x85'
Phoebe	 It does! How would you feel if you couldn\xc2\x92t share your cooking?\nOr-or imagine how Ross would feel if he couldn\xc2\x92t teach us about dragons.'
Monica	 Dinosaurs.'
Phoebe	 Potato, potaato. '
Ross	 Hey!'
Joey	 Hey Ross! The baby\xc2\x92s kicking!'
Ross	 What?! It is?! (He tries to quickly remove his gloves, but runs into\ntrouble and finally throws them off of his hands like a hockey player in a fight and grabs\nRachel\xc2\x92s belly.)'
Rachel	 It\xc2\x92s not kicking right now. Although we would love to see you do\n(Mimics him) that again.'
Ross	 Hey, when-when was it kicking? What happened?'
Rachel	 Last night! I just felt it and I went into Joey\xc2\x92s room and he was\nsleeping\xc2\x85'
Joey	 A dreamless sleep.'
Ross	 My God, the baby\xc2\x92s kicking. That\xc2\x92s great. Although I\xc2\x85kinda\nwish I-I would\xc2\x92ve been there to feel the kicking for the first time y\xc2\x92know.'
Joey	 Well I got stuff going on in here (Rubbing his belly) if you wanna feel.'
Ross	 Look, I-I don\xc2\x92t want to miss anymore baby stuff. So\xc2\x85Here.\nHere\xc2\x92s my new pager number, okay? Anytime anything pregnancy related happens use it!\nI\xc2\x92ll be there! Okay? I don\xc2\x92t care if it\xc2\x92s three in the morning and all you\nwant is ice cream.'
Joey	 Wow! Can I get a copy of that?'
Phoebe	 (calling from her room) Are you under the sheet?'
Monica	 Yes. '
Phoebe	 (in a soothing voice) Great, let\xc2\x92s begin. (She starts the massage.)\nHow\xc2\x92s the pressure?'
Monica	 Nice! Wow Phoebe you are good!'
Phoebe	 Stating the obvious, but thank you. And it\xc2\x92s not weird is it.'
Monica	 No. Ooohh\xc2\x85'
Phoebe	 That\xc2\x92s right, you just enjoy.'
Monica	 (in a sexy voice) Oh. Oh yeah! Ohhhhh! Ohh! Oh yeah! '
Phoebe	 (getting uncomfortable) Okay.'
Monica	 Oh God Phoebe!! (Phoebe covers one ear.) Oh that\xc2\x92s it! That\xc2\x92s\nit! Right there! Oh! (Tries to cover the other ear.) Ooooh-oooh-ooooh\xc2\x85 (Covers both\nears and continues the massage with her elbows.)'
Chandler	 I wasn\xc2\x92t trying to open your closet! I wasn\xc2\x92t trying to open\nyour closet! I swear! (Running into the kitchen and sees its Joey.)'
Joey	 Whoa, Monica runs a pretty tight ship over here. What are you doing?'
Chandler	 Monica has a secret closet and she won\xc2\x92t let me see what\xc2\x92s\nin it.'
Joey	 Why not?'
Chandler	 I don\xc2\x92t know! What could she possibly be hiding in here that I\ncan\xc2\x92t see?!'
