Lisa Kudrow	 (voiceover) Previously on Friends'
Ross	 (closes the door) Did you um\xc2\x97I\xc2\x92m sorry, did you just say\nit\xc2\x92s Rachel?'
Joey	 Yes.'
Ross	 Um, you\xc2\x85you like Rachel?'
Joey	 Yes. I like Rachel.'
Ross	 Rachel?!'
Joey	 (startled) Yeah, okay but look, buy uh\xc2\x97Hey-hey, y\xc2\x92know,\ny\xc2\x92know who else I like? You! And it-it doesn\xc2\x92t get said enough. I like you Ross.'
Ross	 But R-R-Rachel-Rachel?! '
Joey	 Yeah, but it\xc2\x92s not a big deal.'
Ross	 It\xc2\x92s not a big deal? Oh, I\xc2\x92m sorry I just\xc2\x85um, I\xc2\x85what\nabout all the stuff you-you just said? I mean how about, I like\xc2\x97you-you can\xc2\x92t\nstop thinking about her. Like how you can\xc2\x92t sleep?'
Joey	 I\xc2\x92m an actor, y\xc2\x92know? As-as a group, we tend to be over\ndramatic.'
Ross	 Rachel who\xc2\x92s carrying my baby? Rachel?'
Joey	 Look no, I-I know it\xc2\x92s bad, and I know it\xc2\x92s wrong. Okay? But-but\nit\xc2\x92s not like anything\xc2\x92s ever gonna happen. Y\xc2\x92know? These-these are just\nfeelings, they\xc2\x92re gonna go away.'
Ross	 Y\xc2\x92know what? I-I gotta go. (Starts to leave.)'
Joey	 Oh come on Ross! Hey Ross-Ross don\xc2\x92t\xc2\x85'
Ross	 (stops) I just\xc2\x97y\xc2\x92know\xc2\x97I-I just have one\xc2\x97Rachel?! '
Gunther	 Rachel?!!'

Rachel	 Oh-oh! Okay, she\xc2\x92s kicking!'
Chandler	 Oh! (Puts his hand on her belly.) She\xc2\x92s growing inside you.'
Rachel	 Whoa!!'
Chandler	 Oh! (Pulls his hand away.)'
Rachel	 Wow that was a big one.'
Chandler	 I think that\xc2\x92s the youngest girl ever to reject me.'
Phoebe	 (entering) Oh hey you guys!'
Chandler	 Oh hey!'
Rachel	 Hi!'
Phoebe	 Hey listen let me ask you, do you believe in soul mates?'
