Rachel	 Joey? Are you in there?'
Joey	 (hearing Rachel and jumping up with his plate) Oh God! That\xc2\x92s Rachel!'
Monica	 Joey, you have to talk to her!'
Joey	 No-no, I can\xc2\x92t! I can\xc2\x92t! Not after the other night, it\xc2\x92s\njust it\xc2\x92s\xc2\x85too weird, okay? Don\xc2\x92t tell her I\xc2\x92m here! (Turns to run to\nthe bathroom and his bagel falls off the plate onto the floor.) Don\xc2\x92t eat that! (Runs\nto the bathroom as Rachel enters.)'
Rachel	 Hey!'
Chandler	 Hey!'
Monica	 Hey Rachel!'
Rachel	 Is Joey here?'
Chandler	 I don\xc2\x92t see him. (To Monica) Do you see him?'
Monica	 I don\xc2\x92t see him. Hey! Maybe he\xc2\x92s in the sugar bowl! (Opens the\nsugar bowl) Joey? Nope! (Closes the sugar bowl and they both laugh.)'
Rachel	 Well, at least you make each other laugh.'
Monica	 What\xc2\x92s up?'
Rachel	 Well, I haven\xc2\x92t seen him since that night that he told me how he\ny\xc2\x92know\xc2\x85 I don\xc2\x92t know, I think he\xc2\x92s avoiding me. Why is that bagel on\nthe floor?'
Monica	 We were playing a game.'
Rachel	 Ew, was Chandler naked? Sort of like a, like a ring toss kind of\nsituation?'
Monica	 Sure.'
Chandler	 What?! No! No!'
Rachel	 All right. Well listen, if you see Joey will you just tell him\nuh\xc2\x85tell him I miss him. (Exits and Joey enters.)'
Monica	 (To Joey) Okay, did you hear that?'
Joey	 Yeah, a naked bagel game? (Picks up his dropped bagel.) (To Chandler)\nDude, I don\xc2\x92t know. That\xc2\x92s a pretty small hole.'
Monica	 Honey, you gotta talk to her.'
Joey	 I can\xc2\x92t! Y\xc2\x92know? You guys don\xc2\x92t know what it\xc2\x92s like to\nput yourself out there like that and just get shot down.'
Chandler	 (incredulous) I don\xc2\x92t know what that\xc2\x92s like?! Up until I was\n25 I thought the only response to, "I love you," was, "Oh crap!"'
Monica	 Hello? No rejection? I got shot down at fat camp! Boy, kids are mean\nwhen they\xc2\x92re hungry.'
Joey	 All right so, so what do I do?'
Monica	 This is Rachel. I mean, what are you gonna do, never going to talk to\nher again? I mean I know it\xc2\x92s weird, it\xc2\x92s awkward, but you gotta at least try.'
Joey	 Yeah. Okay. (Goes to take a bite out of the previously mentioned bagel.)\nWhoa! (Stops.) I almost forgot this was on your\xc2\x85'
Chandler	 (interrupting him) We didn\xc2\x92t play it!!'

Phoebe	 Okay, so when you\xc2\x92re done with your tea I\xc2\x92ll look at your\nleaves and tell you your fortune.'
Chandler	 I didn\xc2\x92t know you read tea leaves.'
Phoebe	 Oh yeah, I\xc2\x92ve done it for years. I actually stopped because I was\nso accurate. Y\xc2\x92know, and-and y\xc2\x92know, one of the great joys of life is\nit\xc2\x92s-it\xc2\x92s wondrous unpredictability. Y\xc2\x92know? And also tea tends to give me\nthe trots.'
Monica	 Okay, I\xc2\x92m done. Read mine.'
Phoebe	 Okay. (Looks at the leaves.) Ooh, I see a ladder. (Checks the book)\nWhich can mean either a promotion or a violent death.'
Monica	 (stunned) I-I\xc2\x92m the head chef. I-I can\xc2\x92t get promoted.'
Phoebe	 Uh-hmm. Uh-hmm, who\xc2\x92s next?'
Rachel	 Okay, I\xc2\x92m done. Do mine.'
Phoebe	 Okay. (Reads the leaves) Umm, oh! Okay, I see a circle.'
Rachel	 Ah.'
Phoebe	 Oh! (Checking the book) Which can either mean you\xc2\x92re having a baby\nor you\xc2\x92re gonna make a scientific discovery!'
Rachel	 Well, I have been spending a lot of time in the lab.'
Chandler	 What does yours say Pheebs?'
Phoebe	 Umm\xc2\x85 Wow, all right. (Checks the book.) Wow! Yay! Ooh, I\xc2\x92m\ngonna meet a guy! And really soon! And he\xc2\x92s gonna be the man of my dreams. Probably\nnot the guy I had a dream about last night. (Points at Chandler.)'
Ross	 (entering) Hey! Has anyone seen my shirt? It\xc2\x92s a button down, like a,\nlike a faded salmon?'
Monica	 You mean your pink shirt?'
Ross	 Faded salmon color.'
Monica	 No, I-I haven\xc2\x92t seen your pink shirt.'
Ross	 Great! Great. Then I must\xc2\x92ve left it at Mona\xc2\x92s. I knew it!'
Chandler	 Well, I\xc2\x92m sure you get another one at Ann Taylor\xc2\x92s.'
Ross	 That\xc2\x92s my favorite shirt! Okay? I love that shirt!'
Rachel	 Well just ask Mona to give it back!'
Ross	 I don\xc2\x92t know. I mean I-I guess I could. It\xc2\x92s just that we\ndidn\xc2\x92t really end things such good terms. And if I go over there I\xc2\x92d be ignoring\nthe one thing she asked me to do when we broke up, jump up my own ass and die. (Walks\naway.)'
Phoebe	 (noticing a guy sitting by the green post looking at her) Oh wait a\nsecond you guys\xc2\x85for the last couple weeks I\xc2\x92ve been that guy everywhere I go. We\ntake the same bus. We go to the same bookstore, the same dry cleaners; maybe he\xc2\x92s the\ntea guy. (He gets up to leave, and smiles at Phoebe.)'
Chandler	 Phoebe, did you see that?! He totally checked you out! He is so cute!\n(Looking at his tea.) Mine has a picture of The Village People, what does that\nmean?'
Rachel	 Hi!'
Joey	 Hey.'
Rachel	 Hi.'
Joey	 Hi.'
Monica	 Tea gives Phoebe the trots.'
Rachel	 So I thought Joey and I would be okay once we hung out, but it\xc2\x92s\nnot even like we know how to be with each other anymore.'
Chandler	 I know it\xc2\x92s tough now, but things will get better.'
Rachel	 How do you know that? What if it just gets worse and worse and worse, to\nthe point where we can\xc2\x92t even be in the same room with each other?!'
