Rachel	 (entering) Hi!'
Monica	 Hey!'
Phoebe	 Hey!'
Rachel	 So what\xc2\x92s the final head count on my baby shower?'
Phoebe	 About twenty, a couple people from work who had something else to do. '
Monica	 Also both of your sisters called and neither can make it.'
Rachel	 What?! You mean they\xc2\x92re not coming to a social event where\nthere\xc2\x92s no men and there\xc2\x92s no booze?! That\xc2\x92s shocking! I don\xc2\x92t care,\nas long as my mom\xc2\x92s here.'
Monica	 Oh my God, your mother!'
Rachel	 What?! My mom\xc2\x92s not gonna be here?!'
Monica	 Well, given that we forgot to invite her it would be an awfully big\ncoincidence if she was.'
Rachel	 My God!'
Monica	 Well it wasn\xc2\x92t my fault, Phoebe was in charge of the invitations!'
Phoebe	 Well I don\xc2\x92t, I don\xc2\x92t have a mother so often I forget that\nother people\xc2\x85'
Monica	 (interrupting her) Oh give it a rest!'
Rachel	 So my mother is not coming to my baby shower?!'
Phoebe	 No. (Pause) Neither is mine.'
Monica	 Okay, y\xc2\x92know what? Don\xc2\x92t worry, okay? We\xc2\x92ll take care of\nit. We\xc2\x92ll call her. Just go home and get ready.'
Rachel	 Please, make sure she comes. It\xc2\x92s really important to me, I mean\nit\xc2\x92s my mom!'
Phoebe	 I know. I know, what\xc2\x92s her number?'
Rachel	 I don\xc2\x92t know.'
Monica	 Go! I have it in my book. Go! (Rachel leaves and Monica calls Mrs.\nGreen.) (To Phoebe) Wait a minute! If you\xc2\x92re in charge of the invitations why am I\nthe one who has to call her\xc2\x97Hello Mrs. Green! Hi, it\xc2\x92s Monica Geller.'
Mrs. Green	 Oh, hello Monica.'
Monica	 (on phone) Hi, umm I know this is last minute, but we\xc2\x92ve decided to\nthrow an impromptu baby shower for Rachel today.'
Mrs. Green	 I know, my daughter\xc2\x92s told me about it when they received their\nimpromptu invitations a month ago.'
Monica	 Yeah, I\xc2\x92m sorry. I\xc2\x92m-I\xc2\x92m so sorry.'
Mrs. Green	 For what dear? For not inviting me or lying about it?'
Monica	 (To Phoebe) Oh my God, my ass is sweating! (on phone) Please! Please!\nCan you come? It\xc2\x92s today at four.'
Mrs. Green	 Well all right. I\xc2\x92ll see you at four.'
Monica	 Thank you. (Hangs up.)'
Phoebe	 Isn\xc2\x92t it at three?'
Monica	 Son of a bitch! (Calls Mrs. Green again.)'

Chandler	 Hey Joe! You wanna shoot some hoops?'
Joey	 Oh no, I can\xc2\x92t go. I\xc2\x92m practicing; I got an audition to be the\nhost of a new game show.'
Ross	 Oh cool!'
Chandler	 That\xc2\x92s great.'
Joey	 Yeah-yeah, and if I get it by day I\xc2\x92ll (In a sexy voice) Dr. Drake\nRemoray, but by night I\xc2\x92ll be (In an announcer\xc2\x92s voice) Joey Trrrribbiani!'
Chandler	 You\xc2\x92ll be perfect for this! That\xc2\x92s already your name!'
Joey	 But the audition\xc2\x92s in a couple hours and I don\xc2\x92t even understand\nthe game.'
Ross	 Well do you want some help?'
Joey	 Oh really? That\xc2\x92d be great! You guys can be the contestants!'
Ross	 Awesome!'
Chandler	 Okay, I guess we can lose to junior high girls some other time.'
Joey	 (announcer voice) All right! Let\xc2\x92s play Bamboozled!'
Chandler	 Bamboozled?'
Joey	 Yeah, isn\xc2\x92t that a cool name?'
Ross	 (simultaneously with Chandler) Yeah!'
Chandler	 (simultaneously with Ross) No!'
Joey	 All right. Uhh, okay. Our first contestant is Ross Geller. Why don\xc2\x92t\nyou tell us a little something about you Ross?'
Ross	 Well uh, I-I\xc2\x92m a paleontologist. Umm, I-I live in New York. I have a\nson Ben. Uh, hi Ben! (Waves.) And uh\xc2\x85'
Joey	 I said a little bit Ross. Now, how about you Chandler?'
Chandler	 Well Joey, I\xc2\x92m a headhunter. I hook up out of work Soviet\nscientists with rogue third-world nations. Hi Rasputin! (Waves.)'
Joey	 Excellent! Let\xc2\x92s play Bamboozled! Chandler, you\xc2\x92ll go first.\nWhat is the capital of Columbia?'
Chandler	 Bogota.'
Joey	 It\xc2\x92s Ba-go-ta, but close enough. Now, you can either pass your turn\nto Ross or pick a Wicked Wango card.'
Chandler	 What does a Wicked Wango card do?'
Joey	 I should know that. Let\xc2\x92s see, just one moment please. Umm, here we\nare, a Wicked Wango card determines whether you go higher or lower.'
Chandler	 Higher or lower than what?'
Joey	 This is embarrassing. (Looks it up.)'
Chandler	 (To Ross) Can you believe how lame this is?'
Ross	 I\xc2\x92m sorry, I don\xc2\x92t believe contestants are allowed to talk to\neach other.'
Phoebe	 Oh, I told the stripper to be here at five. That\xc2\x92s good right?'
Monica	 You ordered a stripper for the shower?! That is totally inappropriate!'
Phoebe	 What? He\xc2\x92s gonna be dressed as a baby! (Mrs. Green enters.) Oh hi\nMrs. Green!'
Monica	 Hi!'
Phoebe	 I\xc2\x92m so glad you could make it.'
Monica	 Yes, thank you so much. And again, we\xc2\x92re so sorry. We could not\nfeel worse about it.'
Mrs. Green	 Try. There\xc2\x92s my little girl. (Goes over to Rachel.)'
Monica	 She\xc2\x92s still mad.'
Phoebe	 Yeah I know. Isn\xc2\x92t it great? One less person we have to make small\ntalk with.'
Monica	 Phoebe, Sandra\xc2\x92s mad at you too. It-it doesn\xc2\x92t bother you?'
Phoebe	 No look, we\xc2\x92ve apologized twice! I can\xc2\x92t do anymore than that.\nI know you hate it when people are mad at you but you just have to be okay with it.'
Monica	 Okay. I can do that. (Pause) I gotta go powder my ass.'
Mrs. Green	 Look at that face! Just like when you were in high school! If I\ndidn\xc2\x92t know better I\xc2\x92d say you were a cheerleader in trouble. Come on,\nlet\xc2\x92s get some tea.'
Rachel	 Okay. (Mrs. Green helps her up and they walk over and get some tea.)'
Mrs. Green	 Oh my look at that. Only three weeks to go, now have you picked your\nnanny yet? Now I don\xc2\x92t want you to use your housekeeper \xc2\x91cause it would just\nsplit her focus.'
Rachel	 Oh well actually gonna use a nanny and uh, I don\xc2\x92t even have a\nhousekeeper.'
Mrs. Green	 It\xc2\x92s like you\xc2\x92re a cave person. Rachel, you must get a\nnanny. You don\xc2\x92t know how overwhelming this is going to be. I mean when you were a\nbaby I had full time help, I had Mrs. Kay.'
Rachel	 Mrs. Kay! Oh yeah, she was sweet. She taught me Spanish. I actually\nthink I remember some of it, tu madre es loca. (I think that\xc2\x92s your mother\xc2\x92s\ncrazy.)'
Mrs. Green	 Such a sweet woman.'
Rachel	 Well, however great she was I just can\xc2\x92t afford that.'
Mrs. Green	 Oh Rachel!'
Rachel	 What?'
Mrs. Green	 I just had the greatest idea! I\xc2\x92m gonna come live with you!'
Rachel	 Wh-wh-what? What?'
Mrs. Green	 Oh, I\xc2\x92m so happy I\xc2\x92m gonna do this for my little girl. Aw,\nlook at you. You have tears in your eyes.'
Rachel	 Yes. Yes I do.'
Joey	 All right Ross you\xc2\x92re in the lead, would you like to take another\nquestion or spin the Wheel of Mayhem?'
Ross	 The wheel has not been my friend tonight Joey. Uh, I\xc2\x92ll take another\nquestion. '
Joey	 Okay, this is gonna be tough. Hold your breath.'
Ross	 It\xc2\x92s okay, I\xc2\x92m ready.'
Joey	 No dude, you gotta hold your breath until you\xc2\x92re ready to answer the\nquestion.'
Chandler	 This is ridiculous, he\xc2\x92s not gonna hold his breath\xc2\x85 (Ross\ncuts him off by taking a deep breath and holding it.)'
Joey	 Okay, what do you have a fear of if you suffer from this phobia,\nTris\xc2\x85Holy cow, that\xc2\x92s a big word. Trisc\xc2\x85 Seriously look at this thing.\nChandler, how do you say that?'
Chandler	 Let me see that.'
Joey	 This one right here. (Ross whines.)'
Chandler	 Triscadecaphobia.'
Ross	 (exhaling) The fear of Triscuts! '
Joey	 No! No, fear of the number 13.'
Chandler	 Fear of Triscuts?'
Ross	 It\xc2\x92s possible, they have really sharp edges.'
Joey	 All right Chandler, you\xc2\x92re up.'
Ross	 Wait a minute, I-I believe I\xc2\x92m entitled to use my Angel Pass for a\nfree turn?'
Chandler	 This game makes no sense!'
