Ross	 Hey you guys I got some bad news. (He sets the stack of papers down on the\ntable.)'
Phoebe	 Well that\xc2\x92s no way to sell newspapers. Why don\xc2\x92t you try,\n"Extra! Extra! Read all about it!"'
Ross	 No, Monica\xc2\x92s restaurant got a horrible review in the Post. (They all\ngasp.) I didn\xc2\x92t want her to see it, so I ran around the neighborhood and bought all\nthe copies I could find. (He hands the paper to Phoebe and they all read it.)'
Joey	 Man, this is bad! And I\xc2\x92ve had my share of bad reviews. I still\nremember my first good one though. (Quoting) "Everything else in this production of Our\nTown was simply terrible. Joey Tribbiani was abysmal."'
Monica	 (entering) Hey!'
Chandler	 Hey.'
Monica	 (seeing the stack of newspapers) Oh my God! Look at all the newspapers!\nIt must be a good review! Is it great?!'
Ross	 Umm\xc2\x85'
Monica	 (reading) Oh dear God!'
Ross	 But the good news is, no one in a two-block radius will ever know.'
Monica	 What about the rest of Manhattan?!'
Ross	 Yeah, they all know.'
Monica	 Oh my God, this is horrible!'
Chandler	 I\xc2\x92m so sorry.'
Monica	 I\xc2\x92m so humiliated!'
Rachel	 Yeah but y\xc2\x92know what they say Mon, "There\xc2\x92s no such thing\nas bad press."'
Monica	 You don\xc2\x92t think that umm, (reading) "The chef\xc2\x92s Mahi Mahi\nwas awful awful," is bad press?'
Rachel	 I didn\xc2\x92t write it.'
Monica	 Is he right? Am I really\xc2\x97Am I awful?'
All	 No!'
Joey	 Yeah! Yeah Monica! You listen to me, okay? And I\xc2\x92m not just saying\nthis because I\xc2\x92m your friend, I\xc2\x92m sayin\xc2\x92 it \xc2\x91cause it\xc2\x92s the\ntruth. You\xc2\x92re food is abysmal!'

Rachel	 Ross!'
Ross	 (startling him) What?! What?'
Rachel	 I am freaking out!'
Ross	 Are ya?'
Rachel	 My due date is in one week! '
Ross	 What are you doing up?'
Rachel	 That is seven days!'
Ross	 Okay look, I had a lot of water before I went to bed. Can we do this\nafter\xc2\x85'
Rachel	 (interrupting him) No-no-no-no-no Ross! Please, come on we do not have\nany of the big stuff we need! We do not a changing table! We do not have a crib! We do not\nhave a diaper service!'
Ross	 It\xc2\x92s funny you should mention diapers.'
Rachel	 I\xc2\x92m serious.'
Ross	 Okay look, there\xc2\x92s nothing to worry about. We have plenty of time.\nThere\xc2\x92s a great baby furniture store on west 10th. Tomorrow, we will go\nthere and we will get you everything that you need. Okay?'
Rachel	 Okay. Thank you. That\xc2\x92s great. Thank you. Wait-wait! Where on west\n10th? Because there\xc2\x92s this really cute shoe store that has like this\nlittle\xc2\x85'
Ross	 (interrupting her) Okay. Okay. If uh, if you\xc2\x92re gonna do this, then\nI\xc2\x92m gonna do that. (Points to the bathroom.) So\xc2\x85 (Starts for the bathroom.)'
Rachel	 (stopping him) Oh, wait Ross! I\xc2\x92m sorry, one more thing!'
Ross	 (annoyed) Yeah!'
Rachel	 Umm, our situation. Y\xc2\x92know umm, what we mean to each other. And I\nmean we-we\xc2\x92re having this baby together, and we live together. Isn\xc2\x92t that,\nisn\xc2\x92t that weird?'
Ross	 (stunned) (thinks) Well uh\xc2\x85'
Rachel	 I\xc2\x92m just kidding! You can go pee! (He does so in a hurry.)'
Joey	 (entering) Hey uh Monica, I can\xc2\x92t remember. Did we say we were gonna\nmeet here or at the movies?'
Monica	 We said at the movies, but\xc2\x85'
Joey	 Okay, I\xc2\x92ll see you there. (Starts to leave) '
Monica	 Joey! (He returns) Now that you\xc2\x92re here\xc2\x85'
Joey	 Sure, I can hang out \xc2\x91til I have to meet ya. (To Chandler) What\nuh\xc2\x97How come you\xc2\x92re not going?'
Chandler	 I have a job interview I have to get ready for.'
Joey	 I thought you already have a job.'
Chandler	 And people say you don\xc2\x92t pay attention. No, this is a much better\njob. It\xc2\x92s vice-president of a company that does data reconfiguration and statistical\nfactoring for other companies.'
Joey	 Wow! How do you know how to do that?!'
Chandler	 That\xc2\x92s what I do now.'
Monica	 Hey Joey, come taste this.'
Joey	 What is it?'
Monica	 Remember that guy that gave me a bad review? Well\xc2\x85 (Feeds him a\nspoonful of what she\xc2\x92s cooking.) I\xc2\x92m getting my revenge!'
Joey	 You cooked him?'
Monica	 No. He teaches a course on food criticism at the New School, so before\nwe go to the movies I wanna go by there and make him try my bouillabaisse again. Oh, I\ncannot wait to read the front page of the Post tomorrow! "Restaurant reviewer admits
Chandler	 The front page? You really do live in your own little world,\ndon\xc2\x92t ya?'
Cashier	 Do you uh, want these things delivered Mr. and Mrs. Geller?'
Rachel	 Oh.'
Ross	 Oh.'
Rachel	 No-no-no! No, no, no, we\xc2\x92re not married.'
Ross	 We are having a baby together, but we\xc2\x92re not involved. (The cashier,\na very beautiful woman, looks confused) I mean, uh we-we were seeing each other a while\nago, but then we were just friends. And then there was one drunken night. (Rachel looks at\nhim angrily) Or, yes stranger, we\xc2\x92d like this delivered please.'
Cashier	 Why don\xc2\x92t you fill out this address card. (Hands him one.)'
Ross	 Oh, okay.'
Cashier	 I notice you picked out a lot of our dinosaur items.'
Rachel	 Oh yeah! Actually, that\xc2\x92s one of the reasons why we\xc2\x92re not a\ncouple.'
Ross	 I chose those, I\xc2\x92m a paleontologist.'
Cashier	 Really?! That is so cool!'
Rachel	 Oh. Oh yeah, don\xc2\x92t get to worked up over it. I mean it-it sounds\nlike he\xc2\x92s a doctor, but he\xc2\x92s not.'
Cashier	 Oh no-no, I\xc2\x92m fascinated by paleontology. Have you read the new\nWalter Alvarez book?'
Ross	 Yeah! I-I teach it in my class.'
Rachel	 Oh my God! I\xc2\x92m standing at a cash register, holding a credit card,\nand I\xc2\x92m bored.'
Cashier	 (looking at the completed address card) Oh, I love your neighborhood.\nThere\xc2\x92s a great gym right around the corner from your building.'
Ross	 That\xc2\x92s my gym.'
Cashier	 I can tell you work out. (Ross is please and Rachel looks at him\nconfused.) A paleontologist who works out, you\xc2\x92re like Indiana Jones. (Rachel has a\ndisbelieving look on her face.)'
Ross	 I am like Indiana Jones.'
Rachel	 Hi Pheebs!'
Phoebe	 Hey! Oh, how did baby shopping go?'
Rachel	 Oh, it was great! We got everything that we needed! Oh and Ross, almost\ngot something that wasn\xc2\x92t on the list. A whore.'
Phoebe	 What?!'
Rachel	 Well, we were paying for our stuff and this saleswoman just started\nflirting with him.'
Phoebe	 Well did she know you two weren\xc2\x92t married?'
Rachel	 Yeah.'
Phoebe	 Oh my God! Well the idea of a woman flirting with a-with a single man,\nwe-we must alert the church elders!'
Rachel	 You don\xc2\x92t understand! You didn\xc2\x92t see how brazen she was.'
Phoebe	 Sounds like you\xc2\x92re a little jealous.'
Rachel	 No! I\xc2\x92m not! I-I-I just think it\xc2\x92s wrong! It\xc2\x92s-it\xc2\x92s\nthat I\xc2\x92m\xc2\x97Here I am about to pop and he\xc2\x92s out picking up some shop girl at\nSluts \xc2\x91R\xc2\x92 Us!'
