Ross	 Hey! What are you guys looking at?'
Joey	 Oh, it\xc2\x92s a poster for that World War I movie that I\xc2\x92m in, check\nit out.'
Ross	 Yeah? Wow! It looks really violent!'
Joey	 Uh-huh! I know. I\xc2\x92m coming soon to a theater near you! I\xc2\x92m in\nTHX! I\xc2\x92m unsuitable for children!'
Ross	 Now I cannot wait to see this.'
Joey	 Yeah, yeah, it\xc2\x92s already generating Oscar buzz.'
Phoebe	 I started that!'
Joey	 I thought I did! Oh hey guess what? The premiere is next week and\nyou\xc2\x92re all invited! (They all gasp.)'
Monica	 Are we gonna take a limo?'
Joey	 Sure! Why not?!'
Monica	 Oh I love taking limos when nobody died!'
Rachel	 Well obviously I won\xc2\x92t be able to come, for those of you who\nhaven\xc2\x92t checked their calendars today is my due date. Well y\xc2\x92know, I just want\nto take a moment and thank you guys for how great you\xc2\x92ve been during this time. I\nreally couldn\xc2\x92t have done it without you. And I have loved these last nine\nmonths! And even though I am so looking forward to the next part, I am really gonna miss\nbeing pregnant.'
Rachel	 That\xc2\x92s right, still no baby! (To Monica, Joey, and Chandler on the\ncouch) Come on people! Please make some room!'
Ross	 Uh sweetie, maybe you\xc2\x92d be more comfortable here? (Gets up from the\ngreen armchair.)'
Rachel	 You. Like you haven\xc2\x92t done enough.'
Ross	 Look, I-I know how miserable you are, I wish there was something I can do.\nI mean I wish I were a seahorse. (She glares at him) Because with seahorses it\xc2\x92s the\nmale, they carry the babies. And then also umm, I\xc2\x92d be far away in the sea. (He sits\nback down.)'
Rachel	 God. (Sits down.) I have never been so uncomfortable in my entire life!'
Phoebe	 Oh I know, I\xc2\x92ve been there. I remember toward the end\xc2\x85'
Rachel	 (interrupting her) Oh Phoebe, that\xc2\x92s a great story. Can you tell it\nto me when you\xc2\x92re getting me some iced tea? (Phoebe gets up and Rachel groans.) (To\nthe baby) Oh God, get out! Get out!! Get out!! Get out!!'
Chandler	 Let\xc2\x92s. (Everyone gets up and leaves Rachel.)'

Chandler	 Hey! Did you have the baby yet?'
Rachel	 Do you want me to come over there and sit on you? \xc2\x91Cause I\xc2\x92ll\ndo it.'
Monica	 What are you doing here so early?'
Rachel	 They sent me home from work. They were like, "Start your maternity\nleave now! Just rest, get ready for the baby." Well y\xc2\x92know what? Screw \xc2\x91em!\nIf they don\xc2\x92t want me there, I\xc2\x92ll just hang out with you guys.'
Phoebe	 Or you can do volunteer work.'
Joey	 Hello?'
Estelle	 Joey! It\xc2\x92s Estelle! Great news, I was able to get you and one\nguest tickets to your premiere.'
Joey	 One guest? You told me I can have six tickets!'
Estelle	 Well, I sold four of them on Ebay. You\xc2\x92ll be sitting next\nto HotGuy372.'
Joey	 Oh my God. So that\xc2\x92s it?! I only get to bring one guest?'
Estelle	 Yeah, what time do you wanna pick me up? (Joey hangs up on her.) Hello?'
Joey	 (to Monica, Chandler, and Phoebe) Did you hear that? I only get one extra\nticket to my premiere. So some how I have to pick between you three and Ross.'
Rachel	 (overhearing that) What-what about me?'
Joey	 You said you didn\xc2\x92t want to go.'
Rachel	 I don\xc2\x92t. But I would still like to be acknowledged. What? Just\nbecause I\xc2\x92m pregnant you think I\xc2\x92m invisible.'
Joey	 Definitely not invisible.'
Monica	 Well, well Ross didn\xc2\x92t care enough to be here, so I think he\xc2\x92s\nout. You snooze you lose.'
Chandler	 He\xc2\x92s not snoozing, he\xc2\x92s teaching a class.'
Monica	 Well then somebody\xc2\x92s snoozing. Joey, not that this uh should affect\nyou at all, but if you were to pick me, I was planning on wearing a sequined dress, cut\ndown to here. (Points to her stomach just above her belly button.)'
Chandler	 I haven\xc2\x92t seen this dress.'
Monica	 Star in a movie.'
Phoebe	 Joey, you pick who ever you want. Okay? You just listen to your heart.\nWhat does it tell you? (Mimicking a heartbeat and tapping her chest.) Phoebe, Phoebe.'
Joey	 Well uh\xc2\x85I think I want to take Chandler.'
Phoebe	 (still mimicking a heartbeat, only faster)\nPhoebe-Phoebe-Phoebe-Phoebe\xc2\x97Burrrrr! (Mimics the sound of a cardiac monitor going\noff.)'
Chandler	 You really want to take me?'
Joey	 Yeah! Yeah! I mean I\xc2\x92m sorry, I wish I can take everybody, but\ny\xc2\x92know Chandler always supported my career. He\xc2\x92s paid for acting classes and\nhead shots and stuff and well this will be my way of paying you back.'
Chandler	 So you\xc2\x92re never actually going to pay me back?'
Monica	 Wait a minute, just because he paid for your head shots you\xc2\x92re\ngonna take him? Joey, I don\xc2\x92t think you\xc2\x92re comprehending just how slutty this\ndress is!'
Joey	 It\xc2\x92s not just the stuff he paid for, I mean it\xc2\x92s-it\xc2\x92s\neverything. Y\xc2\x92know? He read lines with me. He-he went with me on auditions when I was\nreally nervous, and then he consoled me after I didn\xc2\x92t get parts that I really\nwanted. You always believed in me man. Even, even when I didn\xc2\x92t believe in myself.'
Chandler	 I always knew you were gonna make it. I\xc2\x92m so proud of you.'
Joey	 Thanks. That means a lot to me.'
Phoebe	 Mon, maybe one of these guys wants to wear your dress.'
Joey	 (in a manly voice) I\xc2\x92m gonna go shave. (Gets up.)'
Chandler	 (in a manly voice) Yeah well, I\xc2\x92m gonna go spit. (He goes into\nthe bedroom. On his way out, Joey gives Rachel a wide berth.)'
Rachel	 Oh, I have to pee. If I don\xc2\x92t come out in five minutes it\xc2\x92s\nbecause I\xc2\x92ve choked to death on the potpourri stink. (Goes into the bathroom.)'
Phoebe	 When she comes out, you hold her nose, I\xc2\x92ll blow in her mouth, and\nthe kid will just (makes a popping sound) right out of her.'
Monica	 She\xc2\x92s over a week late! She gotta have it today, right?'
