Ross	 All right! (Checking his watch) Yes!! From home to the hospital in under\nseven minutes! We did it!!'
Rachel	 (deadpan) Yes, the hard part is truly over.'
Ross	 No, but come on, we\xc2\x92re off to a great start aren\xc2\x92t we? I knew\nI\xc2\x92d get you here fast, but this has got to be some kind of a record!'
Phoebe	 Oh you made it!'
Rachel	 Hi! (Ross is stunned.)'
Monica	 How are you doing?'
Ross	 Wait a minute! How-how the hell did you beat us here?'
Monica	 We took a cab. Did you guys walk?'
Ross	 N\xc2\x85 No! We took a cab too, but I did test runs!'
Chandler	 Hi!'
Joey	 Hey! You made it!'
Ross	 Okay is there\xc2\x85some kind of magic tunnel to this hospital?!'
Rachel	 Ross, you stay here and talk, I\xc2\x92m gonna go have a baby.'
Ross	 Okay. Okay. (To the nurse behind the desk.) Umm hi, this is Rachel Green.\nI\xc2\x92m Ross Geller. We-we called from the car.'
Nurse	 Right! We have a semi-private labor room waiting for you. So in just a\nminute\xc2\x85'
Rachel	 (interrupting her) Whoa-whoa-whoa-whoa! I\xc2\x92m sorry, semi-private? We\n(Laughs), we asked for a private room.'
Nurse	 Yes, I see that here. Unfortunately we can\xc2\x92t guarantee a private\nroom and currently they\xc2\x92re all unavailable.'
Chandler	 Man, if only you\xc2\x92d gotten here sooner. (Ross turns and glares at\nhim.)'
Nurse	 I\xc2\x92m sorry. Semi-private rooms are all we have.'
Rachel	 Okay. Just give us a second. Ross! (They walk away from the desk.)'
Ross	 Yeah?'
Rachel	 Give her some money.'
Ross	 I really think they\xc2\x92re out of rooms.'
Rachel	 They\xc2\x92re not!! Ross, they\xc2\x92re just saving them for the important\npeople!! Okay?! What-what if I was the president?!'
Ross	 Well then we\xc2\x92d be in a lot of trouble, you don\xc2\x92t know where any\ncountries are. (Rachel glares at him.) Okay. (He goes over to the desk followed by\nRachel.) Uh, say would you umm\xc2\x85 Would you mind checking again to see if any umm,\nprivate rooms may have (Handing her some money) opened up?'
Nurse	 This is a hospital.'
Rachel	 (standing up) Okay. Y\xc2\x92know what? I\xc2\x92d have to say I really\ndon\xc2\x92t care for your tone. And this is not the only hospital in this city and we have\nno problem to\xc2\x97Whoa! (She starts a contraction) Oh gosh! Whoa!'
Ross	 What-what?'
