Ross	 You said you\xc2\x92d marry Joey?'
Rachel	 Okay you have to realize, I was exhausted, I was emotional, I would have\nsaid yes to anybody. Like that time you and I got married! (Pause) I\xc2\x92m not helping.'
Ross	 So you said yes to him, and you just had our baby?'
Rachel	 That is right and traditionally the daddy is supposed to give the mummy\na present but I am prepared to let that go.'
Ross	 So when I came in here to see if you wanted to maybe start things up\nagain, you were engaged to my best friend.'
Rachel	 Well\xc2\x97Really? I thought Chandler was your best friend.'
Ross	 Well, Chandler\xc2\x92s my oldest friend, but Joey\xc2\x92s my\xc2\x97No! Ah!\n(points at Rachel)'
Rachel	 Ooooo!'
Joey	 (Enters) Hey you guys I\xc2\x92m gonna take off. I just wanted to let you\nguys know, say goodbye.'
Ross	 Rachel said she\xc2\x92d marry you?!'
Joey	 (He looks around the room) This isn\xc2\x92t the right room, sorry folks.\n(leaves)'

Monica	 Ok, I don\xc2\x92t wanna be negative so I\xc2\x92ll say that most of the\nsigns you bought are good.'
Phoebe	 No they ran out of "It\xc2\x92s a girl" but I can fix this one,\n(She writes "not" in between it\xc2\x92s and a) See?'
Monica	 (looking at Chandler sleeping with a balloon in his mouth) So sexy.\n(Waking him up.) Honey.'
Chandler	 Yea yea. (Pulls the balloon out of his mouth)'
Monica	 Honey why don\xc2\x92t you go lie down.'
Chandler	 No, no, Ross and Rachel will be back soon and then I gotta go to the\noffice (Pulls another balloon out of his mouth) Am I producing them?'
Joey	 Why\xc2\x92re you so tired?'
Chandler	 Couldn\xc2\x92t sleep last night you know, then I started worrying about\nthis big divisional meeting that I have later today, the more I worried about it the more\nI couldn\xc2\x92t sleep.\xc2\xa0 Y\xc2\x92know? I was like, if I fall asleep now I\xc2\x92ll get\nsix hours sleep, but if I fall asleep now I\xc2\x92ll get five hours sleep. Not matter what\nI did I couldn\xc2\x92t fall asleep.'
Joey	 You know what you should\xc2\x92ve done, you should have told yourself that\nlittle story.'
Rachel	 (enters with Emma) Hi!'
Everyone	 Hi, welcome home!'
Monica	 Phoebe did the signs!'
Rachel	 Oh you guys thanks for doing this.'
Phoebe	 Look at all the stuff people sent!'
Rachel	 Oh Ah! (Sees a big stuffed gorilla) Oh my gosh there\xc2\x92s something\nevery mother needs, a giant stuffed gorilla that takes up the entire apartment! What are\npeople think\xc2\x85 (Reads the card) Oh you guys I love it.'
Joey	 Hey so where\xc2\x92s Ross?'
Rachel	 He\xc2\x92s downstairs getting the rest of the stuff out of the cab.'
Joey	 Is he still mad at us?'
Rachel	 Well, you more then me, but he can\xc2\x92t stay to mad at me. I mean, I\njust had his baby.'
