Rachel	 Hi!'
Ross	 Hey! So what's the big news you had us rush all the\n  way over here for?"
Chandler	 Okay, our news. My company has asked me to head\n  up our office in Tulsa , so as of Monday I'm being officially relocated."
Ross	 Oh my God!'
Phoebe	 What?!'
Rachel	 What?!'
Ross	 Monday?!'
Joey	 How long do you have to go for?'
Chandler	 They said it could be up to a year.'
Joey	 A year?!'
Rachel	 (To Monica) Do you have to go?'
Monica	 I kind of have to don't I? Because of this stupid\n  thing (Points to her wedding ring.)"
Chandler	 There is nothing like the support of your loving\n  wife, huh?'
Joey	 Wait a minute, you can't go to Tulsa. Maybe you forgot,\n  but we've got tickets to the Jets game next week."
Chandler	 I'm sorry buddy, but I don't think I'm gonna be\n  able to make it."
Joey	 We were gonna go see the Jets!'
Ross	 You can't go, I mean you're the glue that holds this\n  group together!"
Chandler	 Really?'
Ross	 Not you.'
Joey	 I can't believe you guys are moving."
Phoebe	 I call their apartment!!!'
Everyone	 No!!! Ah!! Ahh!!! '

Joey	 Here you are (Hands Rachel a cup of coffee)'
Rachel	 Thank you Joey. You know what? I'm not even sure\n  I can have caffeine."
Ross	 I went thru this with Ben and Carol. One cup of coffee\n  won't affect your milk."
Rachel	 Yeah. Just to be sure I'm gonna call Dr. Wiener. "
Joey	 (Laughs)'
Rachel	 Every time? (She takes up her cell phone and starts\n  dialing.)'
Joey	 Uhuh.'
Ross	 Rach, you don't have to call whenever you have a little\n  question, okay? Trust me, I know this."
Rachel	 All right, I trust you. (Continues to dial)'
Ross	 Rachel, I can see you dialing! I don't understand why..."
Rachel	 I'm on the phone! (On the phone) Dr. Wiener? (Ross\n  and Rachel walk away)"
Joey	 (Laughs)'
Phoebe	 It's so weird seeing Ross and Rachel with a baby.\n  It's just so grown up."
Joey	 I know, yeah. I feel like we're all growing up. Person\n  named Wiener, God that kills me. (Laughs)"
Phoebe	 Look at you all grown up.'
Joey	 Actually, you know what? I am. That whole thing with\n  Rachel made me realize that maybe I'm ready for a more serious relationship.\n  You know? Like I'd like to meet a nice mature commitment-minded lady. And looks\n  aren't as important as...Nah, she's gotta be hot."
Phoebe	 You know, I might know somebody. Hey, how about you\n  set me up with someone, and we double date!'
Joey	 I can do that, yeah. How is Friday?'
Phoebe	 Done. Oh good, really?'
Joey	 Yeah! '
Phoebe	 Let's see! (Opens her address book.) Oh, you know\n  who's great? Sandy Poophack. "
Joey	 (Laughs) Poophack... (Laughs)'
Phoebe	 Yeah... All right, well that rules out Lana Titweiller'
Joey	 (Laughs)'
[SCENE	 Chandler and Monica's apartment]"
Chandler	 (Enters) Hey!'
Monica	 Hey!'
Chandler	 I've got good news!"
Monica	 You got out of the whole Tulsa thing?'
Chandler	 Okay, I have news. You don't have to move to Tulsa.\n  You can stay here and keep your job. "
Monica	 It's great! How?"

Monica	 So you're gonna be gone four days a week? (Thinks\n  about it.) No."
Chandler	 I'm sorry, are you just used to saying that?"
Monica	 No. I can't be away from you for that long."
Chandler	 Really?'
Monica	 Yeah, you're my husband. I'm not gonna live in a\n  different state than you for 208 days out of the year."
Chandler	 That's fast math! We could use you in Tulsa. "
Monica	 Honey, thanks for trying to figure out a way, but\n  if you're going to Tulsa, I wanna go with you."
Chandler	 Hey, you said that without gagging!'
Monica	 I know! (They high-five.) '
Rachel	 (On the phone) Excuse me? Oh yeah? Well, up yours\ntoo! (Hangs up)'
Ross	 (Enters from his bedroom)Who the hell was that?!'
Rachel	 Dr. Wiener. '
Ross	 Rach, you can't call people at three in the morning. "
Rachel	 Oh you know what, you sound just like his wife!'
