Phoebe	 Oh hey Ross oh I'm so glad someone's here could\n  you zip me up?"
Ross	 sure.'
Phoebe	 Thank you. Can you believe no-one between my apartment\n  and here offered to do that for me?'
Ross	 people (shakes head, they sit) so why you all dressed\n  up.'
Phoebe	 oh umm Mike's picking me up for a date."
Ross	 oh yea now um how is that going, is it getting serious?'
Phoebe	 oh I dunno I dunno, you know I mean I like him but\n  am I ready to take my grade a loins off the meat market.'
Ross	 you know I really admire your whole dating attitude,\n  it's so healthy I'm always like is this moving to fast? Is this moving to slow?\n  Where's this going?"
Phoebe	 yea you know you are a bit of a drama queen.'
Ross	 but you, your so much better off you just go from\n  guy to guy having fun and never worrying that it terns into anything serious.'
Phoebe	 I wouldn't say never, you know there's that guy\n  (pause) well what about (pause) ok well there's gotta be someone."
Ross	 There isn't that's what I'm saying. (All happy)"
Phoebe	 Oh my god you're right."
Ross	 I know and yet here you are all ready for the next\n  date.'
Phoebe	 I can't believe I never realized this before, I'm\n  in my thirty's and never been in a long-term relationship oh my god (starts\n  crying) what's wrong with me."
Ross	 no, no, no there's nothing wrong with you I mean you\n  don't strike me as the type of person that wants to get married anyway."
Phoebe	 I wanna get married (grabs a tissue)'
Ross	 please don't cry because of me pheebs I don't know\n  what I'm talking about, I've been divorced three times."
Phoebe	 least you've been married, OH MY GOD! I wanna trade\n  lives with Ross (cries more)"
Mike	 Phoebe (comes in smiling then sees Phoebe crying)\n  what's wrong?"
Phoebe	 nothing, I'm excited about our date, Mike this is\n  Ross Geller this is Mike Haaaaa (starts crying)"
Ross	 I'm sorry I didn't catch."
Mike	 its Mike Hanagen'
Ross	 Oh Ross Geller'
Mike	 Hey, so are you sure your ready to go.'
Phoebe	 uh huh (terns to Ross) how do I look (all her make\n  up has gone everywhere)'
Ross	 do you have a compact in your purse?'
Phoebe	 (goes to cry) No'
Ross	 you look great.'

Monica	
Joey	 Hey, this girl won't turn around and I can't tell\n  whether she's hot or not, what do you think?"
Monica	
Joey	 Alright thanks, Oh hey have you talked to Chandler?'
Monica	
Joey	 how come?'
Monica	
Joey	 oh why don't you fly out there and surprise him."
Monica	
Joey	 oh and you know what you should bring the black see-through\n  teddy with the attached garters. (Nods)'
Monica	
Joey	 didn't till just now."
Joey	 hot not hot (she turns around) Hot!'
 Hayley	 excuse me?'
Joey	 I said I think you're hot and now I'm embarrassed."
 Hayley	 oh I thought you said Hi.'
Joey	 that would've been better, I'll try that Hi I'm Joey."
 Hayley	 I'm Hayley."
Joey	 look I don't usually ask out women that I meet in\n  coffeehouses"
 Gunther	 HA!'
Joey	 (turns round) gesundheit'
 Hayley	 I would love to go out with you.'
Joey	 really, great, did I actually ask you?'
 Hayley	 no that's just where you were going I just figured that I'd help\n  you out, you don't seem like the kind of guy that does this very a lot."
 Gunther	 HA!'
Joey	 (turns round again) seriously Gunther you should see\n  someone about that cold, if it gets much worse you could DIE! (Gunther looks\n  scared)'
Ross	 so how'd the date go?"
Phoebe	 well it was awful every time I thought about what\n  you said I started crying.'
Ross	 So he hasn't called?"
Phoebe	 would you call this girl? (Puts on a crying act)\n  thanks-fo-r-a-love-ly-even-ing'
Ross	 now I feel terrible this is all my fault.'
Phoebe	 well you not what you should feel terrible about,\n  this could have been my serious guy he was sweet and smart and funny. Do you\n  know how hard it is to meet a guy like that?'
Ross	 We are a rare breed.'
 Hayley	 what a great dinner.'
Joey	 yeah and hey thanks again for letting me having that\n  last piece of cake at the restaurant.'
 Hayley	 (laughs) your welcome again, I'm gonna make some coffee can I get\n  you anything?"
Joey	 do you have any cake?'
Joey	 (bends down to see and the cactus pricks him in the\n  ass) AWCH! That's why."
Ross	 (He knocks at the door, Mike opens it) Hey Mike sorry\n  to just drop by like this, can I come in?'
Mike	 Sure (looks confused) who are you?'
Ross	 I'm Ross, Phoebe's friend from the coffeehouse."
Mike	 Oh.'
Ross	 yeah I really, really need to talk to you about something.'
Mike	 Ok, unless you're not gonna try to get me to join\n  a cult are you?"
Ross	 (laughs) No'
Mike	 oh it's just you have that look (shuts the front door)"
Ross	 Damn super cuts!'
Mike	 what's up is Phoebe ok?"
Ross	 oh no yeah, no Phoebe is great, but umm I'm an idiot\n  look right before you guys went out I accidentally got her all upset."
Mike	 that's why she was weird."
Ross	 yes, yeah I said something stupid about her never\n  having had a serious relationship, but you should know she is so much fun,\n  a wonderful person please don't blow her off."
Mike	 I'm not blowing her off, I actually just got off the\n  phone with her, were going out tomorrow night, I mean I hope that's ok with\n  you stranger from the coffee house."
Ross	 well then I didn't need to bother you or the four\n  other Mike Hanagens I bothered."
Mike	 hey wait wait wait wait wait! Is that true what you\n  said Phoebe's never had a serious relationship?"
Ross	 of course she has. if she'd never had a serious relationship\n  I'd go round broadcasting it like some unstoppable moron."
Mike	 but you did say it'
Ross	 yes, yes I did. and I will also say what I'm about\n  to say Vis-\xc3\xa0-vis the following Phoebe has never had a serious relationship\n  since her. super-serious relationship with. Vicrum."
Mike	 Vicrum?'
Ross	 WHAT THAT'S A REAL NAME!"
Chandler	 (enters singing) Oklahoma where the wind comes\n  sweeping down the plane, STOP IT! Why couldn't they have sent me to Texas?\n  7 o clock maybe I'll hit the gym (sits down) who am I kidding pay-per-view\n  porn."
Chandler	 DO NOT DISTURB DO NOT DISTURB! Monica
Monica	
Chandler	 everything's great, just watching some regular\n  television there, what a pleasant surprise. (She hugs him, and she knows what\n  he was doing so she looks at the TV and sees sharks swimming around thinking\n  Chandler was giving himself a treat to sharks.)"
Monica	
Chandler	 Ok honey. that was close.'
Rachel	 Hello'
Monica	
Rachel	 Oh that couldn't have been pretty. but you know\n  guys do that."
Monica	
Rachel	 Nooooooooo!'
Monica	

Rachel	 well watching sharks? Are you sure that's what he\n  was doing?"
Monica	
Rachel	 man sharks. I always knew there was something weird\n  about that dude. But you promised to love him no matter what.'
Monica	
Rachel	 Ah! You know what honey guys are just different,\n  they like things that we can't understand, you know I once dated this guy who\n  wanted to pretend he was an archeologist and I was a naughty cave woman that\n  he unfroze from a block of ice."
Monica	
Rachel	 yeah I didn't disguise that very well did i."
Joey	 (enters) Hey'
Rachel	 (sits down) Hi'
Joey	 listen to this... I went out with this girl last night\n  and half way through our date I realized I already slept with her.'
Rachel	 so basically you've slept with all the woman in\n  New York and now you're just going around again."
Joey	 well that's not even the weird part. I don't think\n  she remembered sleeping with me."
Monica	
Joey	 yeah but she should remember sleeping with me I am\n  very memorable, you guys know.'
