Chandler	 (picking up the telephone, answering it with a frog \n  in his throat) Hello? (he clears his throat, but he still has the same frog \n  in his throat when he speaks again) Hello?'
Monica	 (in her apartment, screaming) I LOVE MY NEW JOB!'
Chandler	 Honey, you're screaming."
Monica	 YOU BET YOUR ASS I AM! I just had the best first day \n  ever! The kitchen
Chandler	 (yawning) Oh, that's great."
Monica	 Yeah, a-a-and clean. Not just health department clean... \n  Monica clean.'
Chandler	 (clearly not so interested) Awesome.'
Monica	 Oh, and the people are so nice. There's this one guy, \n  Geoffrey, he's the Maitre D., Chandler, you will love him. He is without a doubt, \n  the funniest guy I have ever met. (Chandler, who was almost asleep again, sits \n  up straight in bed in an instant and can't believe what he just heard.)"

Mike	 This is nice.'
Phoebe	 I know! (Phoebe picks up a little packet of sugar, \n  shakes it, and then realises she can't open it with one hand, but doesn't want \n  to let go of Mike's hand. She tries to tear open the packet with one hand.)"
Mike	 You need both hands for that?'
Phoebe	 Yeah, I kinda do. (Mike lets go of her hand) Well, \n  how's this? (she takes Mike's hand and puts it on her breast, she tears open \n  the sugar and puts it in her coffee. Mike thinks it over and nods appreciative. \n  After that, they hold hands again. Joey now enters, and sees the two sitting \n  on the couch, holding hands.)"
Joey	 (in a very aaaaahhhhh sweeeeeet voice) Aaahhh, look \n  at you two... holding hands... huh is this getting serious? (Phoebe and Mike, \n  embarrassed, start babbling and look away.) Have you not talked about it yet? \n  (They say nothing now, but smile) Am I making you uncomfortable? (smiles are \n  becoming forced now, and he speaks to Mike) If you were bigger you'd hit me, \n  huh...? Aaaaaahhhhhh (he turns away to the bar)"
Phoebe	 I'm sorry... I'm sorry. It's obviously way too early \n  for us to be... having that conversation."
Mike	 Is it?'
Phoebe	 (in a flash she answers) Maybe not, is it?'
Mike	 Okay, when I got divorced, I didn\'t think I\'d feel this \n  way about someone for a really long time... Then again, I didn\'t think I\'d meet \n  someone like you... and... this may be crazy soon, but... I want you to have \n  this... (He tries to get something from his pocket, but it\'s not that easy... \n  Phoebe looks in a "what\'s happening" face to him. He finally has found \n  something) No, not... that\'s gum. (He digs in a little more.) Ooh, five bucks... \n  I love it when that happens, you know... Think no note\'s there...'
Phoebe	 (impatient) I know Mike, why don't you keep digging?"
Mike	 Oh, sorry. (He digs in again and finally finds what \n  he's been looking for. A key.)"
Phoebe	 Oh, it's a key. To be honest, I think I'd prefer the \n  five dollars."
Mike	 It's to my apartment."
Phoebe	 (really surprised) Oh wow, ooh! Ooh, big step for \n  Phoebe and Mike.'
Mike	 Yeah, look, and I don't want you to feel like you have \n  to give me your key just because..."
Phoebe	 Oh no, I want to.'
Mike	 Oh, thank God. (he laughs nervously, and Phoebe gets \n  her keychain from her bag.)'
Phoebe	 Yeah... ooh... wow... Even started to think I'd never \n  meet someone that, you know, I wanted to... do this with. Here you go. (Both \n  Phoebe and Mike look really proud.)"
Mike	 Is this cool, huh?'
Phoebe	 It really is.'
Joey	 (sitting at his table) Oh, I know it... It \n  is amazing these little things open doors... huh! (mimes opening a door with \n  his own keys, Phoebe looks at him in a "yeah, yeah, yeah" way.)'
Rachel	 So I don't go back to work for another four weeks, \n  but we would like our nanny to start right away, so that Emma could get a chance \n  to know her."
Prospective nanny	 (in a sweet, caring voice) I think that's \n  really smart. The easier we can make the transition for her, the better. (Ross \n  and Rachel seem pleased with the answer.)"
Rachel	 That's great, great. So do you have any questions \n  for us?"
Prospective nanny	 Not really.'
Rachel	 Allright. Well thank you so much for coming... (they're \n  standing up and make their way to the door)"
Ross	 Thank you.'
Rachel	 Really nice to meet you... and we'll call you."
Prospective nanny	 Oh, you know, wait. I do have \n  one question. (she starts playing with her hair) Do you guys do random drug \n  testing?'
Ross	 Boy, we uhm... hadn't really thought of that."
Prospective nanny	 That's cool. But... but if you do, I'm \n  gonna need three days notice."
Rachel	 Okidoki! (and she slams the door in the nanny's face \n  while Ross crumples up the application form) Wow! We're never gonna find a nanny."
Ross	 Oh, come on Rach, we will. I promise. We have more interviews \n  (They sit down and Rachel sighs) And worse comes to worse, we can always reconsider \n  the uhm... the first one we met with.'
Rachel	 (indignant) What, the blonde with no bra?'
Ross	 She was blonde? (he looks surprised for a while, but \n  then gets a "gotcha" expression on his face... There\'s knocking at \n  the door.) Just a sec.! Okay, okay. This one\'s name is Sandy. She\'s got a degree \n  in early childhood education, uhm... she worked for her last family for three \n  years.'
Rachel	 Okay... (Ross opens the door.)'
Sandy	 (a guy) Hi... I'm Sandy."
Ross	 And she's a little mannish..."
Phoebe	 (gasps) Oh my God! David!'
David	 Hi! I-i-is this a bad time?'
Phoebe	 (excited) No! It's a great time, come in...! WOW, \n  hi... Oh my gosh! What are you doing here? Are you back from Minsk?"
David	 Well, just for a couple of days, uhm... I'm here to \n  explain to the people who gave us our grant, why it's a positive thing that \n  we spent all their money and uhm... accomplished uhm... nothing."
Phoebe	 Who cares, it got you here.'
David	 Well, it got me to New York anyway, and then I got \n  on a cab at the airport, and the guy said where to? and I just... gave him your \n  address I... I... I didn't even think about it."
Phoebe	 Wow. Where is your luggage? (David thinks for a while)'
David	 Damn it!'
Phoebe	 A-Allright, well... I'll call the cab company."
David	 Wa... wa... wait! We can... call them later. Can you \n  just... just stand there f-f-for a moment? Boy! There's an old Russian expression, \n  uhm... it goes
Phoebe	 Thank you! God, no! You should see me when... Oh actually, \n  no, I look pretty good.'
