Joey	 Monica, hey, can I borrow the Porsche?'
Monica	 Ok.'
Joey	 Alright!'
Monica	 But ehm...what is it not?'
Joey	 (abashed) A place to entertain my lady friends.'
Monica	 And what else is it not?'
Joey	 (even more abashed) A place to eat spaghetti.'
Monica	 Very good! (Gives him the keys) What do you need it\nfor anyway?'
Joey	 Oh well, the powerball lottery is upto 300 million and\nthey don't sell tickets here in New York, so..."
Rachel	 Oh! So you're driving up to Connecticut?"
Joey	 (hesitates for a moment)Yeah Connecticut...Not West\nVirginia.'
Monica	 Hey, maybe I'll drive you up there! I'd like to buy\nsome tickets myself! "
Joey	 Uh!'
Monica	 Yeah with Chandler not getting paid, we could really\nuse 300 million dollars.'
Chandler	 Yeah, because if I was at my old job we'd say 300\nmillion? No thank you!"
Phoebe	 Hey will you get me tickets too?'
Rachel	 Yeah me too. oh! I have an idea. Why don't we all\npitch in 50 bucks, we'll pool our money together and then if we win,\nwe'll split it!"
Everyone almost simultaneously except Ross	 yeah thats a great\nidea!'
Ross	 No thanks!'
Phoebe	 You don't wanna win the lottery?"
Ross	 (in a  mocking voice)Uh...sure I do, and I also wanna\nbe King of my own country and find out what happened to Amelia Earhart.'
Chandler	 Still on Amelia Earhart?'
Ross	 The woman just vanished!'
Joey	 Seriously, Ross, you don't want in on this?"
Ross	 No! Do you know what your odds are of winning the\nlottery? I...I mean you have a better chance of being struck by\nlightning 42 times.'
Chandler	 Yes but there's six of us so we'd only have to get\nstruck by lightning 7 times."
Joey	 I like those odds!'
Ross	 Seriously you guys, I can't believe you're going to\nspend 250 dollars on the lottery, I mean that's such a bunch of boohaki."
Chandler	 (looking around at the others)I'll ask. (To Ross)\nBoohaki?"
Ross	 Oh oh, we think Emma is about to start talking so we're\ntrying to be careful about what words we use in front of her."
Rachel	 Yeah so get ready to hear alot of ehm...boohaki,\ngoshdarnit and brotherpucker.'
Monica	 How do you know she's gonna start talking?"
Rachel	 Well when I talk to her I almost feel like she\nunderstands what I'm saying."
Chandler	 Kinda like Joey.'
Joey	 (who wasn't paying attention)What's that now?"

Monica	 God! Look at all these tickets! It's so exciting! You\nknow I haven't won anything since the sixth grade."
Chandler	 Pie eating contest?'
Monica	 Oh! You assume because I was heavy that's the only way\nI could win something? "
Chandler	 No, I saw a picture of you covered in blueberries.'
Monica	 (smiling)That was a good day!'
Ross	 (yelling to Monica)They're towing your car, they're\ntowing your car!!"
Monica	 I'm parked in a garage on Morton! "
Ross	 (panting)They're towing a car. And I am seeing...spots."
Joey	 (sounding panicky)Oh my god Ross! You don't have Emma!\nAnd Rachel you don't have Emma! (Starts yelling) Where's Emma? Who has\nEmma!?"
Rachel	 Joey relax! My mother picked her up two hours ago. You\nwere there!'
Joey	 (not yelling anymore)I was?'
Racel	 Yes and you talked to her...'
Joey	 I did?'
Rachel	 She dropped off a casserole?'
Joey	 Oh yeah! The casserole lady.'
Monica	 (to Ross)So, did you come by to watch us win the big\nbucks?'
Ross	 Yeah, uh... and then I figured after you win, we could\nall go out to the balcony and see a night rainbow with gremlins dancing\non top of it!'
Chandler	 (hysterical)Don't touch the phone! I'll get it, I'll\nget it, I'll get it!! (picks up the phone)"
Ross	 (to Monica)Think he washed his hands?'
Chandler	 (into receiver)Hello? Hey Charlie, what do you know?'
Rachel	 (to Monica)What's going on?"
Monica	 Chandler is supposed to find out if he's getting an\nassistent job at his ad agency. But out of the 15 interns, they are\nonly hiring three."
Joey	 Ooh! Tough odds!'
Ross	 (mockingly)Yeah if only it were a sure thing like your\n24 state lottery!'
Joey	 (smiling)Look who's coming around!"
Chandler	 (still on the phone)Damnit. Alright call me when\nyou know more.'
Joey	 (excited)Did you get it?'
Chandler	 One of the slots got filled.'
Joey	 (Still excited)By you!?'
Chandler	 Sense the tone! No that kid Nate got it.'
Monica	 Oh! I hate that guy! I mean come on kid! Pull up your\npants!'
Chandler	 Yeah I know.'
Rachel	 Well, there's two spots left right?"
Chandler	 Yeah...I mean I want this so much! I mean, I wanna\nget one, I want my friend Charlie to get one...Except I don't care\nabout Charlie."
Phoebe	 (excited)Hey you guys! Ok, you're not going to\nbelieve this! I just saw my psychic and she said I was definitely gonna\nwin the lottery tonight!"
Monica	 Hey that reminds me, I thought we could use some extra\nluck so I brought a wishbone home from work.'
Ross	 (mockingly)A psychic AND a wishbone? Guys! Give someone\nelse a chance!'
Monica	 Alright, who wants to do it?'
Phoebe	 Oh can I? Vegetarians never get to do the wishbone.\nIt's really not fair either! You know, just because we don't eat the\nmeat doesn't mean we don't like to play with the carcasses!"
Monica	 Ok, hey Rach?'
Rachel	 Oh no, I'm good, I don't wanna get that turkey smell\nall over my hands."
Joey	 I'll do it!! It'll get the casserole stink off of mine."
Phoebe	 I hope I win!'
Monica	 Well, it doesn't really matter ... you're both wishing\nfor the same thing, right?"
Joey	 I can't tell you what I'm wishing for! Else...you\nknow...won't come true!"
Monica	 Right! .. but we "know" what you\'re wishing for!'
Joey	 Can't really say!"
Monica	 I understand, but you're wishing for what we think\nyou're wishing for, aren't you?"
Joey	 (slightly irritated)I'm not really comfortable with\nthese questions!"
Rachel, Chandler and Monica	 Please, just do it!'
Phoebe	 One, two, three!'
Joey	 I won, hey!'
Ross	 You know what, I'm sure your wish is gonna come true,\nbut, you guys - just in case, maybe a genie will come out if we rub\nthis lamp! (rubs lamp, stops because it's very hot) Ah!! That thing\ngets hot!!"
Rachel	 You know, Ross, just keep making your jokes. How are\nyou gonna feel if we actually do win?'
Ross	 Uh, you're not gonna win."
Rachel	 Oh, I know, I know, the odds are against us, but\nsomebody has to win, and it could be us! And then how you gonna feel?\nYou know, we\'re gonna be all like "oh everybody, let\'s take our\nhelicopters up to the cape" and you\'re gonna be all like "oh, I can\'t\nguys, I\'ll meet you guys up there, I gotta gas up the Hyundai"'
Ross	 Ok, I've heard myself on tape and I sound nothing like\nthat."
Chandler	 I can see the headline now
Ross	 Why would I eat my own arm?'
Chandler	 Well you wouldn't, but we own the paper, we can\nprint whatever we want."
Monica	 You know what, Ross? I'm gonna throw in 50 bucks for\nyou."
Ross	 Why?'
